table,column,type,not_null,primary_key,default,description
application_system,quantity_milli,INTEGER,1,0,0,Column quantity_milli in application_system
application_system,source_system,TEXT,1,0,,Column source_system in application_system
application_system,provenance,TEXT,1,0,,Column provenance in application_system
artifact_manifest,id,INTEGER,0,1,,Column id in artifact_manifest
artifact_manifest,canonical_id,TEXT,1,0,,Column canonical_id in artifact_manifest
artifact_manifest,immutable_uuid,TEXT,1,0,,Column immutable_uuid in artifact_manifest
artifact_manifest,name,TEXT,1,0,,Column name in artifact_manifest
artifact_manifest,status,TEXT,1,0,,Column status in artifact_manifest
artifact_manifest,event_at,TEXT,0,0,,Column event_at in artifact_manifest
artifact_manifest,recorded_at,TEXT,0,0,,Column recorded_at in artifact_manifest
artifact_manifest,available_at,TEXT,0,0,,Column available_at in artifact_manifest
artifact_manifest,amount_minor,INTEGER,1,0,0,Column amount_minor in artifact_manifest
artifact_manifest,quantity_milli,INTEGER,1,0,0,Column quantity_milli in artifact_manifest
artifact_manifest,source_system,TEXT,1,0,,Column source_system in artifact_manifest
artifact_manifest,provenance,TEXT,1,0,,Column provenance in artifact_manifest
assay_result,id,INTEGER,0,1,,Column id in assay_result
assay_result,canonical_id,TEXT,1,0,,Column canonical_id in assay_result
assay_result,immutable_uuid,TEXT,1,0,,Column immutable_uuid in assay_result
assay_result,name,TEXT,1,0,,Column name in assay_result
assay_result,status,TEXT,1,0,,Column status in assay_result
assay_result,event_at,TEXT,0,0,,Column event_at in assay_result
assay_result,recorded_at,TEXT,0,0,,Column recorded_at in assay_result
assay_result,available_at,TEXT,0,0,,Column available_at in assay_result
assay_result,amount_minor,INTEGER,1,0,0,Column amount_minor in assay_result
assay_result,quantity_milli,INTEGER,1,0,0,Column quantity_milli in assay_result
assay_result,source_system,TEXT,1,0,,Column source_system in assay_result
assay_result,provenance,TEXT,1,0,,Column provenance in assay_result
asset,id,INTEGER,0,1,,Column id in asset
asset,canonical_id,TEXT,1,0,,Column canonical_id in asset
asset,immutable_uuid,TEXT,1,0,,Column immutable_uuid in asset
asset,name,TEXT,1,0,,Column name in asset
asset,status,TEXT,1,0,,Column status in asset
asset,event_at,TEXT,0,0,,Column event_at in asset
asset,recorded_at,TEXT,0,0,,Column recorded_at in asset
asset,available_at,TEXT,0,0,,Column available_at in asset
asset,amount_minor,INTEGER,1,0,0,Column amount_minor in asset
asset,quantity_milli,INTEGER,1,0,0,Column quantity_milli in asset
asset,source_system,TEXT,1,0,,Column source_system in asset
asset,provenance,TEXT,1,0,,Column provenance in asset
asset_class,id,INTEGER,0,1,,Column id in asset_class
asset_class,canonical_id,TEXT,1,0,,Column canonical_id in asset_class
asset_class,immutable_uuid,TEXT,1,0,,Column immutable_uuid in asset_class
asset_class,name,TEXT,1,0,,Column name in asset_class
asset_class,status,TEXT,1,0,,Column status in asset_class
asset_class,event_at,TEXT,0,0,,Column event_at in asset_class
asset_class,recorded_at,TEXT,0,0,,Column recorded_at in asset_class
asset_class,available_at,TEXT,0,0,,Column available_at in asset_class
asset_class,amount_minor,INTEGER,1,0,0,Column amount_minor in asset_class
asset_class,quantity_milli,INTEGER,1,0,0,Column quantity_milli in asset_class
asset_class,source_system,TEXT,1,0,,Column source_system in asset_class
asset_class,provenance,TEXT,1,0,,Column provenance in asset_class
asset_hierarchy,id,INTEGER,0,1,,Column id in asset_hierarchy
asset_hierarchy,canonical_id,TEXT,1,0,,Column canonical_id in asset_hierarchy
asset_hierarchy,immutable_uuid,TEXT,1,0,,Column immutable_uuid in asset_hierarchy
asset_hierarchy,name,TEXT,1,0,,Column name in asset_hierarchy
asset_hierarchy,status,TEXT,1,0,,Column status in asset_hierarchy
asset_hierarchy,event_at,TEXT,0,0,,Column event_at in asset_hierarchy
asset_hierarchy,recorded_at,TEXT,0,0,,Column recorded_at in asset_hierarchy
asset_hierarchy,available_at,TEXT,0,0,,Column available_at in asset_hierarchy
asset_hierarchy,amount_minor,INTEGER,1,0,0,Column amount_minor in asset_hierarchy
asset_hierarchy,quantity_milli,INTEGER,1,0,0,Column quantity_milli in asset_hierarchy
asset_hierarchy,source_system,TEXT,1,0,,Column source_system in asset_hierarchy
asset_hierarchy,provenance,TEXT,1,0,,Column provenance in asset_hierarchy
asset_model,id,INTEGER,0,1,,Column id in asset_model
asset_model,canonical_id,TEXT,1,0,,Column canonical_id in asset_model
asset_model,immutable_uuid,TEXT,1,0,,Column immutable_uuid in asset_model
asset_model,name,TEXT,1,0,,Column name in asset_model
asset_model,status,TEXT,1,0,,Column status in asset_model
asset_model,event_at,TEXT,0,0,,Column event_at in asset_model
asset_model,recorded_at,TEXT,0,0,,Column recorded_at in asset_model
asset_model,available_at,TEXT,0,0,,Column available_at in asset_model
asset_model,amount_minor,INTEGER,1,0,0,Column amount_minor in asset_model
asset_model,quantity_milli,INTEGER,1,0,0,Column quantity_milli in asset_model
asset_model,source_system,TEXT,1,0,,Column source_system in asset_model
asset_model,provenance,TEXT,1,0,,Column provenance in asset_model
assumption,id,INTEGER,0,1,,Column id in assumption
assumption,canonical_id,TEXT,1,0,,Column canonical_id in assumption
assumption,immutable_uuid,TEXT,1,0,,Column immutable_uuid in assumption
assumption,name,TEXT,1,0,,Column name in assumption
assumption,status,TEXT,1,0,,Column status in assumption
assumption,event_at,TEXT,0,0,,Column event_at in assumption
assumption,recorded_at,TEXT,0,0,,Column recorded_at in assumption
assumption,available_at,TEXT,0,0,,Column available_at in assumption
assumption,amount_minor,INTEGER,1,0,0,Column amount_minor in assumption
assumption,quantity_milli,INTEGER,1,0,0,Column quantity_milli in assumption
assumption,source_system,TEXT,1,0,,Column source_system in assumption
assumption,provenance,TEXT,1,0,,Column provenance in assumption
backlog_snapshot,id,INTEGER,0,1,,Column id in backlog_snapshot
backlog_snapshot,canonical_id,TEXT,1,0,,Column canonical_id in backlog_snapshot
backlog_snapshot,immutable_uuid,TEXT,1,0,,Column immutable_uuid in backlog_snapshot
backlog_snapshot,name,TEXT,1,0,,Column name in backlog_snapshot
backlog_snapshot,status,TEXT,1,0,,Column status in backlog_snapshot
backlog_snapshot,event_at,TEXT,0,0,,Column event_at in backlog_snapshot
backlog_snapshot,recorded_at,TEXT,0,0,,Column recorded_at in backlog_snapshot
backlog_snapshot,available_at,TEXT,0,0,,Column available_at in backlog_snapshot
backlog_snapshot,amount_minor,INTEGER,1,0,0,Column amount_minor in backlog_snapshot
backlog_snapshot,quantity_milli,INTEGER,1,0,0,Column quantity_milli in backlog_snapshot
backlog_snapshot,source_system,TEXT,1,0,,Column source_system in backlog_snapshot
backlog_snapshot,provenance,TEXT,1,0,,Column provenance in backlog_snapshot
bench,id,INTEGER,0,1,,Column id in bench
bench,canonical_id,TEXT,1,0,,Column canonical_id in bench
bench,immutable_uuid,TEXT,1,0,,Column immutable_uuid in bench
bench,name,TEXT,1,0,,Column name in bench
bench,status,TEXT,1,0,,Column status in bench
bench,event_at,TEXT,0,0,,Column event_at in bench
bench,recorded_at,TEXT,0,0,,Column recorded_at in bench
bench,available_at,TEXT,0,0,,Column available_at in bench
bench,amount_minor,INTEGER,1,0,0,Column amount_minor in bench
bench,quantity_milli,INTEGER,1,0,0,Column quantity_milli in bench
bench,source_system,TEXT,1,0,,Column source_system in bench
bench,provenance,TEXT,1,0,,Column provenance in bench
blend_option,id,INTEGER,0,1,,Column id in blend_option
blend_option,canonical_id,TEXT,1,0,,Column canonical_id in blend_option
blend_option,immutable_uuid,TEXT,1,0,,Column immutable_uuid in blend_option
blend_option,name,TEXT,1,0,,Column name in blend_option
blend_option,status,TEXT,1,0,,Column status in blend_option
blend_option,event_at,TEXT,0,0,,Column event_at in blend_option
blend_option,recorded_at,TEXT,0,0,,Column recorded_at in blend_option
blend_option,available_at,TEXT,0,0,,Column available_at in blend_option
blend_option,amount_minor,INTEGER,1,0,0,Column amount_minor in blend_option
blend_option,quantity_milli,INTEGER,1,0,0,Column quantity_milli in blend_option
blend_option,source_system,TEXT,1,0,,Column source_system in blend_option
blend_option,provenance,TEXT,1,0,,Column provenance in blend_option
budget_version,id,INTEGER,0,1,,Column id in budget_version
budget_version,canonical_id,TEXT,1,0,,Column canonical_id in budget_version
budget_version,immutable_uuid,TEXT,1,0,,Column immutable_uuid in budget_version
budget_version,name,TEXT,1,0,,Column name in budget_version
budget_version,status,TEXT,1,0,,Column status in budget_version
budget_version,event_at,TEXT,0,0,,Column event_at in budget_version
budget_version,recorded_at,TEXT,0,0,,Column recorded_at in budget_version
budget_version,available_at,TEXT,0,0,,Column available_at in budget_version
budget_version,amount_minor,INTEGER,1,0,0,Column amount_minor in budget_version
budget_version,quantity_milli,INTEGER,1,0,0,Column quantity_milli in budget_version
budget_version,source_system,TEXT,1,0,,Column source_system in budget_version
budget_version,provenance,TEXT,1,0,,Column provenance in budget_version
building,id,INTEGER,0,1,,Column id in building
building,canonical_id,TEXT,1,0,,Column canonical_id in building
building,immutable_uuid,TEXT,1,0,,Column immutable_uuid in building
building,name,TEXT,1,0,,Column name in building
building,status,TEXT,1,0,,Column status in building
building,event_at,TEXT,0,0,,Column event_at in building
building,recorded_at,TEXT,0,0,,Column recorded_at in building
building,available_at,TEXT,0,0,,Column available_at in building
building,amount_minor,INTEGER,1,0,0,Column amount_minor in building
building,quantity_milli,INTEGER,1,0,0,Column quantity_milli in building
building,source_system,TEXT,1,0,,Column source_system in building
building,provenance,TEXT,1,0,,Column provenance in building
calendar_date,id,INTEGER,0,1,,Column id in calendar_date
calendar_date,canonical_id,TEXT,1,0,,Column canonical_id in calendar_date
calendar_date,immutable_uuid,TEXT,1,0,,Column immutable_uuid in calendar_date
calendar_date,name,TEXT,1,0,,Column name in calendar_date
calendar_date,status,TEXT,1,0,,Column status in calendar_date
calendar_date,event_at,TEXT,0,0,,Column event_at in calendar_date
calendar_date,recorded_at,TEXT,0,0,,Column recorded_at in calendar_date
calendar_date,available_at,TEXT,0,0,,Column available_at in calendar_date
calendar_date,amount_minor,INTEGER,1,0,0,Column amount_minor in calendar_date
calendar_date,quantity_milli,INTEGER,1,0,0,Column quantity_milli in calendar_date
calendar_date,source_system,TEXT,1,0,,Column source_system in calendar_date
calendar_date,provenance,TEXT,1,0,,Column provenance in calendar_date
canon_reference,id,INTEGER,0,1,,Column id in canon_reference
canon_reference,canonical_id,TEXT,1,0,,Column canonical_id in canon_reference
canon_reference,immutable_uuid,TEXT,1,0,,Column immutable_uuid in canon_reference
canon_reference,name,TEXT,1,0,,Column name in canon_reference
canon_reference,status,TEXT,1,0,,Column status in canon_reference
canon_reference,event_at,TEXT,0,0,,Column event_at in canon_reference
canon_reference,recorded_at,TEXT,0,0,,Column recorded_at in canon_reference
canon_reference,available_at,TEXT,0,0,,Column available_at in canon_reference
canon_reference,amount_minor,INTEGER,1,0,0,Column amount_minor in canon_reference
canon_reference,quantity_milli,INTEGER,1,0,0,Column quantity_milli in canon_reference
canon_reference,source_system,TEXT,1,0,,Column source_system in canon_reference
canon_reference,provenance,TEXT,1,0,,Column provenance in canon_reference
capital_authorization,id,INTEGER,0,1,,Column id in capital_authorization
capital_authorization,canonical_id,TEXT,1,0,,Column canonical_id in capital_authorization
capital_authorization,immutable_uuid,TEXT,1,0,,Column immutable_uuid in capital_authorization
capital_authorization,name,TEXT,1,0,,Column name in capital_authorization
capital_authorization,status,TEXT,1,0,,Column status in capital_authorization
capital_authorization,event_at,TEXT,0,0,,Column event_at in capital_authorization
capital_authorization,recorded_at,TEXT,0,0,,Column recorded_at in capital_authorization
capital_authorization,available_at,TEXT,0,0,,Column available_at in capital_authorization
capital_authorization,amount_minor,INTEGER,1,0,0,Column amount_minor in capital_authorization
capital_authorization,quantity_milli,INTEGER,1,0,0,Column quantity_milli in capital_authorization
capital_authorization,source_system,TEXT,1,0,,Column source_system in capital_authorization
capital_authorization,provenance,TEXT,1,0,,Column provenance in capital_authorization
capital_project,id,INTEGER,0,1,,Column id in capital_project
capital_project,canonical_id,TEXT,1,0,,Column canonical_id in capital_project
capital_project,immutable_uuid,TEXT,1,0,,Column immutable_uuid in capital_project
capital_project,name,TEXT,1,0,,Column name in capital_project
capital_project,status,TEXT,1,0,,Column status in capital_project
capital_project,event_at,TEXT,0,0,,Column event_at in capital_project
capital_project,recorded_at,TEXT,0,0,,Column recorded_at in capital_project
capital_project,available_at,TEXT,0,0,,Column available_at in capital_project
capital_project,amount_minor,INTEGER,1,0,0,Column amount_minor in capital_project
capital_project,quantity_milli,INTEGER,1,0,0,Column quantity_milli in capital_project
capital_project,source_system,TEXT,1,0,,Column source_system in capital_project
capital_project,provenance,TEXT,1,0,,Column provenance in capital_project
cash_receipt,id,INTEGER,0,1,,Column id in cash_receipt
cash_receipt,canonical_id,TEXT,1,0,,Column canonical_id in cash_receipt
cash_receipt,immutable_uuid,TEXT,1,0,,Column immutable_uuid in cash_receipt
cash_receipt,name,TEXT,1,0,,Column name in cash_receipt
cash_receipt,status,TEXT,1,0,,Column status in cash_receipt
cash_receipt,event_at,TEXT,0,0,,Column event_at in cash_receipt
cash_receipt,recorded_at,TEXT,0,0,,Column recorded_at in cash_receipt
cash_receipt,available_at,TEXT,0,0,,Column available_at in cash_receipt
cash_receipt,amount_minor,INTEGER,1,0,0,Column amount_minor in cash_receipt
cash_receipt,quantity_milli,INTEGER,1,0,0,Column quantity_milli in cash_receipt
cash_receipt,source_system,TEXT,1,0,,Column source_system in cash_receipt
cash_receipt,provenance,TEXT,1,0,,Column provenance in cash_receipt
close_task,id,INTEGER,0,1,,Column id in close_task
close_task,canonical_id,TEXT,1,0,,Column canonical_id in close_task
close_task,immutable_uuid,TEXT,1,0,,Column immutable_uuid in close_task
close_task,name,TEXT,1,0,,Column name in close_task
close_task,status,TEXT,1,0,,Column status in close_task
close_task,event_at,TEXT,0,0,,Column event_at in close_task
close_task,recorded_at,TEXT,0,0,,Column recorded_at in close_task
close_task,available_at,TEXT,0,0,,Column available_at in close_task
close_task,amount_minor,INTEGER,1,0,0,Column amount_minor in close_task
close_task,quantity_milli,INTEGER,1,0,0,Column quantity_milli in close_task
close_task,source_system,TEXT,1,0,,Column source_system in close_task
close_task,provenance,TEXT,1,0,,Column provenance in close_task
commitment,id,INTEGER,0,1,,Column id in commitment
commitment,canonical_id,TEXT,1,0,,Column canonical_id in commitment
commitment,immutable_uuid,TEXT,1,0,,Column immutable_uuid in commitment
commitment,name,TEXT,1,0,,Column name in commitment
commitment,status,TEXT,1,0,,Column status in commitment
commitment,event_at,TEXT,0,0,,Column event_at in commitment
commitment,recorded_at,TEXT,0,0,,Column recorded_at in commitment
commitment,available_at,TEXT,0,0,,Column available_at in commitment
commitment,amount_minor,INTEGER,1,0,0,Column amount_minor in commitment
commitment,quantity_milli,INTEGER,1,0,0,Column quantity_milli in commitment
commitment,source_system,TEXT,1,0,,Column source_system in commitment
commitment,provenance,TEXT,1,0,,Column provenance in commitment
communication_message,id,INTEGER,0,1,,Column id in communication_message
communication_message,canonical_id,TEXT,1,0,,Column canonical_id in communication_message
communication_message,immutable_uuid,TEXT,1,0,,Column immutable_uuid in communication_message
communication_message,name,TEXT,1,0,,Column name in communication_message
communication_message,status,TEXT,1,0,,Column status in communication_message
communication_message,event_at,TEXT,0,0,,Column event_at in communication_message
communication_message,recorded_at,TEXT,0,0,,Column recorded_at in communication_message
communication_message,available_at,TEXT,0,0,,Column available_at in communication_message
communication_message,amount_minor,INTEGER,1,0,0,Column amount_minor in communication_message
communication_message,quantity_milli,INTEGER,1,0,0,Column quantity_milli in communication_message
communication_message,source_system,TEXT,1,0,,Column source_system in communication_message
communication_message,provenance,TEXT,1,0,,Column provenance in communication_message
component_installation_history,id,INTEGER,0,1,,Column id in component_installation_history
component_installation_history,canonical_id,TEXT,1,0,,Column canonical_id in component_installation_history
component_installation_history,immutable_uuid,TEXT,1,0,,Column immutable_uuid in component_installation_history
component_installation_history,name,TEXT,1,0,,Column name in component_installation_history
component_installation_history,status,TEXT,1,0,,Column status in component_installation_history
component_installation_history,event_at,TEXT,0,0,,Column event_at in component_installation_history
component_installation_history,recorded_at,TEXT,0,0,,Column recorded_at in component_installation_history
component_installation_history,available_at,TEXT,0,0,,Column available_at in component_installation_history
component_installation_history,amount_minor,INTEGER,1,0,0,Column amount_minor in component_installation_history
component_installation_history,quantity_milli,INTEGER,1,0,0,Column quantity_milli in component_installation_history
component_installation_history,source_system,TEXT,1,0,,Column source_system in component_installation_history
component_installation_history,provenance,TEXT,1,0,,Column provenance in component_installation_history
concentrate_lot,id,INTEGER,0,1,,Column id in concentrate_lot
concentrate_lot,canonical_id,TEXT,1,0,,Column canonical_id in concentrate_lot
concentrate_lot,immutable_uuid,TEXT,1,0,,Column immutable_uuid in concentrate_lot
concentrate_lot,name,TEXT,1,0,,Column name in concentrate_lot
concentrate_lot,status,TEXT,1,0,,Column status in concentrate_lot
concentrate_lot,event_at,TEXT,0,0,,Column event_at in concentrate_lot
concentrate_lot,recorded_at,TEXT,0,0,,Column recorded_at in concentrate_lot
concentrate_lot,available_at,TEXT,0,0,,Column available_at in concentrate_lot
concentrate_lot,amount_minor,INTEGER,1,0,0,Column amount_minor in concentrate_lot
concentrate_lot,quantity_milli,INTEGER,1,0,0,Column quantity_milli in concentrate_lot
concentrate_lot,source_system,TEXT,1,0,,Column source_system in concentrate_lot
concentrate_lot,provenance,TEXT,1,0,,Column provenance in concentrate_lot
construction_in_progress,id,INTEGER,0,1,,Column id in construction_in_progress
construction_in_progress,canonical_id,TEXT,1,0,,Column canonical_id in construction_in_progress
construction_in_progress,immutable_uuid,TEXT,1,0,,Column immutable_uuid in construction_in_progress
construction_in_progress,name,TEXT,1,0,,Column name in construction_in_progress
construction_in_progress,status,TEXT,1,0,,Column status in construction_in_progress
construction_in_progress,event_at,TEXT,0,0,,Column event_at in construction_in_progress
construction_in_progress,recorded_at,TEXT,0,0,,Column recorded_at in construction_in_progress
construction_in_progress,available_at,TEXT,0,0,,Column available_at in construction_in_progress
construction_in_progress,amount_minor,INTEGER,1,0,0,Column amount_minor in construction_in_progress
construction_in_progress,quantity_milli,INTEGER,1,0,0,Column quantity_milli in construction_in_progress
construction_in_progress,source_system,TEXT,1,0,,Column source_system in construction_in_progress
construction_in_progress,provenance,TEXT,1,0,,Column provenance in construction_in_progress
contract,id,INTEGER,0,1,,Column id in contract
contract,canonical_id,TEXT,1,0,,Column canonical_id in contract
contract,immutable_uuid,TEXT,1,0,,Column immutable_uuid in contract
contract,name,TEXT,1,0,,Column name in contract
contract,status,TEXT,1,0,,Column status in contract
contract,event_at,TEXT,0,0,,Column event_at in contract
contract,recorded_at,TEXT,0,0,,Column recorded_at in contract
contract,available_at,TEXT,0,0,,Column available_at in contract
contract,amount_minor,INTEGER,1,0,0,Column amount_minor in contract
contract,quantity_milli,INTEGER,1,0,0,Column quantity_milli in contract
contract,source_system,TEXT,1,0,,Column source_system in contract
contract,provenance,TEXT,1,0,,Column provenance in contract
contractor,id,INTEGER,0,1,,Column id in contractor
contractor,canonical_id,TEXT,1,0,,Column canonical_id in contractor
contractor,immutable_uuid,TEXT,1,0,,Column immutable_uuid in contractor
contractor,name,TEXT,1,0,,Column name in contractor
contractor,status,TEXT,1,0,,Column status in contractor
contractor,event_at,TEXT,0,0,,Column event_at in contractor
contractor,recorded_at,TEXT,0,0,,Column recorded_at in contractor
contractor,available_at,TEXT,0,0,,Column available_at in contractor
contractor,amount_minor,INTEGER,1,0,0,Column amount_minor in contractor
contractor,quantity_milli,INTEGER,1,0,0,Column quantity_milli in contractor
contractor,source_system,TEXT,1,0,,Column source_system in contractor
contractor,provenance,TEXT,1,0,,Column provenance in contractor
control,id,INTEGER,0,1,,Column id in control
control,canonical_id,TEXT,1,0,,Column canonical_id in control
control,immutable_uuid,TEXT,1,0,,Column immutable_uuid in control
control,name,TEXT,1,0,,Column name in control
control,status,TEXT,1,0,,Column status in control
control,event_at,TEXT,0,0,,Column event_at in control
control,recorded_at,TEXT,0,0,,Column recorded_at in control
control,available_at,TEXT,0,0,,Column available_at in control
control,amount_minor,INTEGER,1,0,0,Column amount_minor in control
control,quantity_milli,INTEGER,1,0,0,Column quantity_milli in control
control,source_system,TEXT,1,0,,Column source_system in control
control,provenance,TEXT,1,0,,Column provenance in control
control_execution,id,INTEGER,0,1,,Column id in control_execution
control_execution,canonical_id,TEXT,1,0,,Column canonical_id in control_execution
control_execution,immutable_uuid,TEXT,1,0,,Column immutable_uuid in control_execution
control_execution,name,TEXT,1,0,,Column name in control_execution
control_execution,status,TEXT,1,0,,Column status in control_execution
control_execution,event_at,TEXT,0,0,,Column event_at in control_execution
control_execution,recorded_at,TEXT,0,0,,Column recorded_at in control_execution
control_execution,available_at,TEXT,0,0,,Column available_at in control_execution
control_execution,amount_minor,INTEGER,1,0,0,Column amount_minor in control_execution
control_execution,quantity_milli,INTEGER,1,0,0,Column quantity_milli in control_execution
control_execution,source_system,TEXT,1,0,,Column source_system in control_execution
control_execution,provenance,TEXT,1,0,,Column provenance in control_execution
cost_center,id,INTEGER,0,1,,Column id in cost_center
cost_center,canonical_id,TEXT,1,0,,Column canonical_id in cost_center
cost_center,immutable_uuid,TEXT,1,0,,Column immutable_uuid in cost_center
cost_center,name,TEXT,1,0,,Column name in cost_center
cost_center,status,TEXT,1,0,,Column status in cost_center
cost_center,event_at,TEXT,0,0,,Column event_at in cost_center
cost_center,recorded_at,TEXT,0,0,,Column recorded_at in cost_center
cost_center,available_at,TEXT,0,0,,Column available_at in cost_center
cost_center,amount_minor,INTEGER,1,0,0,Column amount_minor in cost_center
cost_center,quantity_milli,INTEGER,1,0,0,Column quantity_milli in cost_center
cost_center,source_system,TEXT,1,0,,Column source_system in cost_center
cost_center,provenance,TEXT,1,0,,Column provenance in cost_center
crew,id,INTEGER,0,1,,Column id in crew
crew,canonical_id,TEXT,1,0,,Column canonical_id in crew
crew,immutable_uuid,TEXT,1,0,,Column immutable_uuid in crew
crew,name,TEXT,1,0,,Column name in crew
crew,status,TEXT,1,0,,Column status in crew
crew,event_at,TEXT,0,0,,Column event_at in crew
crew,recorded_at,TEXT,0,0,,Column recorded_at in crew
crew,available_at,TEXT,0,0,,Column available_at in crew
crew,amount_minor,INTEGER,1,0,0,Column amount_minor in crew
crew,quantity_milli,INTEGER,1,0,0,Column quantity_milli in crew
crew,source_system,TEXT,1,0,,Column source_system in crew
crew,provenance,TEXT,1,0,,Column provenance in crew
currency,id,INTEGER,0,1,,Column id in currency
currency,canonical_id,TEXT,1,0,,Column canonical_id in currency
currency,immutable_uuid,TEXT,1,0,,Column immutable_uuid in currency
currency,name,TEXT,1,0,,Column name in currency
currency,status,TEXT,1,0,,Column status in currency
currency,event_at,TEXT,0,0,,Column event_at in currency
currency,recorded_at,TEXT,0,0,,Column recorded_at in currency
currency,available_at,TEXT,0,0,,Column available_at in currency
currency,amount_minor,INTEGER,1,0,0,Column amount_minor in currency
currency,quantity_milli,INTEGER,1,0,0,Column quantity_milli in currency
currency,source_system,TEXT,1,0,,Column source_system in currency
currency,provenance,TEXT,1,0,,Column provenance in currency
customer,id,INTEGER,0,1,,Column id in customer
customer,canonical_id,TEXT,1,0,,Column canonical_id in customer
customer,immutable_uuid,TEXT,1,0,,Column immutable_uuid in customer
customer,name,TEXT,1,0,,Column name in customer
customer,status,TEXT,1,0,,Column status in customer
customer,event_at,TEXT,0,0,,Column event_at in customer
customer,recorded_at,TEXT,0,0,,Column recorded_at in customer
customer,available_at,TEXT,0,0,,Column available_at in customer
customer,amount_minor,INTEGER,1,0,0,Column amount_minor in customer
customer,quantity_milli,INTEGER,1,0,0,Column quantity_milli in customer
customer,source_system,TEXT,1,0,,Column source_system in customer
customer,provenance,TEXT,1,0,,Column provenance in customer
data_quality_rule,id,INTEGER,0,1,,Column id in data_quality_rule
data_quality_rule,canonical_id,TEXT,1,0,,Column canonical_id in data_quality_rule
data_quality_rule,immutable_uuid,TEXT,1,0,,Column immutable_uuid in data_quality_rule
data_quality_rule,name,TEXT,1,0,,Column name in data_quality_rule
data_quality_rule,status,TEXT,1,0,,Column status in data_quality_rule
data_quality_rule,event_at,TEXT,0,0,,Column event_at in data_quality_rule
data_quality_rule,recorded_at,TEXT,0,0,,Column recorded_at in data_quality_rule
data_quality_rule,available_at,TEXT,0,0,,Column available_at in data_quality_rule
data_quality_rule,amount_minor,INTEGER,1,0,0,Column amount_minor in data_quality_rule
data_quality_rule,quantity_milli,INTEGER,1,0,0,Column quantity_milli in data_quality_rule
data_quality_rule,source_system,TEXT,1,0,,Column source_system in data_quality_rule
data_quality_rule,provenance,TEXT,1,0,,Column provenance in data_quality_rule
dataset_version,id,INTEGER,0,1,,Column id in dataset_version
dataset_version,canonical_id,TEXT,1,0,,Column canonical_id in dataset_version
dataset_version,immutable_uuid,TEXT,1,0,,Column immutable_uuid in dataset_version
dataset_version,name,TEXT,1,0,,Column name in dataset_version
dataset_version,status,TEXT,1,0,,Column status in dataset_version
dataset_version,event_at,TEXT,0,0,,Column event_at in dataset_version
dataset_version,recorded_at,TEXT,0,0,,Column recorded_at in dataset_version
dataset_version,available_at,TEXT,0,0,,Column available_at in dataset_version
