scenario,entity,year,month,journal_id,event_id,source_id,fact_state,record_origin,available_at,payroll_batch_id,segment,gross_employer_cost_usd,cash_payment_usd,evidence_role,employee_source,unpaid_at_forecast_end_usd,planned_segment_fte
base,ARU_GROUP,2027,5,base-ARU_GROUP-2027-000909,EV-base-base-ARU_GROUP-2027-000909,PAYROLL-base-202705-TERMINALS,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000909,TERMINALS,200784,200784,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,27
base,ARU_GROUP,2027,5,base-ARU_GROUP-2027-000916,EV-base-base-ARU_GROUP-2027-000916,PAYROLL-base-202705-TRUCKING,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000916,TRUCKING,194118,194118,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,24
base,ARU_GROUP,2027,5,base-ARU_GROUP-2027-000923,EV-base-base-ARU_GROUP-2027-000923,PAYROLL-base-202705-WAREHOUSE,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000923,WAREHOUSE,92175,92175,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,12
base,ARU_GROUP,2027,5,base-ARU_GROUP-2027-000930,EV-base-base-ARU_GROUP-2027-000930,PAYROLL-base-202705-ARU,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-000930,ARU,144008,144008,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,10
base,ARU_GROUP,2027,6,base-ARU_GROUP-2027-001153,EV-base-base-ARU_GROUP-2027-001153,PAYROLL-base-202706-BST,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001153,BST,516154,516154,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,58
base,ARU_GROUP,2027,6,base-ARU_GROUP-2027-001160,EV-base-base-ARU_GROUP-2027-001160,PAYROLL-base-202706-TERMINALS,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001160,TERMINALS,200784,200784,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,27
base,ARU_GROUP,2027,6,base-ARU_GROUP-2027-001167,EV-base-base-ARU_GROUP-2027-001167,PAYROLL-base-202706-TRUCKING,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001167,TRUCKING,194118,194118,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,24
base,ARU_GROUP,2027,6,base-ARU_GROUP-2027-001174,EV-base-base-ARU_GROUP-2027-001174,PAYROLL-base-202706-WAREHOUSE,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001174,WAREHOUSE,92175,92175,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,12
base,ARU_GROUP,2027,6,base-ARU_GROUP-2027-001181,EV-base-base-ARU_GROUP-2027-001181,PAYROLL-base-202706-ARU,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001181,ARU,144008,144008,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,10
base,ARU_GROUP,2027,7,base-ARU_GROUP-2027-001406,EV-base-base-ARU_GROUP-2027-001406,PAYROLL-base-202707-BST,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001406,BST,516154,516154,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,58
base,ARU_GROUP,2027,7,base-ARU_GROUP-2027-001413,EV-base-base-ARU_GROUP-2027-001413,PAYROLL-base-202707-TERMINALS,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001413,TERMINALS,200784,200784,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,27
base,ARU_GROUP,2027,7,base-ARU_GROUP-2027-001420,EV-base-base-ARU_GROUP-2027-001420,PAYROLL-base-202707-TRUCKING,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001420,TRUCKING,194118,194118,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,24
base,ARU_GROUP,2027,7,base-ARU_GROUP-2027-001427,EV-base-base-ARU_GROUP-2027-001427,PAYROLL-base-202707-WAREHOUSE,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001427,WAREHOUSE,92175,92175,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,12
base,ARU_GROUP,2027,7,base-ARU_GROUP-2027-001434,EV-base-base-ARU_GROUP-2027-001434,PAYROLL-base-202707-ARU,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001434,ARU,144008,144008,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,10
base,ARU_GROUP,2027,8,base-ARU_GROUP-2027-001660,EV-base-base-ARU_GROUP-2027-001660,PAYROLL-base-202708-BST,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001660,BST,516154,516154,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,58
base,ARU_GROUP,2027,8,base-ARU_GROUP-2027-001667,EV-base-base-ARU_GROUP-2027-001667,PAYROLL-base-202708-TERMINALS,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001667,TERMINALS,200784,200784,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,27
base,ARU_GROUP,2027,8,base-ARU_GROUP-2027-001674,EV-base-base-ARU_GROUP-2027-001674,PAYROLL-base-202708-TRUCKING,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001674,TRUCKING,194118,194118,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,24
base,ARU_GROUP,2027,8,base-ARU_GROUP-2027-001681,EV-base-base-ARU_GROUP-2027-001681,PAYROLL-base-202708-WAREHOUSE,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001681,WAREHOUSE,92175,92175,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,12
base,ARU_GROUP,2027,8,base-ARU_GROUP-2027-001688,EV-base-base-ARU_GROUP-2027-001688,PAYROLL-base-202708-ARU,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001688,ARU,144008,144008,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,10
base,ARU_GROUP,2027,9,base-ARU_GROUP-2027-001914,EV-base-base-ARU_GROUP-2027-001914,PAYROLL-base-202709-BST,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001914,BST,516154,516154,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,58
base,ARU_GROUP,2027,9,base-ARU_GROUP-2027-001921,EV-base-base-ARU_GROUP-2027-001921,PAYROLL-base-202709-TERMINALS,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001921,TERMINALS,200784,200784,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,27
base,ARU_GROUP,2027,9,base-ARU_GROUP-2027-001928,EV-base-base-ARU_GROUP-2027-001928,PAYROLL-base-202709-TRUCKING,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001928,TRUCKING,194118,194118,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,24
base,ARU_GROUP,2027,9,base-ARU_GROUP-2027-001935,EV-base-base-ARU_GROUP-2027-001935,PAYROLL-base-202709-WAREHOUSE,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001935,WAREHOUSE,92175,92175,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,12
base,ARU_GROUP,2027,9,base-ARU_GROUP-2027-001942,EV-base-base-ARU_GROUP-2027-001942,PAYROLL-base-202709-ARU,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-001942,ARU,144008,144008,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,10
base,ARU_GROUP,2027,10,base-ARU_GROUP-2027-002170,EV-base-base-ARU_GROUP-2027-002170,PAYROLL-base-202710-BST,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-002170,BST,516154,516154,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,58
base,ARU_GROUP,2027,10,base-ARU_GROUP-2027-002177,EV-base-base-ARU_GROUP-2027-002177,PAYROLL-base-202710-TERMINALS,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-002177,TERMINALS,200784,200784,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,27
base,ARU_GROUP,2027,10,base-ARU_GROUP-2027-002184,EV-base-base-ARU_GROUP-2027-002184,PAYROLL-base-202710-TRUCKING,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-002184,TRUCKING,194118,194118,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,24
base,ARU_GROUP,2027,10,base-ARU_GROUP-2027-002191,EV-base-base-ARU_GROUP-2027-002191,PAYROLL-base-202710-WAREHOUSE,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-002191,WAREHOUSE,92175,92175,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,12
base,ARU_GROUP,2027,10,base-ARU_GROUP-2027-002198,EV-base-base-ARU_GROUP-2027-002198,PAYROLL-base-202710-ARU,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-002198,ARU,144008,144008,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,10
base,ARU_GROUP,2027,11,base-ARU_GROUP-2027-002427,EV-base-base-ARU_GROUP-2027-002427,PAYROLL-base-202711-BST,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-002427,BST,516154,516154,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,58
base,ARU_GROUP,2027,11,base-ARU_GROUP-2027-002434,EV-base-base-ARU_GROUP-2027-002434,PAYROLL-base-202711-TERMINALS,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-002434,TERMINALS,200784,200784,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,27
base,ARU_GROUP,2027,11,base-ARU_GROUP-2027-002441,EV-base-base-ARU_GROUP-2027-002441,PAYROLL-base-202711-TRUCKING,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-002441,TRUCKING,194118,194118,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,24
base,ARU_GROUP,2027,11,base-ARU_GROUP-2027-002448,EV-base-base-ARU_GROUP-2027-002448,PAYROLL-base-202711-WAREHOUSE,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-002448,WAREHOUSE,92175,92175,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,12
base,ARU_GROUP,2027,11,base-ARU_GROUP-2027-002455,EV-base-base-ARU_GROUP-2027-002455,PAYROLL-base-202711-ARU,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-002455,ARU,144008,144008,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,10
base,ARU_GROUP,2027,12,base-ARU_GROUP-2027-002684,EV-base-base-ARU_GROUP-2027-002684,PAYROLL-base-202712-BST,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-002684,BST,516154,516154,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,58
base,ARU_GROUP,2027,12,base-ARU_GROUP-2027-002691,EV-base-base-ARU_GROUP-2027-002691,PAYROLL-base-202712-TERMINALS,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-002691,TERMINALS,200784,200784,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,27
base,ARU_GROUP,2027,12,base-ARU_GROUP-2027-002698,EV-base-base-ARU_GROUP-2027-002698,PAYROLL-base-202712-TRUCKING,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-002698,TRUCKING,194118,194118,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,24
base,ARU_GROUP,2027,12,base-ARU_GROUP-2027-002705,EV-base-base-ARU_GROUP-2027-002705,PAYROLL-base-202712-WAREHOUSE,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-002705,WAREHOUSE,92175,92175,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,12
base,ARU_GROUP,2027,12,base-ARU_GROUP-2027-002712,EV-base-base-ARU_GROUP-2027-002712,PAYROLL-base-202712-ARU,FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2026-09-06T00:00:00-07:00,WAGE-base-base-ARU_GROUP-2027-002712,ARU,144008,144008,FORECAST_PAYROLL_BATCH_WITH_EMPLOYEE_CENSUS_SUPPORT,industrial/source/finance.json,0,10
