authorized,capacity_hours,expected_loaded_cost_usd,fact_state,home_group,leave_state,month_index,occupied,period,person_id,position_id,ramp_fraction,scenario,unit
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-021,SYN-FOUNDRY-FIELD-021,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-022,SYN-FOUNDRY-FIELD-022,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-023,SYN-FOUNDRY-FIELD-023,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-024,SYN-FOUNDRY-FIELD-024,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-025,SYN-FOUNDRY-FIELD-025,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-026,SYN-FOUNDRY-FIELD-026,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-027,SYN-FOUNDRY-FIELD-027,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-028,SYN-FOUNDRY-FIELD-028,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-029,SYN-FOUNDRY-FIELD-029,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-030,SYN-FOUNDRY-FIELD-030,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-031,SYN-FOUNDRY-FIELD-031,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-032,SYN-FOUNDRY-FIELD-032,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-033,SYN-FOUNDRY-FIELD-033,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-034,SYN-FOUNDRY-FIELD-034,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-035,SYN-FOUNDRY-FIELD-035,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-036,SYN-FOUNDRY-FIELD-036,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-037,SYN-FOUNDRY-FIELD-037,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-038,SYN-FOUNDRY-FIELD-038,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-039,SYN-FOUNDRY-FIELD-039,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-040,SYN-FOUNDRY-FIELD-040,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-041,SYN-FOUNDRY-FIELD-041,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-042,SYN-FOUNDRY-FIELD-042,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-043,SYN-FOUNDRY-FIELD-043,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-044,SYN-FOUNDRY-FIELD-044,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-045,SYN-FOUNDRY-FIELD-045,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-046,SYN-FOUNDRY-FIELD-046,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-047,SYN-FOUNDRY-FIELD-047,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-048,SYN-FOUNDRY-FIELD-048,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-049,SYN-FOUNDRY-FIELD-049,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-050,SYN-FOUNDRY-FIELD-050,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-051,SYN-FOUNDRY-FIELD-051,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-052,SYN-FOUNDRY-FIELD-052,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-053,SYN-FOUNDRY-FIELD-053,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-054,SYN-FOUNDRY-FIELD-054,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-055,SYN-FOUNDRY-FIELD-055,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-056,SYN-FOUNDRY-FIELD-056,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-057,SYN-FOUNDRY-FIELD-057,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-058,SYN-FOUNDRY-FIELD-058,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-059,SYN-FOUNDRY-FIELD-059,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-060,SYN-FOUNDRY-FIELD-060,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-061,SYN-FOUNDRY-FIELD-061,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-062,SYN-FOUNDRY-FIELD-062,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-063,SYN-FOUNDRY-FIELD-063,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-064,SYN-FOUNDRY-FIELD-064,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-065,SYN-FOUNDRY-FIELD-065,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-066,SYN-FOUNDRY-FIELD-066,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-067,SYN-FOUNDRY-FIELD-067,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-068,SYN-FOUNDRY-FIELD-068,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-069,SYN-FOUNDRY-FIELD-069,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-070,SYN-FOUNDRY-FIELD-070,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-071,SYN-FOUNDRY-FIELD-071,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-072,SYN-FOUNDRY-FIELD-072,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-073,SYN-FOUNDRY-FIELD-073,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-074,SYN-FOUNDRY-FIELD-074,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-075,SYN-FOUNDRY-FIELD-075,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-076,SYN-FOUNDRY-FIELD-076,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-077,SYN-FOUNDRY-FIELD-077,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-078,SYN-FOUNDRY-FIELD-078,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-079,SYN-FOUNDRY-FIELD-079,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-080,SYN-FOUNDRY-FIELD-080,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-081,SYN-FOUNDRY-FIELD-081,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-082,SYN-FOUNDRY-FIELD-082,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-083,SYN-FOUNDRY-FIELD-083,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-084,SYN-FOUNDRY-FIELD-084,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-085,SYN-FOUNDRY-FIELD-085,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-086,SYN-FOUNDRY-FIELD-086,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-087,SYN-FOUNDRY-FIELD-087,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-088,SYN-FOUNDRY-FIELD-088,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-089,SYN-FOUNDRY-FIELD-089,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-090,SYN-FOUNDRY-FIELD-090,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-091,SYN-FOUNDRY-FIELD-091,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-092,SYN-FOUNDRY-FIELD-092,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-093,SYN-FOUNDRY-FIELD-093,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-094,SYN-FOUNDRY-FIELD-094,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-095,SYN-FOUNDRY-FIELD-095,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-096,SYN-FOUNDRY-FIELD-096,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-097,SYN-FOUNDRY-FIELD-097,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-098,SYN-FOUNDRY-FIELD-098,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-099,SYN-FOUNDRY-FIELD-099,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-100,SYN-FOUNDRY-FIELD-100,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-101,SYN-FOUNDRY-FIELD-101,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-102,SYN-FOUNDRY-FIELD-102,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-103,SYN-FOUNDRY-FIELD-103,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-104,SYN-FOUNDRY-FIELD-104,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-105,SYN-FOUNDRY-FIELD-105,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-106,SYN-FOUNDRY-FIELD-106,1.0000,base,foundry-field
True,104.0000,12083.3333,CONDITIONAL_FORECAST_NOT_ACTUAL_EMPLOYMENT,foundry-field,ACTIVE,1,True,2027-01-31,SYN-PERSON-FOUNDRY-FIELD-107,SYN-FOUNDRY-FIELD-107,1.0000,base,foundry-field
