allocation_usd,basis,consumption_units,generated_consumption_units,gross_allocation_usd,period,planned_consumption_units,pool_id,posting_state,scenario,statutory_fee_credit_usd,unit
118505.4947,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,192.0000,72.0000,118505.4947,2027-01-31,120.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,foundry-field
11993.2332,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,60.0000,0.0000,18461.5385,2027-01-31,60.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,6468.3053,american-resource-utility
15384.6152,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,50.0000,0.0000,15384.6152,2027-01-31,50.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,corporate
102679.6877,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,156.0000,36.0000,102679.6877,2027-02-28,120.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,foundry-field
46732.4220,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,71.0000,6.0000,46732.4220,2027-02-28,65.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,atlas-meridian
16455.0782,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,25.0000,0.0000,16455.0782,2027-02-28,25.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,advisory
13164.0625,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,20.0000,0.0000,13164.0625,2027-02-28,20.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,willow
9873.0469,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,15.0000,0.0000,9873.0469,2027-02-28,15.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,project-cradle
31542.0929,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,70.0000,0.0000,46074.2188,2027-02-28,70.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,14532.1259,pale-sun
20985.0143,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,65.0000,0.0000,42783.2032,2027-02-28,65.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,21798.1889,american-resource-utility
59238.2813,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,90.0000,0.0000,59238.2813,2027-02-28,90.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,corporate
39972.4139,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,138.0000,108.0000,39972.4139,2027-02-28,30.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,foundry-field
9268.9655,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,32.0000,12.0000,9268.9655,2027-02-28,20.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,atlas-meridian
9848.2759,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,34.0000,4.0000,9848.2759,2027-02-28,30.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,advisory
9558.6207,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,33.0000,8.0000,9558.6207,2027-02-28,25.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,willow
10427.5862,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,36.0000,6.0000,10427.5862,2027-02-28,30.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,project-cradle
27514.1189,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,120.0000,0.0000,34758.6208,2027-02-28,120.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,7244.5019,pale-sun
29684.9714,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,140.0000,0.0000,40551.7243,2027-02-28,140.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,10866.7529,american-resource-utility
13613.7932,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,47.0000,2.0000,13613.7932,2027-02-28,45.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,corporate
34594.5947,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,160.0000,160.0000,34594.5947,2027-02-28,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,foundry-field
7783.7838,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,36.0000,36.0000,7783.7838,2027-02-28,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,atlas-meridian
7005.4054,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,32.4000,32.4000,7005.4054,2027-02-28,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,advisory
5102.7027,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,23.6000,23.6000,5102.7027,2027-02-28,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,willow
3891.8919,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,18.0000,18.0000,3891.8919,2027-02-28,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,project-cradle
23025.7685,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,140.0000,0.0000,30270.2704,2027-02-28,140.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,7244.5019,pale-sun
17457.5715,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,131.0000,0.0000,28324.3244,2027-02-28,131.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,10866.7529,american-resource-utility
51027.0272,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,236.0000,236.0000,51027.0272,2027-02-28,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,corporate
6097.5610,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,20.0000,0.0000,6097.5610,2027-02-28,20.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,foundry-field
6402.4390,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,21.0000,1.0000,6402.4390,2027-02-28,20.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,atlas-meridian
10670.7317,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,35.0000,5.0000,10670.7317,2027-02-28,30.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,advisory
10670.7317,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,35.0000,0.0000,10670.7317,2027-02-28,35.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,willow
12804.8780,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,42.0000,2.0000,12804.8780,2027-02-28,40.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,project-cradle
15504.8696,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,65.0000,0.0000,19817.0732,2027-02-28,65.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,4312.2036,pale-sun
11824.3776,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,60.0000,0.0000,18292.6829,2027-02-28,60.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,6468.3053,american-resource-utility
15243.9025,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,50.0000,0.0000,15243.9025,2027-02-28,50.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,corporate
102280.1558,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,156.0000,36.0000,102280.1558,2027-03-31,120.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,foundry-field
47861.8678,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,73.0000,8.0000,47861.8678,2027-03-31,65.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,atlas-meridian
16391.0506,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,25.0000,0.0000,16391.0506,2027-03-31,25.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,advisory
13112.8405,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,20.0000,0.0000,13112.8405,2027-03-31,20.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,willow
9834.6304,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,15.0000,0.0000,9834.6304,2027-03-31,15.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,project-cradle
31362.8158,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,70.0000,0.0000,45894.9417,2027-03-31,70.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,14532.1259,pale-sun
20818.5427,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,65.0000,0.0000,42616.7316,2027-03-31,65.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,21798.1889,american-resource-utility
59007.7822,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,90.0000,0.0000,59007.7822,2027-03-31,90.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,corporate
30654.7407,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,102.0000,72.0000,30654.7407,2027-03-31,30.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,foundry-field
11420.3936,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,38.0000,18.0000,11420.3936,2027-03-31,20.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,atlas-meridian
12021.4669,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,40.0000,10.0000,12021.4669,2027-03-31,30.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,advisory
9917.7102,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,33.0000,8.0000,9917.7102,2027-03-31,25.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,willow
11720.9303,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,39.0000,9.0000,11720.9303,2027-03-31,30.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,project-cradle
28819.8989,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,120.0000,0.0000,36064.4008,2027-03-31,120.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,7244.5019,pale-sun
31208.3814,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,140.0000,0.0000,42075.1343,2027-03-31,140.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,10866.7529,american-resource-utility
14125.2237,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,47.0000,2.0000,14125.2237,2027-03-31,45.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,corporate
34594.5947,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,160.0000,160.0000,34594.5947,2027-03-31,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,foundry-field
7783.7838,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,36.0000,36.0000,7783.7838,2027-03-31,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,atlas-meridian
7005.4054,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,32.4000,32.4000,7005.4054,2027-03-31,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,advisory
5102.7027,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,23.6000,23.6000,5102.7027,2027-03-31,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,willow
3891.8919,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,18.0000,18.0000,3891.8919,2027-03-31,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,project-cradle
23025.7685,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,140.0000,0.0000,30270.2704,2027-03-31,140.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,7244.5019,pale-sun
17457.5715,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,131.0000,0.0000,28324.3244,2027-03-31,131.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,10866.7529,american-resource-utility
51027.0272,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,236.0000,236.0000,51027.0272,2027-03-31,0.0000,people,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,corporate
6024.0964,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,20.0000,0.0000,6024.0964,2027-03-31,20.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,foundry-field
6325.3012,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,21.0000,1.0000,6325.3012,2027-03-31,20.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,atlas-meridian
11746.9880,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,39.0000,9.0000,11746.9880,2027-03-31,30.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,advisory
10542.1687,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,35.0000,0.0000,10542.1687,2027-03-31,35.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,willow
12650.6024,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,42.0000,2.0000,12650.6024,2027-03-31,40.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,project-cradle
15266.1097,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,65.0000,0.0000,19578.3133,2027-03-31,65.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,4312.2036,pale-sun
11603.9839,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,60.0000,0.0000,18072.2892,2027-03-31,60.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,6468.3053,american-resource-utility
15060.2408,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,50.0000,0.0000,15060.2408,2027-03-31,50.0000,assurance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,corporate
102280.1558,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,156.0000,36.0000,102280.1558,2027-04-30,120.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,foundry-field
47861.8678,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,73.0000,8.0000,47861.8678,2027-04-30,65.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,atlas-meridian
16391.0506,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,25.0000,0.0000,16391.0506,2027-04-30,25.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,advisory
13112.8405,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,20.0000,0.0000,13112.8405,2027-04-30,20.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,willow
9834.6304,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,15.0000,0.0000,9834.6304,2027-04-30,15.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,project-cradle
31362.8158,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,70.0000,0.0000,45894.9417,2027-04-30,70.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,14532.1259,pale-sun
20818.5427,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,65.0000,0.0000,42616.7316,2027-04-30,65.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,21798.1889,american-resource-utility
59007.7822,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,90.0000,0.0000,59007.7822,2027-04-30,90.0000,technology,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,corporate
30464.7888,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,103.0000,73.0000,30464.7888,2027-04-30,30.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,foundry-field
12422.5352,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,42.0000,22.0000,12422.5352,2027-04-30,20.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,atlas-meridian
12718.3099,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,43.0000,13.0000,12718.3099,2027-04-30,30.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,advisory
9760.5634,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,33.0000,8.0000,9760.5634,2027-04-30,25.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,willow
11830.9860,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,40.0000,10.0000,11830.9860,2027-04-30,30.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,project-cradle
28248.4560,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,120.0000,0.0000,35492.9579,2027-04-30,120.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,7244.5019,pale-sun
30541.6979,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,140.0000,0.0000,41408.4508,2027-04-30,140.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,10866.7529,american-resource-utility
13901.4085,DECLARED_SERVICE_UNITS_PLUS_GENERATED_ACTIVITY,47.0000,2.0000,13901.4085,2027-04-30,45.0000,finance,NONPOSTING; EXISTING_STATUTORY_FEES_CREDITED_ONCE,base,0.0000,corporate
