scenario,entity,year,month,asset_id,project_id,ledger_account,asset_status,conditional_service_index,actual_conditional_service_index,conditional_service_period,actual_conditional_service_period,method,gross_usd,opening_net_book_usd,additions_usd,depreciation_usd,accumulated_depreciation_usd,closing_net_book_usd,capitalized_to_inventory_usd,expense_depreciation_usd,project_budget_usd,project_paid_to_date_usd,available_at,record_origin,fact_state,period_role,effective_period_end
base,ARU_GROUP,2027,2,ARU-TERMINAL,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,12000000,11359863,0,50000,690137,11309863,0,50000,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,ARU_GROUP,2027,2,ARU-MOBILE,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,7000000,5933104,0,83334,1150230,5849770,0,83334,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,ARU_GROUP,2027,2,ARU-SUSTAIN-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,3300000,3121250,0,27500,206250,3093750,0,27500,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,ARU_GROUP,2027,2,ARU-CATCHUP-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,11000000,10602777,0,61111,458334,10541666,0,61111,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,ARU_GROUP,2027,2,ARU-INTERFACE-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,5250000,5096875,0,21875,175000,5075000,0,21875,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,ARU_GROUP,2027,2,CAPEX-base-ARU_GROUP-202701-replacement-PAID-1,,1400,CONDITIONAL_IN_SERVICE,1,1,2027-01,2027-01,STRAIGHT_LINE,283250,283250,0,1574,1574,281676,0,1574,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,RWH_PS,2027,2,RW-LEGACY-PRODUCTION,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,UNITS_OF_PRODUCTION,59000000,55194247,0,276164,4081917,54918083,276164,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,RWH_PS,2027,2,RW-INTERFACE-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,3250000,3155208,0,13542,108334,3141666,0,13542,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,RWH_PS,2027,2,CAPEX-base-RWH_PS-202701-replacement-PAID-1,,1400,CONDITIONAL_IN_SERVICE,1,1,2027-01,2027-01,PRODUCTION_STRAIGHT_LINE,593333,593333,0,2473,2473,590860,2342,131,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,RWH_PS,2027,2,CAPEX-base-RWH_PS-202702-replacement-PAID-2,,1400,CONDITIONAL_IN_SERVICE,2,2,2027-02,2027-02,PRODUCTION_STRAIGHT_LINE,593333,0,593333,0,0,593333,0,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,ARU_GROUP,2027,2,CAPEX-base-ARU_GROUP-202702-replacement-PAID-2,,1400,CONDITIONAL_IN_SERVICE,2,2,2027-02,2027-02,STRAIGHT_LINE,283250,0,283250,0,0,283250,0,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,ARU_GROUP,2027,3,ARU-LAND,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,LAND,8000000,8000000,0,0,0,8000000,0,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,ARU_GROUP,2027,3,ARU-TRACK,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,15000000,14424885,0,41667,616782,14383218,0,41667,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,ARU_GROUP,2027,3,ARU-TERMINAL,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,12000000,11309863,0,50000,740137,11259863,0,50000,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,ARU_GROUP,2027,3,ARU-MOBILE,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,7000000,5849770,0,83334,1233564,5766436,0,83334,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,ARU_GROUP,2027,3,ARU-SUSTAIN-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,3300000,3093750,0,27500,233750,3066250,0,27500,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,ARU_GROUP,2027,3,ARU-CATCHUP-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,11000000,10541666,0,61111,519445,10480555,0,61111,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,ARU_GROUP,2027,3,ARU-INTERFACE-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,5250000,5075000,0,21875,196875,5053125,0,21875,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,ARU_GROUP,2027,3,CAPEX-base-ARU_GROUP-202701-replacement-PAID-1,,1400,CONDITIONAL_IN_SERVICE,1,1,2027-01,2027-01,STRAIGHT_LINE,283250,281676,0,1574,3148,280102,0,1574,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,ARU_GROUP,2027,3,CAPEX-base-ARU_GROUP-202702-replacement-PAID-2,,1400,CONDITIONAL_IN_SERVICE,2,2,2027-02,2027-02,STRAIGHT_LINE,283250,283250,0,1574,1574,281676,0,1574,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,RWH_PS,2027,3,RW-LEGACY-PRODUCTION,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,UNITS_OF_PRODUCTION,59000000,54918083,0,305753,4387670,54612330,305753,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,RWH_PS,2027,3,RW-INTERFACE-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,3250000,3141666,0,13542,121876,3128124,0,13542,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,RWH_PS,2027,3,CAPEX-base-RWH_PS-202701-replacement-PAID-1,,1400,CONDITIONAL_IN_SERVICE,1,1,2027-01,2027-01,PRODUCTION_STRAIGHT_LINE,593333,590860,0,2473,4946,588387,2473,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,RWH_PS,2027,3,CAPEX-base-RWH_PS-202702-replacement-PAID-2,,1400,CONDITIONAL_IN_SERVICE,2,2,2027-02,2027-02,PRODUCTION_STRAIGHT_LINE,593333,593333,0,2473,2473,590860,2473,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,RWH_PS,2027,3,CAPEX-base-RWH_PS-202703-replacement-PAID-3,,1400,CONDITIONAL_IN_SERVICE,3,3,2027-03,2027-03,PRODUCTION_STRAIGHT_LINE,593333,0,593333,0,0,593333,0,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,ARU_GROUP,2027,3,CAPEX-base-ARU_GROUP-202703-replacement-PAID-3,,1400,CONDITIONAL_IN_SERVICE,3,3,2027-03,2027-03,STRAIGHT_LINE,283250,0,283250,0,0,283250,0,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,ARU_GROUP,2027,4,ARU-LAND,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,LAND,8000000,8000000,0,0,0,8000000,0,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,ARU_GROUP,2027,4,ARU-TRACK,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,15000000,14383218,0,41667,658449,14341551,0,41667,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,ARU_GROUP,2027,4,ARU-TERMINAL,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,12000000,11259863,0,50000,790137,11209863,0,50000,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,ARU_GROUP,2027,4,ARU-MOBILE,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,7000000,5766436,0,83334,1316898,5683102,0,83334,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,ARU_GROUP,2027,4,ARU-SUSTAIN-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,3300000,3066250,0,27500,261250,3038750,0,27500,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,ARU_GROUP,2027,4,ARU-CATCHUP-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,11000000,10480555,0,61111,580556,10419444,0,61111,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,ARU_GROUP,2027,4,ARU-INTERFACE-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,5250000,5053125,0,21875,218750,5031250,0,21875,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,ARU_GROUP,2027,4,CAPEX-base-ARU_GROUP-202701-replacement-PAID-1,,1400,CONDITIONAL_IN_SERVICE,1,1,2027-01,2027-01,STRAIGHT_LINE,283250,280102,0,1574,4722,278528,0,1574,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,ARU_GROUP,2027,4,CAPEX-base-ARU_GROUP-202702-replacement-PAID-2,,1400,CONDITIONAL_IN_SERVICE,2,2,2027-02,2027-02,STRAIGHT_LINE,283250,281676,0,1574,3148,280102,0,1574,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,ARU_GROUP,2027,4,CAPEX-base-ARU_GROUP-202703-replacement-PAID-3,,1400,CONDITIONAL_IN_SERVICE,3,3,2027-03,2027-03,STRAIGHT_LINE,283250,283250,0,1574,1574,281676,0,1574,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,RWH_PS,2027,4,RW-LEGACY-PRODUCTION,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,UNITS_OF_PRODUCTION,59000000,54612330,0,295890,4683560,54316440,295890,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,RWH_PS,2027,4,RW-INTERFACE-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,3250000,3128124,0,13542,135418,3114582,0,13542,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,RWH_PS,2027,4,CAPEX-base-RWH_PS-202701-replacement-PAID-1,,1400,CONDITIONAL_IN_SERVICE,1,1,2027-01,2027-01,PRODUCTION_STRAIGHT_LINE,593333,588387,0,2472,7418,585915,2472,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,RWH_PS,2027,4,CAPEX-base-RWH_PS-202702-replacement-PAID-2,,1400,CONDITIONAL_IN_SERVICE,2,2,2027-02,2027-02,PRODUCTION_STRAIGHT_LINE,593333,590860,0,2472,4945,588388,2472,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,RWH_PS,2027,4,CAPEX-base-RWH_PS-202703-replacement-PAID-3,,1400,CONDITIONAL_IN_SERVICE,3,3,2027-03,2027-03,PRODUCTION_STRAIGHT_LINE,593333,593333,0,2472,2472,590861,2472,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,RWH_PS,2027,4,CAPEX-base-RWH_PS-202704-replacement-PAID-4,,1400,CONDITIONAL_IN_SERVICE,4,4,2027-04,2027-04,PRODUCTION_STRAIGHT_LINE,593333,0,593333,0,0,593333,0,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,ARU_GROUP,2027,4,CAPEX-base-ARU_GROUP-202704-replacement-PAID-4,,1400,CONDITIONAL_IN_SERVICE,4,4,2027-04,2027-04,STRAIGHT_LINE,283250,0,283250,0,0,283250,0,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,ARU_GROUP,2027,5,ARU-LAND,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,LAND,8000000,8000000,0,0,0,8000000,0,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,ARU_GROUP,2027,5,ARU-TRACK,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,15000000,14341551,0,41667,700116,14299884,0,41667,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,ARU_GROUP,2027,5,ARU-TERMINAL,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,12000000,11209863,0,50000,840137,11159863,0,50000,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,ARU_GROUP,2027,5,ARU-MOBILE,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,7000000,5683102,0,83333,1400231,5599769,0,83333,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,ARU_GROUP,2027,5,ARU-SUSTAIN-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,3300000,3038750,0,27500,288750,3011250,0,27500,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,ARU_GROUP,2027,5,ARU-CATCHUP-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,11000000,10419444,0,61111,641667,10358333,0,61111,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,ARU_GROUP,2027,5,ARU-INTERFACE-2026,,1400,CONDITIONAL_IN_SERVICE,0,0,ACCEPTED_2026_OPENING,ACCEPTED_2026_OPENING,STRAIGHT_LINE,5250000,5031250,0,21875,240625,5009375,0,21875,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,ARU_GROUP,2027,5,CAPEX-base-ARU_GROUP-202701-replacement-PAID-1,,1400,CONDITIONAL_IN_SERVICE,1,1,2027-01,2027-01,STRAIGHT_LINE,283250,278528,0,1574,6296,276954,0,1574,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,ARU_GROUP,2027,5,CAPEX-base-ARU_GROUP-202702-replacement-PAID-2,,1400,CONDITIONAL_IN_SERVICE,2,2,2027-02,2027-02,STRAIGHT_LINE,283250,280102,0,1574,4722,278528,0,1574,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,ARU_GROUP,2027,5,CAPEX-base-ARU_GROUP-202703-replacement-PAID-3,,1400,CONDITIONAL_IN_SERVICE,3,3,2027-03,2027-03,STRAIGHT_LINE,283250,281676,0,1574,3148,280102,0,1574,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
