accumulated_usd,asset_id,cost_usd,net_book_usd,original_site,period,scenario,unit
26666.6665,STREAM17-MODULE,320000.0000,293333.3335,CRD-KGM17,2027-06-30,base,project-cradle
3500.0000,DEMOTTE-GEN2,210000.0000,206500.0000,CRD-DEMOTTE,2027-06-30,base,project-cradle
24000.0000,FORT-TEST-RIG,240000.0000,216000.0000,WIL-FORT-PGH,2027-07-31,base,willow
15000.0000,FORT-ANALYTICAL,180000.0000,165000.0000,WIL-FORT-PGH,2027-07-31,base,willow
38690.4760,BEDFORD-MODULE,650000.0000,611309.5240,CRD-BEDFORD,2027-07-31,base,project-cradle
31999.9998,STREAM17-MODULE,320000.0000,288000.0002,CRD-KGM17,2027-07-31,base,project-cradle
7000.0000,DEMOTTE-GEN2,210000.0000,203000.0000,CRD-DEMOTTE,2027-07-31,base,project-cradle
28000.0000,FORT-TEST-RIG,240000.0000,212000.0000,WIL-FORT-PGH,2027-08-31,base,willow
18000.0000,FORT-ANALYTICAL,180000.0000,162000.0000,WIL-FORT-PGH,2027-08-31,base,willow
46428.5712,BEDFORD-MODULE,650000.0000,603571.4288,CRD-BEDFORD,2027-08-31,base,project-cradle
37333.3331,STREAM17-MODULE,320000.0000,282666.6669,CRD-KGM17,2027-08-31,base,project-cradle
10500.0000,DEMOTTE-GEN2,210000.0000,199500.0000,CRD-DEMOTTE,2027-08-31,base,project-cradle
32000.0000,FORT-TEST-RIG,240000.0000,208000.0000,WIL-FORT-PGH,2027-09-30,base,willow
21000.0000,FORT-ANALYTICAL,180000.0000,159000.0000,WIL-FORT-PGH,2027-09-30,base,willow
54166.6664,BEDFORD-MODULE,650000.0000,595833.3336,CRD-BEDFORD,2027-09-30,base,project-cradle
42666.6664,STREAM17-MODULE,320000.0000,277333.3336,CRD-KGM17,2027-09-30,base,project-cradle
14000.0000,DEMOTTE-GEN2,210000.0000,196000.0000,CRD-DEMOTTE,2027-09-30,base,project-cradle
36000.0000,FORT-TEST-RIG,240000.0000,204000.0000,WIL-FORT-PGH,2027-10-31,base,foundry-field
24000.0000,FORT-ANALYTICAL,180000.0000,156000.0000,WIL-FORT-PGH,2027-10-31,base,willow
61904.7616,BEDFORD-MODULE,650000.0000,588095.2384,CRD-BEDFORD,2027-10-31,base,project-cradle
47999.9997,STREAM17-MODULE,320000.0000,272000.0003,CRD-KGM17,2027-10-31,base,project-cradle
17500.0000,DEMOTTE-GEN2,210000.0000,192500.0000,CRD-DEMOTTE,2027-10-31,base,project-cradle
40000.0000,FORT-TEST-RIG,240000.0000,200000.0000,WIL-FORT-PGH,2027-11-30,base,foundry-field
27000.0000,FORT-ANALYTICAL,180000.0000,153000.0000,WIL-FORT-PGH,2027-11-30,base,willow
69642.8568,BEDFORD-MODULE,650000.0000,580357.1432,CRD-BEDFORD,2027-11-30,base,project-cradle
53333.3330,STREAM17-MODULE,320000.0000,266666.6670,CRD-KGM17,2027-11-30,base,project-cradle
21000.0000,DEMOTTE-GEN2,210000.0000,189000.0000,CRD-DEMOTTE,2027-11-30,base,project-cradle
44000.0000,FORT-TEST-RIG,240000.0000,196000.0000,WIL-FORT-PGH,2027-12-31,base,foundry-field
30000.0000,FORT-ANALYTICAL,180000.0000,150000.0000,WIL-FORT-PGH,2027-12-31,base,willow
77380.9520,BEDFORD-MODULE,650000.0000,572619.0480,CRD-BEDFORD,2027-12-31,base,project-cradle
58666.6663,STREAM17-MODULE,320000.0000,261333.3337,CRD-KGM17,2027-12-31,base,project-cradle
24500.0000,DEMOTTE-GEN2,210000.0000,185500.0000,CRD-DEMOTTE,2027-12-31,base,project-cradle
