scenario,year,month,invoice_id,seller_entity,buyer_entity,segment,commodity,physical_cars,revenue_usd,external_variable_cost_usd,available_at,record_origin,fact_state,period_role,effective_period_end
base,2027,1,IC-base-202701-mro-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,mro,1,663,453,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-project-BST,ARU_GROUP,RWH_PS,BST,project,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-project-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,project,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,1,IC-base-202701-project-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,project,0,0,0,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-01-31
base,2027,2,IC-base-202702-acid-BST,ARU_GROUP,RWH_PS,BST,acid,4,3876,1689,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-acid-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,acid,4,2856,1607,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-acid-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,acid,4,5549,3790,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-binder-BST,ARU_GROUP,RWH_PS,BST,binder,5,4335,1854,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-binder-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,binder,5,2040,1185,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-binder-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,binder,5,5814,3914,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-lime-BST,ARU_GROUP,RWH_PS,BST,lime,1,867,371,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-lime-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,lime,1,459,258,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-lime-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,lime,1,1224,824,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-steel-BST,ARU_GROUP,RWH_PS,BST,steel,2,1938,886,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-steel-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,steel,2,1326,762,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-steel-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,steel,2,2295,1545,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-mro-BST,ARU_GROUP,RWH_PS,BST,mro,1,765,309,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-mro-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,mro,1,510,299,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-mro-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,mro,1,663,453,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-project-BST,ARU_GROUP,RWH_PS,BST,project,1,1428,670,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-project-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,project,1,1428,824,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,2,IC-base-202702-project-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,project,1,1836,1339,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-02-28
base,2027,3,IC-base-202703-acid-BST,ARU_GROUP,RWH_PS,BST,acid,5,4845,2112,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-acid-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,acid,5,3570,2009,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-acid-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,acid,5,6936,4738,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-binder-BST,ARU_GROUP,RWH_PS,BST,binder,5,4335,1854,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-binder-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,binder,5,2040,1185,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-binder-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,binder,5,5814,3914,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-lime-BST,ARU_GROUP,RWH_PS,BST,lime,1,867,371,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-lime-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,lime,1,459,258,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-lime-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,lime,1,1224,824,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-steel-BST,ARU_GROUP,RWH_PS,BST,steel,2,1938,886,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-steel-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,steel,2,1326,762,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-steel-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,steel,2,2295,1545,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-mro-BST,ARU_GROUP,RWH_PS,BST,mro,1,765,309,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-mro-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,mro,1,510,299,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-mro-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,mro,1,663,453,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-project-BST,ARU_GROUP,RWH_PS,BST,project,1,1428,670,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-project-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,project,1,1428,824,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,3,IC-base-202703-project-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,project,1,1836,1339,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-03-31
base,2027,4,IC-base-202704-acid-BST,ARU_GROUP,RWH_PS,BST,acid,5,4845,2112,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-acid-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,acid,5,3570,2009,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-acid-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,acid,5,6936,4738,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-binder-BST,ARU_GROUP,RWH_PS,BST,binder,6,5202,2225,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-binder-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,binder,6,2448,1421,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-binder-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,binder,6,6977,4697,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-lime-BST,ARU_GROUP,RWH_PS,BST,lime,1,867,371,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-lime-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,lime,1,459,258,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-lime-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,lime,1,1224,824,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-steel-BST,ARU_GROUP,RWH_PS,BST,steel,2,1938,886,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-steel-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,steel,2,1326,762,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-steel-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,steel,2,2295,1545,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-mro-BST,ARU_GROUP,RWH_PS,BST,mro,1,765,309,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-mro-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,mro,1,510,299,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-mro-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,mro,1,663,453,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-project-BST,ARU_GROUP,RWH_PS,BST,project,1,1428,670,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-project-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,project,1,1428,824,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,4,IC-base-202704-project-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,project,1,1836,1339,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-04-30
base,2027,5,IC-base-202705-acid-BST,ARU_GROUP,RWH_PS,BST,acid,4,3876,1689,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-acid-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,acid,4,2856,1607,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-acid-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,acid,4,5549,3790,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-binder-BST,ARU_GROUP,RWH_PS,BST,binder,5,4335,1854,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-binder-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,binder,5,2040,1185,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-binder-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,binder,5,5814,3914,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-lime-BST,ARU_GROUP,RWH_PS,BST,lime,1,867,371,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-lime-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,lime,1,459,258,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-lime-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,lime,1,1224,824,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-steel-BST,ARU_GROUP,RWH_PS,BST,steel,2,1938,886,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-steel-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,steel,2,1326,762,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-steel-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,steel,2,2295,1545,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-mro-BST,ARU_GROUP,RWH_PS,BST,mro,1,765,309,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-mro-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,mro,1,510,299,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-mro-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,mro,1,663,453,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-project-BST,ARU_GROUP,RWH_PS,BST,project,1,1428,670,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-project-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,project,1,1428,824,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,5,IC-base-202705-project-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,project,1,1836,1339,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-05-31
base,2027,6,IC-base-202706-acid-BST,ARU_GROUP,RWH_PS,BST,acid,5,4845,2112,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-06-30
base,2027,6,IC-base-202706-acid-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,acid,5,3570,2009,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-06-30
base,2027,6,IC-base-202706-acid-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,acid,5,6936,4738,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-06-30
base,2027,6,IC-base-202706-binder-BST,ARU_GROUP,RWH_PS,BST,binder,5,4335,1854,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-06-30
base,2027,6,IC-base-202706-binder-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,binder,5,2040,1185,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-06-30
base,2027,6,IC-base-202706-binder-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,binder,5,5814,3914,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-06-30
base,2027,6,IC-base-202706-lime-BST,ARU_GROUP,RWH_PS,BST,lime,1,867,371,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-06-30
base,2027,6,IC-base-202706-lime-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,lime,1,459,258,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-06-30
base,2027,6,IC-base-202706-lime-TRUCKING,ARU_GROUP,RWH_PS,TRUCKING,lime,1,1224,824,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-06-30
base,2027,6,IC-base-202706-steel-BST,ARU_GROUP,RWH_PS,BST,steel,2,1938,886,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-06-30
base,2027,6,IC-base-202706-steel-TERMINALS,ARU_GROUP,RWH_PS,TERMINALS,steel,2,1326,762,2026-09-06T00:00:00-07:00,PUBLIC_SYNTHETIC_PLANNING_MODEL,CONDITIONAL_FORECAST,CONDITIONAL_FORECAST,2027-06-30
