assets_usd,available_at,created_on,ending_cash_usd,entity,equity_usd,expense_usd,fact_state,financing_cash_flow_usd,investing_cash_flow_usd,liabilities_usd,month,net_income_usd,opening_cash_usd,opening_or_noncash_cash_bridge_usd,operating_cash_flow_usd,period_role,record_origin,revenue_usd,scenario,year
59562269.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,PS,59495602.3334,162083.1548,CONDITIONAL_FORECAST,862349.0000,-862349.0000,66666.6666,2,-33333.3333,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,128749.8215,base,2027
76674819.0000,2026-09-09T00:00:00Z,2026-09-09,2000000.0000,RWH,56671400.0000,3003230.0000,CONDITIONAL_FORECAST,862349.0000,-593333.0000,20003419.0000,2,-34311.0000,2000000.0000,0.0000,-269016.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2968919.0000,base,2027
83045372.0000,2026-09-09T00:00:00Z,2026-09-09,1662106.0000,ARU,59647402.0000,1962085.0000,CONDITIONAL_FORECAST,-347235.0000,-127463.0000,23397970.0000,2,22949.0000,2446170.0000,0.0000,-309366.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,1985034.0000,base,2027
37356271.0000,2026-09-09T00:00:00Z,2026-09-09,712331.0000,BST,22916712.0000,1324555.0000,CONDITIONAL_FORECAST,305568.0000,-155787.0000,14439559.0000,2,-132248.0000,1048358.0000,0.0000,-485808.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,1192307.0000,base,2027
-315512442.6666,2026-09-09T00:00:00Z,2026-09-09,0.0000,ELIM,-315306567.0000,-251292.1548,CONDITIONAL_FORECAST,-2587047.0000,2587047.0000,-205875.6666,2,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,-251292.1548,base,2027
254418941.3356,2026-09-09T00:00:00Z,2026-09-09,52502023.6759,CONSOLIDATED,123318931.8048,11432005.9215,CONDITIONAL_FORECAST,720682.0000,-1706583.0000,131100009.5308,2,-244594.6015,7494528.0000,0.0000,45993396.6759,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,11187411.3200,base,2027
203870733.8879,2026-09-09T00:00:00Z,2026-09-09,43210645.5385,SHI,123809638.2931,6875772.2316,CONDITIONAL_FORECAST,619929.0000,-719929.0000,80061095.5948,3,-1237524.1783,48127586.6759,0.0000,-4816941.1374,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,5638248.0533,base,2027
116287078.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,SHIH,116287078.0000,0.0000,CONDITIONAL_FORECAST,719929.0000,-719929.0000,0.0000,3,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,base,2027
60282198.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,PS,60182198.0001,162083.1547,CONDITIONAL_FORECAST,719929.0000,-719929.0000,99999.9999,3,-33333.3333,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,128749.8214,base,2027
77539919.0000,2026-09-09T00:00:00Z,2026-09-09,2000000.0000,RWH,57441539.0000,3342840.0000,CONDITIONAL_FORECAST,719929.0000,-593333.0000,20098380.0000,3,50210.0000,2000000.0000,0.0000,-126596.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,3393050.0000,base,2027
83390069.0000,2026-09-09T00:00:00Z,2026-09-09,1629494.0000,ARU,59882494.0000,2032272.0000,CONDITIONAL_FORECAST,-144099.0000,-127462.0000,23507575.0000,3,235092.0000,1662106.0000,0.0000,238949.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2267364.0000,base,2027
37472033.0000,2026-09-09T00:00:00Z,2026-09-09,698354.0000,BST,22894563.0000,1358794.0000,CONDITIONAL_FORECAST,102432.0000,-155788.0000,14577470.0000,3,-22149.0000,712331.0000,0.0000,39379.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,1336645.0000,base,2027
-317758632.9999,2026-09-09T00:00:00Z,2026-09-09,0.0000,ELIM,-317466354.0000,-254362.1547,CONDITIONAL_FORECAST,-2159787.0000,2159787.0000,-292278.9999,3,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,-254362.1547,base,2027
250108807.8880,2026-09-09T00:00:00Z,2026-09-09,47538493.5385,CONSOLIDATED,123031156.2932,13517399.2316,CONDITIONAL_FORECAST,578262.0000,-876583.0000,127077651.5948,3,-1007704.5116,52502023.6759,0.0000,-4665209.1374,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,12509694.7200,base,2027
199266959.4643,2026-09-09T00:00:00Z,2026-09-09,38400533.4038,SHI,123408008.8695,6802154.4769,CONDITIONAL_FORECAST,347077.0000,-447077.0000,75858950.5948,4,-848706.4236,43210645.5385,0.0000,-4710112.1347,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,5953448.0533,base,2027
116734155.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,SHIH,116734155.0000,0.0000,CONDITIONAL_FORECAST,447077.0000,-447077.0000,0.0000,4,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,base,2027
60729275.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,PS,60595941.6668,162083.1547,CONDITIONAL_FORECAST,447077.0000,-447077.0000,133333.3332,4,-33333.3333,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,128749.8214,base,2027
78125892.0000,2026-09-09T00:00:00Z,2026-09-09,2000000.0000,RWH,57924764.0000,3356902.0000,CONDITIONAL_FORECAST,447077.0000,-593333.0000,20201128.0000,4,36148.0000,2000000.0000,0.0000,146256.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,3393050.0000,base,2027
83310399.0000,2026-09-09T00:00:00Z,2026-09-09,1424776.0000,ARU,60078672.0000,2072757.0000,CONDITIONAL_FORECAST,-401507.0000,-127463.0000,23231727.0000,4,196178.0000,1629494.0000,0.0000,324252.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2268935.0000,base,2027
37434701.0000,2026-09-09T00:00:00Z,2026-09-09,610618.0000,BST,22872392.0000,1359683.0000,CONDITIONAL_FORECAST,-15160.0000,-155787.0000,14562309.0000,4,-22171.0000,698354.0000,0.0000,83211.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,1337512.0000,base,2027
-319185635.3332,2026-09-09T00:00:00Z,2026-09-09,0.0000,ELIM,-318807585.0000,-256800.1547,CONDITIONAL_FORECAST,-1341231.0000,1341231.0000,-378050.3332,4,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,-256800.1547,base,2027
245431316.1311,2026-09-09T00:00:00Z,2026-09-09,42435927.4038,CONSOLIDATED,122806348.5363,13496779.4769,CONDITIONAL_FORECAST,-69590.0000,-876583.0000,122624967.5948,4,-671884.7569,47538493.5385,0.0000,-4156393.1347,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,12824894.7200,base,2027
194474708.3953,2026-09-09T00:00:00Z,2026-09-09,34276307.9357,SHI,122617095.3005,6435644.2223,CONDITIONAL_FORECAST,209037.0000,-519037.0000,71857613.0948,5,-1099950.5690,38400533.4038,0.0000,-3814225.4681,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,5335693.6533,base,2027
117043192.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,SHIH,117043192.0000,0.0000,CONDITIONAL_FORECAST,309037.0000,-309037.0000,0.0000,5,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,base,2027
61038312.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,PS,60871645.3335,162083.1547,CONDITIONAL_FORECAST,309037.0000,-309037.0000,166666.6665,5,-33333.3333,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,128749.8214,base,2027
78640655.0000,2026-09-09T00:00:00Z,2026-09-09,2000000.0000,RWH,58330866.0000,3720117.0000,CONDITIONAL_FORECAST,309037.0000,-593333.0000,20309789.0000,5,97065.0000,2000000.0000,0.0000,284296.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,3817182.0000,base,2027
83878559.0000,2026-09-09T00:00:00Z,2026-09-09,1633444.0000,ARU,60399789.0000,2224462.0000,CONDITIONAL_FORECAST,-128232.0000,-127462.0000,23478770.0000,5,321117.0000,1424776.0000,0.0000,464362.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2545579.0000,base,2027
37652411.0000,2026-09-09T00:00:00Z,2026-09-09,700048.0000,BST,22968147.0000,1391518.0000,CONDITIONAL_FORECAST,86565.0000,-155788.0000,14684264.0000,5,95755.0000,610618.0000,0.0000,158653.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,1487273.0000,base,2027
-320190571.6665,2026-09-09T00:00:00Z,2026-09-09,0.0000,ELIM,-319734696.0000,-251292.1547,CONDITIONAL_FORECAST,-927111.0000,927111.0000,-455875.6665,5,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,-251292.1547,base,2027
241441269.7288,2026-09-09T00:00:00Z,2026-09-09,38609799.9357,CONSOLIDATED,122496038.6340,13682532.2223,CONDITIONAL_FORECAST,167370.0000,-1086583.0000,118945231.0948,5,-619346.9023,42435927.4038,0.0000,-2906914.4681,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,13063185.3200,base,2027
189815003.7170,2026-09-09T00:00:00Z,2026-09-09,28825807.2343,SHI,122493225.1222,6886298.2316,CONDITIONAL_FORECAST,-17420.0000,-82580.0000,67321778.5948,6,-206450.1783,34276307.9357,0.0000,-5350500.7014,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,6679848.0533,base,2027
117125772.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,SHIH,117125772.0000,0.0000,CONDITIONAL_FORECAST,82580.0000,-82580.0000,0.0000,6,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,base,2027
61120892.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,PS,60920892.0002,162083.1548,CONDITIONAL_FORECAST,82580.0000,-82580.0000,199999.9998,6,-33333.3333,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,128749.8215,base,2027
78877976.0000,2026-09-09T00:00:00Z,2026-09-09,2000000.0000,RWH,58501011.0000,3729617.0000,CONDITIONAL_FORECAST,82580.0000,-593333.0000,20376965.0000,6,87565.0000,2000000.0000,0.0000,510753.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,3817182.0000,base,2027
84078335.0000,2026-09-09T00:00:00Z,2026-09-09,1706083.0000,ARU,60723586.0000,2223363.0000,CONDITIONAL_FORECAST,-27192.0000,-127463.0000,23354749.0000,6,323797.0000,1633444.0000,0.0000,227294.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2547160.0000,base,2027
37733663.0000,2026-09-09T00:00:00Z,2026-09-09,731179.0000,BST,23063925.0000,1392464.0000,CONDITIONAL_FORECAST,-14475.0000,-155787.0000,14669738.0000,6,95778.0000,700048.0000,0.0000,201393.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,1488242.0000,base,2027
-320524714.9998,2026-09-09T00:00:00Z,2026-09-09,0.0000,ELIM,-319982436.0000,-254362.1548,CONDITIONAL_FORECAST,-247740.0000,247740.0000,-542278.9998,6,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,-254362.1548,base,2027
237120405.7172,2026-09-09T00:00:00Z,2026-09-09,33263069.2343,CONSOLIDATED,122845975.1224,14139463.2316,CONDITIONAL_FORECAST,-59087.0000,-876583.0000,114274430.5948,6,267356.4884,38609799.9357,0.0000,-4411060.7014,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,14406819.7200,base,2027
184580968.5505,2026-09-09T00:00:00Z,2026-09-09,24128753.7663,SHI,122537117.9557,6867199.6998,CONDITIONAL_FORECAST,-100000.0000,0.0000,62043850.5948,7,43892.8335,28825807.2343,0.0000,-4597053.4680,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,6911092.5333,base,2027
117125772.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,SHIH,117125772.0000,0.0000,CONDITIONAL_FORECAST,0.0000,0.0000,0.0000,7,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,base,2027
61120892.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,PS,60887558.6669,162083.1547,CONDITIONAL_FORECAST,0.0000,0.0000,233333.3331,7,-33333.3333,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,128749.8214,base,2027
79067510.0000,2026-09-09T00:00:00Z,2026-09-09,2116245.0000,RWH,58579998.0000,3738195.0000,CONDITIONAL_FORECAST,0.0000,-593333.0000,20487512.0000,7,78987.0000,2000000.0000,0.0000,709578.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,3817182.0000,base,2027
84216318.0000,2026-09-09T00:00:00Z,2026-09-09,1890135.0000,ARU,61045939.0000,2223116.0000,CONDITIONAL_FORECAST,-375253.0000,-127462.0000,23170379.0000,7,322353.0000,1706083.0000,0.0000,686767.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2545469.0000,base,2027
37776787.0000,2026-09-09T00:00:00Z,2026-09-09,810058.0000,BST,23148463.0000,1393592.0000,CONDITIONAL_FORECAST,-41414.0000,-155788.0000,14628324.0000,7,84538.0000,731179.0000,0.0000,276081.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,1478130.0000,base,2027
-320607416.3331,2026-09-09T00:00:00Z,2026-09-09,0.0000,ELIM,-319982436.0000,-253730.1547,CONDITIONAL_FORECAST,0.0000,0.0000,-624980.3331,7,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,-253730.1547,base,2027
232190724.2174,2026-09-09T00:00:00Z,2026-09-09,28945191.7663,CONSOLIDATED,123342412.6226,14130455.6998,CONDITIONAL_FORECAST,-516667.0000,-876583.0000,108848311.5948,7,496437.5002,33263069.2343,0.0000,-2924627.4680,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,14626893.2000,base,2027
179376699.9401,2026-09-09T00:00:00Z,2026-09-09,18929314.4449,SHI,122422829.3453,6785081.1437,CONDITIONAL_FORECAST,-100000.0000,0.0000,56953870.5948,8,-114288.6104,24128753.7663,0.0000,-5099439.3214,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,6670792.5333,base,2027
117125772.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,SHIH,117125772.0000,0.0000,CONDITIONAL_FORECAST,0.0000,0.0000,0.0000,8,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,base,2027
61120892.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,PS,60854225.3336,162083.1547,CONDITIONAL_FORECAST,0.0000,0.0000,266666.6664,8,-33333.3333,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,128749.8214,base,2027
79253138.0000,2026-09-09T00:00:00Z,2026-09-09,2232916.0000,RWH,58654340.0000,3742840.0000,CONDITIONAL_FORECAST,0.0000,-593333.0000,20598798.0000,8,74342.0000,2116245.0000,0.0000,710004.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,3817182.0000,base,2027
84730894.0000,2026-09-09T00:00:00Z,2026-09-09,2333513.0000,ARU,61369647.0000,2222247.0000,CONDITIONAL_FORECAST,-113509.0000,-127463.0000,23361247.0000,8,323708.0000,1890135.0000,0.0000,684350.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2545955.0000,base,2027
37932539.0000,2026-09-09T00:00:00Z,2026-09-09,1000077.0000,BST,23232376.0000,1394319.0000,CONDITIONAL_FORECAST,71842.0000,-155787.0000,14700163.0000,8,83913.0000,810058.0000,0.0000,273964.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,1478232.0000,base,2027
-320691381.6664,2026-09-09T00:00:00Z,2026-09-09,0.0000,ELIM,-319982436.0000,-254362.1547,CONDITIONAL_FORECAST,0.0000,0.0000,-708945.6664,8,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,-254362.1547,base,2027
227661604.2737,2026-09-09T00:00:00Z,2026-09-09,24495820.4449,CONSOLIDATED,123676753.6789,14052208.1437,CONDITIONAL_FORECAST,-141667.0000,-876583.0000,103984850.5948,8,334341.0563,28945191.7663,0.0000,-3431121.3214,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,14386549.2000,base,2027
177319931.8830,2026-09-09T00:00:00Z,2026-09-09,13630496.7902,SHI,122336893.1522,6901568.4064,CONDITIONAL_FORECAST,-100000.0000,0.0000,54983038.7308,9,-85936.1931,18929314.4449,0.0000,-5198817.6547,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,6815632.2133,base,2027
117125772.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,SHIH,117125772.0000,0.0000,CONDITIONAL_FORECAST,0.0000,0.0000,0.0000,9,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,base,2027
61120892.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,PS,60820892.0003,162083.1548,CONDITIONAL_FORECAST,0.0000,0.0000,299999.9997,9,-33333.3333,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,128749.8215,base,2027
79385340.0000,2026-09-09T00:00:00Z,2026-09-09,2359367.0000,RWH,58728439.0000,3743083.0000,CONDITIONAL_FORECAST,0.0000,-593333.0000,20656901.0000,9,74099.0000,2232916.0000,0.0000,719784.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,3817182.0000,base,2027
84394332.0000,2026-09-09T00:00:00Z,2026-09-09,2045109.0000,ARU,61695422.0000,2218079.0000,CONDITIONAL_FORECAST,6038.0000,-127462.0000,22698910.0000,9,325775.0000,2333513.0000,0.0000,-166980.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2543854.0000,base,2027
37967665.0000,2026-09-09T00:00:00Z,2026-09-09,1069332.0000,BST,23315208.0000,1394425.0000,CONDITIONAL_FORECAST,-47704.0000,-155788.0000,14652457.0000,9,82832.0000,1000077.0000,0.0000,272747.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,1477257.0000,base,2027
-320321644.9997,2026-09-09T00:00:00Z,2026-09-09,0.0000,ELIM,-319982436.0000,-251292.1548,CONDITIONAL_FORECAST,0.0000,0.0000,-339208.9997,9,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,-251292.1548,base,2027
225828042.8833,2026-09-09T00:00:00Z,2026-09-09,19104304.7902,CONSOLIDATED,124040190.1525,14167946.4064,CONDITIONAL_FORECAST,-141666.0000,-876583.0000,101787852.7308,9,363436.4736,24495820.4449,0.0000,-4373266.6547,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,14531382.8800,base,2027
173479499.3108,2026-09-09T00:00:00Z,2026-09-09,12459440.2822,SHI,122022548.7800,6669236.9055,CONDITIONAL_FORECAST,-100000.0000,0.0000,51456950.5308,10,-314344.3722,13630496.7902,0.0000,-1071056.5080,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,6354892.5333,base,2027
117125772.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,SHIH,117125772.0000,0.0000,CONDITIONAL_FORECAST,0.0000,0.0000,0.0000,10,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,base,2027
61120892.0000,2026-09-09T00:00:00Z,2026-09-09,0.0000,PS,60787558.6670,162083.1547,CONDITIONAL_FORECAST,0.0000,0.0000,333333.3330,10,-33333.3333,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,128749.8214,base,2027
79559265.0000,2026-09-09T00:00:00Z,2026-09-09,2477189.0000,RWH,58788370.0000,3757251.0000,CONDITIONAL_FORECAST,0.0000,-593333.0000,20770895.0000,10,59931.0000,2359367.0000,0.0000,711155.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,3817182.0000,base,2027
84533378.0000,2026-09-09T00:00:00Z,2026-09-09,2219621.0000,ARU,62019032.0000,2223916.0000,CONDITIONAL_FORECAST,-376572.0000,-127463.0000,22514346.0000,10,323610.0000,2045109.0000,0.0000,678547.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,2547526.0000,base,2027
38010274.0000,2026-09-09T00:00:00Z,2026-09-09,1144123.0000,BST,23397911.0000,1396390.0000,CONDITIONAL_FORECAST,-40094.0000,-155787.0000,14612363.0000,10,82703.0000,1069332.0000,0.0000,270672.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,1479093.0000,base,2027
-320410486.3330,2026-09-09T00:00:00Z,2026-09-09,0.0000,ELIM,-319982436.0000,-256800.1547,CONDITIONAL_FORECAST,0.0000,0.0000,-428050.3330,10,0.0000,0.0000,0.0000,0.0000,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,-256800.1547,base,2027
222269443.9778,2026-09-09T00:00:00Z,2026-09-09,18300373.2822,CONSOLIDATED,124158756.4470,13952076.9055,CONDITIONAL_FORECAST,-516666.0000,-876583.0000,98110687.5308,10,118566.2945,19104304.7902,0.0000,589317.4920,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,14070643.2000,base,2027
169292979.7645,2026-09-09T00:00:00Z,2026-09-09,8472826.0248,SHI,121989659.1697,6872182.1436,CONDITIONAL_FORECAST,-100000.0000,0.0000,47303320.5948,11,-32889.6103,12459440.2822,0.0000,-3886614.2574,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,6839292.5333,base,2027
