account,account_type,available_at,created_on,fact_state,month,period_role,record_origin,scenario,signed_usd,unit,view_type,year
BIZ_RESEARCH,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,38500.0000,willow,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
LEG_2100,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-248512.0000,willow,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1000,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-295020.4988,atlas-meridian,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
3100,equity,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,18532.5000,atlas-meridian,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_ALLOWANCE,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-9600.0000,atlas-meridian,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_AP,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-2800.0000,atlas-meridian,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_AR,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,480000.0000,atlas-meridian,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_CREDIT_LOSS,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,9600.0000,atlas-meridian,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_DEFERRED,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-440000.0000,atlas-meridian,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_DELIVERY,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,2800.0000,atlas-meridian,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_PAYROLL,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,524999.9988,atlas-meridian,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_REVENUE,revenue,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-40000.0000,atlas-meridian,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
LEG_2100,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-248512.0000,atlas-meridian,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1000,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-507500.0006,project-cradle,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
3100,equity,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,64528.4000,project-cradle,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_AP,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-27080.0000,project-cradle,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_INVENTORY,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,39830.0001,project-cradle,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_PAYROLL,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,156250.0005,project-cradle,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_PPE,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,320000.0000,project-cradle,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_PROCESSING,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,18500.0000,project-cradle,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
LEG_1100,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,229979.5000,project-cradle,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
LEG_2100,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-294507.9000,project-cradle,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1000,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-418333.3344,advisory,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
3100,equity,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,37065.0000,advisory,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_ALLOWANCE,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-5760.0000,advisory,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_AR,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,288000.0000,advisory,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_CREDIT_LOSS,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,5760.0000,advisory,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_DEFERRED,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-288000.0000,advisory,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
BIZ_PAYROLL,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,418333.3344,advisory,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
LEG_1100,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,459959.0000,advisory,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
LEG_2000,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-497024.0000,advisory,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1000,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,2000000.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1100,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,4106419.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1200,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,9074804.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1210,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,1129482.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1300,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,500000.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1400,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,62843333.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1490,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-3900545.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
2150,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-34517.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
2200,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-17372800.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
2300,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-2500000.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
2700,current_settlement,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-2814.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
3000,equity,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-117399840.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
3100,equity,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,2869375.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
4000,revenue,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-2968919.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
4100,revenue,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-128749.8214,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
5100,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,2546399.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
5150,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,163266.8214,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
5200,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,17973.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
5300,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,263467.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
5500,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,2814.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
5600,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,90932.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
INV_RWH,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,58699920.0000,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
SHARED_AP,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-33333.3333,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
SHARED_EXP,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,33333.3333,pale-sun,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1000,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,3494528.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1100,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,4668132.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1150,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,34517.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1200,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,1867905.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1300,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,721000.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1400,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,61833250.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1490,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-2969579.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1500,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,2500000.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1590,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-533450.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1600,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,14762500.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1700,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,235968.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
1800,asset,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,587500.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
2000,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-1607584.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
2100,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-1030000.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
2200,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-1750000.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
2250,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-234722.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
2300,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-600000.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
2400,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-21000000.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
2600,liability,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-1966552.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
3000,equity,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-79714880.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
3100,equity,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-3091227.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
4000,revenue,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-3138132.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
4100,revenue,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,-34517.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
5000,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,1147239.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
5100,expense,2026-09-09T00:00:00Z,2026-09-09,CONDITIONAL_FORECAST,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,1593679.0000,american-resource-utility,OPERATING_SEGMENT_WITH_EXPLICIT_REPORTING_CLEARING,2027
