account,account_type,available_at,cash_flow,created_on,credit_usd,debit_usd,description,effective_period_end,entity,fact_state,journal_id,line_no,month,period_role,record_origin,scenario,segment,signed_usd,source_id,source_type,unit,year
5300,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,3195096.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,RWH,CONDITIONAL_FORECAST,ENT-base-0000392,1580,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-3195096.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,pale-sun,2027
5500,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,131343.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,RWH,CONDITIONAL_FORECAST,ENT-base-0000392,1581,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-131343.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,pale-sun,2027
5600,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,1070402.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,RWH,CONDITIONAL_FORECAST,ENT-base-0000392,1582,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-1070402.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,pale-sun,2027
5200,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,87400.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,RWH,CONDITIONAL_FORECAST,ENT-base-0000392,1583,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-87400.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,pale-sun,2027
3100,equity,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,598341.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,RWH,CONDITIONAL_FORECAST,ENT-base-0000392,1584,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-598341.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,pale-sun,2027
LEG_5000,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,497024.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000393,1585,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,ADVISORY,-497024.0000,CLOSE-2026-ADVISORY,ANNUAL_CLOSE,advisory,2027
LEG_4010,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,459959.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000393,1586,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,ADVISORY,459959.0000,CLOSE-2026-ADVISORY,ANNUAL_CLOSE,advisory,2027
3100,equity,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,37065.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000393,1587,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,ADVISORY,37065.0000,CLOSE-2026-ADVISORY,ANNUAL_CLOSE,advisory,2027
LEG_6000,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,248512.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000394,1588,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,ATLAS,-248512.0000,CLOSE-2026-ATLAS,ANNUAL_CLOSE,atlas-meridian,2027
LEG_4020,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,229979.5000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000394,1589,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,ATLAS,229979.5000,CLOSE-2026-ATLAS,ANNUAL_CLOSE,atlas-meridian,2027
3100,equity,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,18532.5000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000394,1590,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,ATLAS,18532.5000,CLOSE-2026-ATLAS,ANNUAL_CLOSE,atlas-meridian,2027
LEG_5000,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,139254648.3667,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000395,1591,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORE,-139254648.3667,CLOSE-2026-CORE,ANNUAL_CLOSE,foundry-field,2027
LEG_4000,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,124780492.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000395,1592,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORE,124780492.0000,CLOSE-2026-CORE,ANNUAL_CLOSE,foundry-field,2027
LEG_6100,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,248512.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000395,1593,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORE,-248512.0000,CLOSE-2026-CORE,ANNUAL_CLOSE,foundry-field,2027
3100,equity,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,14722668.3667,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000395,1594,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORE,14722668.3667,CLOSE-2026-CORE,ANNUAL_CLOSE,foundry-field,2027
LEG_7100,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,2666.6668,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000396,1595,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-2666.6668,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,corporate,2027
LEG_6300,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,8283.7333,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000396,1596,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-8283.7333,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,corporate,2027
3100,equity,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,10950.4001,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000396,1597,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,10950.4001,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,corporate,2027
LEG_5000,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,294507.9000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000397,1598,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CRADLE,-294507.9000,CLOSE-2026-CRADLE,ANNUAL_CLOSE,project-cradle,2027
LEG_4050,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,229979.5000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000397,1599,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CRADLE,229979.5000,CLOSE-2026-CRADLE,ANNUAL_CLOSE,project-cradle,2027
3100,equity,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,64528.4000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000397,1600,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CRADLE,64528.4000,CLOSE-2026-CRADLE,ANNUAL_CLOSE,project-cradle,2027
LEG_4000,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,4599590.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000398,1601,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,FOUNDRY_FIELD,4599590.0000,CLOSE-2026-FOUNDRY_FIELD,ANNUAL_CLOSE,foundry-field,2027
3100,equity,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,4599590.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000398,1602,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,FOUNDRY_FIELD,-4599590.0000,CLOSE-2026-FOUNDRY_FIELD,ANNUAL_CLOSE,foundry-field,2027
LEG_6000,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,248512.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000399,1603,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,WILLOW,-248512.0000,CLOSE-2026-WILLOW,ANNUAL_CLOSE,willow,2027
3100,equity,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,248512.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHI,CONDITIONAL_FORECAST,ENT-base-0000399,1604,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,WILLOW,248512.0000,CLOSE-2026-WILLOW,ANNUAL_CLOSE,willow,2027
5800,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,900000.0000,0.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHIH,CONDITIONAL_FORECAST,ENT-base-0000400,1605,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-900000.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,corporate,2027
3100,equity,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,900000.0000,Close prior-year P&L to retained earnings within its operating segment,2027-01-01,SHIH,CONDITIONAL_FORECAST,ENT-base-0000400,1606,0,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,900000.0000,CLOSE-2026-CORPORATE,ANNUAL_CLOSE,corporate,2027
LEG_1100,asset,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,689938.5000,0.0000,Settle legacy opening operating receivables/payables in January,2027-01-31,SHI,CONDITIONAL_FORECAST,ENT-base-0000401,1607,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-689938.5000,CORE-OPEN-SETTLE-LEG_1100,OPENING_WORKING_CAPITAL_SETTLEMENT,corporate,2027
1000,asset,2026-09-09T00:00:00Z,OPERATING,2026-09-09,0.0000,689938.5000,Settle legacy opening operating receivables/payables in January,2027-01-31,SHI,CONDITIONAL_FORECAST,ENT-base-0000401,1608,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,689938.5000,CORE-OPEN-SETTLE-LEG_1100,OPENING_WORKING_CAPITAL_SETTLEMENT,corporate,2027
LEG_2000,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,497024.0000,Settle legacy opening operating receivables/payables in January,2027-01-31,SHI,CONDITIONAL_FORECAST,ENT-base-0000402,1609,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,497024.0000,CORE-OPEN-SETTLE-LEG_2000,OPENING_WORKING_CAPITAL_SETTLEMENT,corporate,2027
1000,asset,2026-09-09T00:00:00Z,OPERATING,2026-09-09,497024.0000,0.0000,Settle legacy opening operating receivables/payables in January,2027-01-31,SHI,CONDITIONAL_FORECAST,ENT-base-0000402,1610,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-497024.0000,CORE-OPEN-SETTLE-LEG_2000,OPENING_WORKING_CAPITAL_SETTLEMENT,corporate,2027
LEG_2100,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,791531.9000,Settle legacy opening operating receivables/payables in January,2027-01-31,SHI,CONDITIONAL_FORECAST,ENT-base-0000403,1611,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,791531.9000,CORE-OPEN-SETTLE-LEG_2100,OPENING_WORKING_CAPITAL_SETTLEMENT,corporate,2027
1000,asset,2026-09-09T00:00:00Z,OPERATING,2026-09-09,791531.9000,0.0000,Settle legacy opening operating receivables/payables in January,2027-01-31,SHI,CONDITIONAL_FORECAST,ENT-base-0000403,1612,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-791531.9000,CORE-OPEN-SETTLE-LEG_2100,OPENING_WORKING_CAPITAL_SETTLEMENT,corporate,2027
CORE_DDA,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,0.0000,112961.1937,Owned asset depreciation; goodwill remains nonamortizing,2027-01-31,SHI,CONDITIONAL_FORECAST,ENT-base-0000405,1613,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,112961.1937,CORE-DEPRECIATION,DERIVED_PLANNING,corporate,2027
CORE_ACCUM,asset,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,2026-09-09,112961.1937,0.0000,Owned asset depreciation; goodwill remains nonamortizing,2027-01-31,SHI,CONDITIONAL_FORECAST,ENT-base-0000405,1614,1,MANAGEMENT_FORECAST,PUBLIC_SYNTHETIC_PLANNING_MODEL,base,CORPORATE,-112961.1937,CORE-DEPRECIATION,DERIVED_PLANNING,corporate,2027
