case,check,left_usd,right_usd,difference_usd,tolerance_usd,status
ARU,Balanced journal ARU_GROUP-2026-00014,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00015,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00016,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00017,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00018,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00019,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00020,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00021,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00022,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00023,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00024,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00025,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00026,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00027,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00028,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00029,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00030,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00031,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00032,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00033,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00034,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00035,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00036,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00037,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00038,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00039,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00040,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00041,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00042,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00043,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00044,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00045,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00046,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00047,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00048,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00049,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00050,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00051,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00052,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00053,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00054,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00055,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00056,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00057,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00059,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00060,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00061,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00062,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00064,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00065,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00067,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00068,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00069,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00070,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00071,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00072,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00073,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00074,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00075,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00076,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00077,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00078,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00079,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00080,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00081,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00082,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00083,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00084,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00085,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00086,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00087,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00088,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00089,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00090,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00091,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00092,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00093,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00094,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00095,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00096,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00097,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00098,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00099,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00100,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00101,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00102,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00103,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00104,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00105,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00106,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00107,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00108,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00109,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00110,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00111,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00112,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00113,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00114,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00115,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00116,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00117,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00118,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00119,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00120,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00121,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00122,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00123,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00125,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00126,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00127,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00128,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00129,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00131,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00132,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00134,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00135,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00136,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00137,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00138,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00139,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00140,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00141,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00142,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00143,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00144,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00145,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00146,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00147,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00148,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00149,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00150,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00151,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00152,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00153,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00154,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00155,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00156,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00157,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00158,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00159,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00160,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00161,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00162,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00163,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00164,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00165,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00166,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00167,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00168,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00169,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00170,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00171,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00172,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00173,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00174,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00175,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00176,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00177,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00178,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00179,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00180,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00181,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00182,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00183,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00184,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00185,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00186,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00187,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00188,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00189,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00190,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00192,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00193,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00194,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00195,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00196,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00198,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00199,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00201,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00202,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00203,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00204,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00205,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00206,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00207,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00208,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00209,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00210,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00211,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00212,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00213,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00214,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00215,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00216,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00217,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00218,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00219,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00220,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00221,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00222,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00223,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00224,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00225,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00226,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00227,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00228,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00229,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00230,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00231,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00232,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00233,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00234,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00235,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00236,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00237,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00238,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00239,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00240,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00241,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00242,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00243,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00244,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00245,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00246,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00247,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00248,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00249,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00250,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00251,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00252,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00253,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00254,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00255,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00256,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00257,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00258,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00259,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00260,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00261,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00262,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00264,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00265,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00267,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00268,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00269,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00270,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00271,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00272,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00273,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00274,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00275,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00276,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00277,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00278,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00279,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00280,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00281,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00282,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00283,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00284,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00285,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00286,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00287,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00288,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00289,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00290,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00291,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00292,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00293,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00294,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00295,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00296,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00297,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00298,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00299,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00300,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00301,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00302,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00303,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00304,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00305,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00306,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00307,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00308,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00309,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00310,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00311,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00312,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00313,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00314,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00315,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00316,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00317,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00318,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00319,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00320,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00321,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00322,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00323,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00325,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00326,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00327,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00328,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00329,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00330,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00331,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00332,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00334,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00335,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00336,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00337,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00338,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00339,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00340,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00341,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00342,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00343,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00344,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00345,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00346,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00347,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00348,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00349,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00350,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00351,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00352,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00353,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00354,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00355,0,0,0,0.02,PASS
ARU,Balanced journal ARU_GROUP-2026-00356,0,0,0,0.02,PASS
