customer_id,due_date,invoice_id,months_past_due,outstanding_usd,period,scenario,unit
SYN-CUSTOMER-018,2027-02-28,INV-base-FF-018-TERM-0,0,1740000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-019,2027-02-28,INV-base-FF-019-TERM-0,0,1920000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-020,2027-02-28,INV-base-FF-020-TERM-0,0,1200000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-021,2027-02-28,INV-base-FF-021-TERM-0,0,1380000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-022,2027-02-28,INV-base-FF-022-TERM-0,0,1560000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-023,2027-02-28,INV-base-FF-023-TERM-0,0,1740000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-024,2027-02-28,INV-base-FF-024-TERM-0,0,1920000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-025,2027-02-28,INV-base-FF-025-TERM-0,0,1200000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-026,2027-02-28,INV-base-FF-026-TERM-0,0,1380000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-027,2027-02-28,INV-base-FF-027-TERM-0,0,1560000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-028,2027-02-28,INV-base-FF-028-TERM-0,0,1740000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-029,2027-02-28,INV-base-FF-029-TERM-0,0,1920000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-030,2027-02-28,INV-base-FF-030-TERM-0,0,1200000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-031,2027-02-28,INV-base-FF-031-TERM-0,0,1380000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-032,2027-02-28,INV-base-FF-032-TERM-0,0,1560000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-033,2027-02-28,INV-base-FF-033-TERM-0,0,1740000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-034,2027-02-28,INV-base-FF-034-TERM-0,0,1920000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-035,2027-02-28,INV-base-FF-035-TERM-0,0,1200000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-036,2027-02-28,INV-base-FF-036-TERM-0,0,1380000.0000,2027-01-31,base,foundry-field
SYN-CUSTOMER-001,2027-02-28,INV-base-ATL-LIC-001-TERM-0,0,240000.0000,2027-01-31,base,atlas-meridian
SYN-ATLAS-SELFSERVE-013,2027-02-28,INV-base-ATL-LIC-013-TERM-0,0,240000.0000,2027-01-31,base,atlas-meridian
SYN-CUSTOMER-001,2027-02-28,INV-base-base-01-MATTER_ACCEPTANCE-ADV-2027-01,0,288000.0000,2027-01-31,base,advisory
SYN-CUSTOMER-001,2027-02-28,INV-base-FF-001-TERM-0,0,552000.0000,2027-02-28,base,foundry-field
SYN-CUSTOMER-002,2027-02-28,INV-base-FF-002-TERM-0,0,1170000.0000,2027-02-28,base,foundry-field
SYN-CUSTOMER-003,2027-02-28,INV-base-FF-003-TERM-0,0,1305000.0000,2027-02-28,base,foundry-field
SYN-CUSTOMER-002,2027-03-31,INV-base-ATL-LIC-002-TERM-0,0,300000.0000,2027-02-28,base,atlas-meridian
SYN-ATLAS-SELFSERVE-014,2027-03-31,INV-base-ATL-LIC-014-TERM-0,0,300000.0000,2027-02-28,base,atlas-meridian
SYN-ATLAS-PARTNER-01,2027-03-31,INV-base-base-02-OUTCOME_ACCEPTED-ATL-2027-01-evaluated-workflow,0,168000.0000,2027-02-28,base,atlas-meridian
SYN-CUSTOMER-003,2027-03-31,INV-base-base-02-MATTER_ACCEPTANCE-ADV-2027-03,0,600000.0000,2027-02-28,base,advisory
SYN-CUSTOMER-004,2027-03-31,INV-base-base-02-MATTER_ACCEPTANCE-ADV-2027-04,0,396000.0000,2027-02-28,base,advisory
SYN-SPECIALIST-REFINER,2027-03-31,INV-base-base-02-DOWNSTREAM_ACCEPTANCE-STREAM17-base-01,0,99760.3200,2027-02-28,base,project-cradle
SYN-CUSTOMER-001,2027-02-28,INV-base-FF-001-TERM-0,1,552000.0000,2027-03-31,base,foundry-field
SYN-CUSTOMER-002,2027-02-28,INV-base-FF-002-TERM-0,1,1170000.0000,2027-03-31,base,foundry-field
SYN-CUSTOMER-003,2027-02-28,INV-base-FF-003-TERM-0,1,1305000.0000,2027-03-31,base,foundry-field
SYN-CUSTOMER-003,2027-04-30,INV-base-ATL-LIC-003-TERM-0,0,180000.0000,2027-03-31,base,atlas-meridian
SYN-ATLAS-SELFSERVE-015,2027-04-30,INV-base-ATL-LIC-015-TERM-0,0,180000.0000,2027-03-31,base,atlas-meridian
SYN-ATLAS-PARTNER-02,2027-04-30,INV-base-base-03-OUTCOME_ACCEPTED-ATL-2027-02-evaluated-workflow,0,168000.0000,2027-03-31,base,atlas-meridian
SYN-CUSTOMER-002,2027-04-30,INV-base-base-03-MATTER_ACCEPTANCE-ADV-2027-02,0,432000.0000,2027-03-31,base,advisory
SYN-CUSTOMER-005,2027-04-30,INV-base-base-03-MATTER_ACCEPTANCE-ADV-2027-05,0,384000.0000,2027-03-31,base,advisory
SYN-SPECIALIST-REFINER,2027-04-30,INV-base-base-03-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-01,0,554.4000,2027-03-31,base,project-cradle
SYN-SPECIALIST-REFINER,2027-04-30,INV-base-base-03-DOWNSTREAM_ACCEPTANCE-STREAM17-base-02,0,99760.3200,2027-03-31,base,project-cradle
SYN-CUSTOMER-002,2027-02-28,INV-base-FF-002-TERM-0,2,1170000.0000,2027-04-30,base,foundry-field
SYN-CUSTOMER-003,2027-02-28,INV-base-FF-003-TERM-0,2,1305000.0000,2027-04-30,base,foundry-field
SYN-CUSTOMER-004,2027-05-31,INV-base-ATL-LIC-004-TERM-0,0,240000.0000,2027-04-30,base,atlas-meridian
SYN-ATLAS-PARTNER-01,2027-05-31,INV-base-base-04-OUTCOME_ACCEPTED-ATL-2027-01-accepted-transfer,0,252000.0000,2027-04-30,base,atlas-meridian
SYN-ATLAS-PARTNER-03,2027-05-31,INV-base-base-04-OUTCOME_ACCEPTED-ATL-2027-03-evaluated-workflow,0,168000.0000,2027-04-30,base,atlas-meridian
SYN-CUSTOMER-002,2027-05-31,INV-base-base-04-VALUE_CERTIFIED-ADV-2027-02,0,108000.0000,2027-04-30,base,advisory
SYN-CUSTOMER-007,2027-05-31,INV-base-base-04-MATTER_ACCEPTANCE-ADV-2027-07,0,360000.0000,2027-04-30,base,advisory
SYN-CUSTOMER-008,2027-05-31,INV-base-base-04-MATTER_ACCEPTANCE-ADV-2027-08,0,528000.0000,2027-04-30,base,advisory
SYN-SPECIALIST-REFINER,2027-05-31,INV-base-base-04-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-02,0,554.4000,2027-04-30,base,project-cradle
SYN-SPECIALIST-REFINER,2027-05-31,INV-base-base-04-DOWNSTREAM_ACCEPTANCE-STREAM17-base-03,0,99760.3200,2027-04-30,base,project-cradle
SYN-CUSTOMER-003,2027-02-28,INV-base-FF-003-TERM-0,3,1305000.0000,2027-05-31,base,foundry-field
SYN-CUSTOMER-005,2027-06-30,INV-base-ATL-LIC-005-TERM-0,0,300000.0000,2027-05-31,base,atlas-meridian
SYN-ATLAS-PARTNER-04,2027-06-30,INV-base-base-05-OUTCOME_ACCEPTED-ATL-2027-04-evaluated-workflow,0,168000.0000,2027-05-31,base,atlas-meridian
SYN-CUSTOMER-009,2027-06-30,INV-base-base-05-MATTER_ACCEPTANCE-ADV-2027-09,0,480000.0000,2027-05-31,base,advisory
SYN-CUSTOMER-010,2027-06-30,INV-base-base-05-MATTER_ACCEPTANCE-ADV-2027-10,0,324000.0000,2027-05-31,base,advisory
SYN-SPECIALIST-REFINER,2027-06-30,INV-base-base-05-DOWNSTREAM_ACCEPTANCE-STREAM17-base-04,0,99760.3200,2027-05-31,base,project-cradle
SYN-CUSTOMER-001,2027-07-31,INV-base-FF-001-SYN-AMEND-001,0,70000.0000,2027-06-30,base,foundry-field
SYN-ATLAS-PARTNER-02,2027-07-31,INV-base-base-06-OUTCOME_ACCEPTED-ATL-2027-02-accepted-transfer,0,252000.0000,2027-06-30,base,atlas-meridian
SYN-ATLAS-PARTNER-03,2027-07-31,INV-base-base-06-OUTCOME_ACCEPTED-ATL-2027-03-accepted-transfer,0,252000.0000,2027-06-30,base,atlas-meridian
SYN-ATLAS-PARTNER-05,2027-07-31,INV-base-base-06-OUTCOME_ACCEPTED-ATL-2027-05-evaluated-workflow,0,168000.0000,2027-06-30,base,atlas-meridian
SYN-CUSTOMER-001,2027-07-31,INV-base-base-06-VALUE_CERTIFIED-ADV-2027-01,0,166400.0000,2027-06-30,base,advisory
SYN-CUSTOMER-011,2027-07-31,INV-base-base-06-MATTER_ACCEPTANCE-ADV-2027-11,0,480000.0000,2027-06-30,base,advisory
SYN-CUSTOMER-012,2027-07-31,INV-base-base-06-MATTER_ACCEPTANCE-ADV-2027-12,0,660000.0000,2027-06-30,base,advisory
SYN-SPECIALIST-REFINER,2027-07-31,INV-base-base-06-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-04,0,554.4000,2027-06-30,base,project-cradle
SYN-SPECIALIST-REFINER,2027-07-31,INV-base-base-06-DOWNSTREAM_ACCEPTANCE-STREAM17-base-05,0,99760.3200,2027-06-30,base,project-cradle
SYN-CUSTOMER-002,2027-08-31,INV-base-FF-002-SYN-AMEND-002,0,30000.0000,2027-07-31,base,foundry-field
SYN-CUSTOMER-006,2027-08-31,INV-base-ATL-LIC-006-TERM-0,0,180000.0000,2027-07-31,base,atlas-meridian
SYN-CUSTOMER-007,2027-08-31,INV-base-ATL-LIC-007-TERM-0,0,240000.0000,2027-07-31,base,atlas-meridian
SYN-ATLAS-PARTNER-04,2027-08-31,INV-base-base-07-OUTCOME_ACCEPTED-ATL-2027-04-accepted-transfer,0,252000.0000,2027-07-31,base,atlas-meridian
SYN-CUSTOMER-008,2027-08-31,INV-base-base-07-VALUE_CERTIFIED-ADV-2027-08,0,132000.0000,2027-07-31,base,advisory
SYN-CUSTOMER-013,2027-08-31,INV-base-base-07-MATTER_ACCEPTANCE-ADV-2027-13,0,288000.0000,2027-07-31,base,advisory
SYN-CUSTOMER-014,2027-08-31,INV-base-base-07-MATTER_ACCEPTANCE-ADV-2027-14,0,432000.0000,2027-07-31,base,advisory
SYN-SPECIALIST-REFINER,2027-08-31,INV-base-base-07-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-05,0,1298.8800,2027-07-31,base,project-cradle
SYN-SPECIALIST-REFINER,2027-08-31,INV-base-base-07-DOWNSTREAM_ACCEPTANCE-STREAM17-base-06,0,99760.3200,2027-07-31,base,project-cradle
SYN-CUSTOMER-008,2027-09-30,INV-base-ATL-LIC-008-TERM-0,0,300000.0000,2027-08-31,base,atlas-meridian
SYN-ATLAS-PARTNER-05,2027-09-30,INV-base-base-08-OUTCOME_ACCEPTED-ATL-2027-05-accepted-transfer,0,252000.0000,2027-08-31,base,atlas-meridian
SYN-CUSTOMER-005,2027-09-30,INV-base-base-08-VALUE_CERTIFIED-ADV-2027-05,0,96000.0000,2027-08-31,base,advisory
SYN-CUSTOMER-015,2027-09-30,INV-base-base-08-MATTER_ACCEPTANCE-ADV-2027-15,0,600000.0000,2027-08-31,base,advisory
SYN-CUSTOMER-016,2027-09-30,INV-base-base-08-MATTER_ACCEPTANCE-ADV-2027-16,0,396000.0000,2027-08-31,base,advisory
SYN-SPECIALIST-REFINER,2027-09-30,INV-base-base-08-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-06,0,1298.8800,2027-08-31,base,project-cradle
SYN-SPECIALIST-REFINER,2027-09-30,INV-base-base-08-DOWNSTREAM_ACCEPTANCE-STREAM17-base-07,0,99760.3200,2027-08-31,base,project-cradle
SYN-CUSTOMER-037,2027-10-31,INV-base-base-09-DEPLOYMENT_ACCEPTANCE-FF-037,0,120000.0000,2027-09-30,base,foundry-field
SYN-CUSTOMER-037,2027-10-31,INV-base-FF-037-TERM-0,0,1560000.0000,2027-09-30,base,foundry-field
SYN-CUSTOMER-037,2027-10-31,INV-base-FF-037-SYN-AMEND-037,0,144000.0000,2027-09-30,base,foundry-field
SYN-CUSTOMER-039,2027-10-31,INV-base-base-09-DEPLOYMENT_ACCEPTANCE-FF-039,0,120000.0000,2027-09-30,base,foundry-field
SYN-CUSTOMER-039,2027-10-31,INV-base-FF-039-TERM-0,0,1920000.0000,2027-09-30,base,foundry-field
SYN-CUSTOMER-009,2027-10-31,INV-base-ATL-LIC-009-TERM-0,0,180000.0000,2027-09-30,base,atlas-meridian
SYN-CUSTOMER-004,2027-10-31,INV-base-base-09-VALUE_CERTIFIED-ADV-2027-04,0,228800.0000,2027-09-30,base,advisory
SYN-CUSTOMER-007,2027-10-31,INV-base-base-09-VALUE_CERTIFIED-ADV-2027-07,0,208000.0000,2027-09-30,base,advisory
SYN-CUSTOMER-011,2027-10-31,INV-base-base-09-VALUE_CERTIFIED-ADV-2027-11,0,120000.0000,2027-09-30,base,advisory
SYN-CUSTOMER-017,2027-10-31,INV-base-base-09-MATTER_ACCEPTANCE-ADV-2027-17,0,384000.0000,2027-09-30,base,advisory
SYN-CUSTOMER-018,2027-10-31,INV-base-base-09-MATTER_ACCEPTANCE-ADV-2027-18,0,540000.0000,2027-09-30,base,advisory
SYN-SPECIALIST-REFINER,2027-10-31,INV-base-base-09-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-07,0,1298.8800,2027-09-30,base,project-cradle
SYN-CUSTOMER-040,2027-11-30,INV-base-base-10-DEPLOYMENT_ACCEPTANCE-FF-040,0,120000.0000,2027-10-31,base,foundry-field
SYN-CUSTOMER-040,2027-11-30,INV-base-FF-040-TERM-0,0,1200000.0000,2027-10-31,base,foundry-field
SYN-CUSTOMER-001,2027-11-30,INV-base-ATL-LIC-001-SYN-AMEND-ATL-001,0,10500.0000,2027-10-31,base,atlas-meridian
SYN-CUSTOMER-010,2027-11-30,INV-base-ATL-LIC-010-TERM-0,0,240000.0000,2027-10-31,base,atlas-meridian
SYN-CUSTOMER-010,2027-11-30,INV-base-base-10-VALUE_CERTIFIED-ADV-2027-10,0,187200.0000,2027-10-31,base,advisory
SYN-CUSTOMER-014,2027-11-30,INV-base-base-10-VALUE_CERTIFIED-ADV-2027-14,0,108000.0000,2027-10-31,base,advisory
SYN-CUSTOMER-019,2027-11-30,INV-base-base-10-MATTER_ACCEPTANCE-ADV-2027-19,0,360000.0000,2027-10-31,base,advisory
SYN-CUSTOMER-020,2027-11-30,INV-base-base-10-MATTER_ACCEPTANCE-ADV-2027-20,0,528000.0000,2027-10-31,base,advisory
SYN-SPECIALIST-REFINER,2027-11-30,INV-base-base-10-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-08,0,1298.8800,2027-10-31,base,project-cradle
SYN-SPECIALIST-REFINER,2027-11-30,INV-base-base-10-DOWNSTREAM_ACCEPTANCE-STREAM17-base-09,0,99760.3200,2027-10-31,base,project-cradle
SYN-CUSTOMER-041,2027-12-31,INV-base-base-11-DEPLOYMENT_ACCEPTANCE-FF-041,0,120000.0000,2027-11-30,base,foundry-field
SYN-CUSTOMER-041,2027-12-31,INV-base-FF-041-TERM-0,0,1380000.0000,2027-11-30,base,foundry-field
SYN-CUSTOMER-011,2027-12-31,INV-base-ATL-LIC-011-TERM-0,0,300000.0000,2027-11-30,base,atlas-meridian
SYN-CUSTOMER-021,2027-12-31,INV-base-base-11-MATTER_ACCEPTANCE-ADV-2027-21,0,480000.0000,2027-11-30,base,advisory
SYN-CUSTOMER-022,2027-12-31,INV-base-base-11-MATTER_ACCEPTANCE-ADV-2027-22,0,324000.0000,2027-11-30,base,advisory
SYN-SPECIALIST-REFINER,2027-12-31,INV-base-base-11-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-09,0,1298.8800,2027-11-30,base,project-cradle
SYN-SPECIALIST-REFINER,2027-12-31,INV-base-base-11-DOWNSTREAM_ACCEPTANCE-STREAM17-base-10,0,99760.3200,2027-11-30,base,project-cradle
SYN-CUSTOMER-042,2028-01-31,INV-base-base-12-DEPLOYMENT_ACCEPTANCE-FF-042,0,120000.0000,2027-12-31,base,foundry-field
SYN-CUSTOMER-042,2028-01-31,INV-base-FF-042-TERM-0,0,1560000.0000,2027-12-31,base,foundry-field
SYN-CUSTOMER-012,2028-01-31,INV-base-ATL-LIC-012-TERM-0,0,180000.0000,2027-12-31,base,atlas-meridian
SYN-CUSTOMER-013,2028-01-31,INV-base-base-12-VALUE_CERTIFIED-ADV-2027-13,0,166400.0000,2027-12-31,base,advisory
SYN-CUSTOMER-017,2028-01-31,INV-base-base-12-VALUE_CERTIFIED-ADV-2027-17,0,96000.0000,2027-12-31,base,advisory
SYN-CUSTOMER-023,2028-01-31,INV-base-base-12-MATTER_ACCEPTANCE-ADV-2027-23,0,480000.0000,2027-12-31,base,advisory
SYN-SPECIALIST-REFINER,2028-01-31,INV-base-base-12-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-10,0,1298.8800,2027-12-31,base,project-cradle
SYN-SPECIALIST-REFINER,2028-01-31,INV-base-base-12-DOWNSTREAM_ACCEPTANCE-STREAM17-base-11,0,99760.3200,2027-12-31,base,project-cradle
