allowance_usd,gross_ar_usd,invoice_id,months_past_due,period,rate,risk_grade,scenario,unit
8640.0000,432000.0000,INV-base-base-03-MATTER_ACCEPTANCE-ADV-2027-02,0,2027-03-31,0.02,current,base,advisory
7680.0000,384000.0000,INV-base-base-03-MATTER_ACCEPTANCE-ADV-2027-05,0,2027-03-31,0.02,current,base,advisory
11.0880,554.4000,INV-base-base-03-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-01,0,2027-03-31,0.02,current,base,project-cradle
1995.2064,99760.3200,INV-base-base-03-DOWNSTREAM_ACCEPTANCE-STREAM17-base-02,0,2027-03-31,0.02,current,base,project-cradle
409500.0000,1170000.0000,INV-base-FF-002-TERM-0,2,2027-04-30,0.35,disputed,base,foundry-field
1305000.0000,1305000.0000,INV-base-FF-003-TERM-0,2,2027-04-30,1,default,base,foundry-field
4800.0000,240000.0000,INV-base-ATL-LIC-004-TERM-0,0,2027-04-30,0.02,current,base,atlas-meridian
5040.0000,252000.0000,INV-base-base-04-OUTCOME_ACCEPTED-ATL-2027-01-accepted-transfer,0,2027-04-30,0.02,current,base,atlas-meridian
3360.0000,168000.0000,INV-base-base-04-OUTCOME_ACCEPTED-ATL-2027-03-evaluated-workflow,0,2027-04-30,0.02,current,base,atlas-meridian
2160.0000,108000.0000,INV-base-base-04-VALUE_CERTIFIED-ADV-2027-02,0,2027-04-30,0.02,current,base,advisory
7200.0000,360000.0000,INV-base-base-04-MATTER_ACCEPTANCE-ADV-2027-07,0,2027-04-30,0.02,current,base,advisory
10560.0000,528000.0000,INV-base-base-04-MATTER_ACCEPTANCE-ADV-2027-08,0,2027-04-30,0.02,current,base,advisory
11.0880,554.4000,INV-base-base-04-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-02,0,2027-04-30,0.02,current,base,project-cradle
1995.2064,99760.3200,INV-base-base-04-DOWNSTREAM_ACCEPTANCE-STREAM17-base-03,0,2027-04-30,0.02,current,base,project-cradle
1305000.0000,1305000.0000,INV-base-FF-003-TERM-0,3,2027-05-31,1,default,base,foundry-field
6000.0000,300000.0000,INV-base-ATL-LIC-005-TERM-0,0,2027-05-31,0.02,current,base,atlas-meridian
3360.0000,168000.0000,INV-base-base-05-OUTCOME_ACCEPTED-ATL-2027-04-evaluated-workflow,0,2027-05-31,0.02,current,base,atlas-meridian
9600.0000,480000.0000,INV-base-base-05-MATTER_ACCEPTANCE-ADV-2027-09,0,2027-05-31,0.02,current,base,advisory
6480.0000,324000.0000,INV-base-base-05-MATTER_ACCEPTANCE-ADV-2027-10,0,2027-05-31,0.02,current,base,advisory
1995.2064,99760.3200,INV-base-base-05-DOWNSTREAM_ACCEPTANCE-STREAM17-base-04,0,2027-05-31,0.02,current,base,project-cradle
1400.0000,70000.0000,INV-base-FF-001-SYN-AMEND-001,0,2027-06-30,0.02,current,base,foundry-field
5040.0000,252000.0000,INV-base-base-06-OUTCOME_ACCEPTED-ATL-2027-02-accepted-transfer,0,2027-06-30,0.02,current,base,atlas-meridian
5040.0000,252000.0000,INV-base-base-06-OUTCOME_ACCEPTED-ATL-2027-03-accepted-transfer,0,2027-06-30,0.02,current,base,atlas-meridian
3360.0000,168000.0000,INV-base-base-06-OUTCOME_ACCEPTED-ATL-2027-05-evaluated-workflow,0,2027-06-30,0.02,current,base,atlas-meridian
3328.0000,166400.0000,INV-base-base-06-VALUE_CERTIFIED-ADV-2027-01,0,2027-06-30,0.02,current,base,advisory
9600.0000,480000.0000,INV-base-base-06-MATTER_ACCEPTANCE-ADV-2027-11,0,2027-06-30,0.02,current,base,advisory
13200.0000,660000.0000,INV-base-base-06-MATTER_ACCEPTANCE-ADV-2027-12,0,2027-06-30,0.02,current,base,advisory
11.0880,554.4000,INV-base-base-06-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-04,0,2027-06-30,0.02,current,base,project-cradle
1995.2064,99760.3200,INV-base-base-06-DOWNSTREAM_ACCEPTANCE-STREAM17-base-05,0,2027-06-30,0.02,current,base,project-cradle
600.0000,30000.0000,INV-base-FF-002-SYN-AMEND-002,0,2027-07-31,0.02,current,base,foundry-field
3600.0000,180000.0000,INV-base-ATL-LIC-006-TERM-0,0,2027-07-31,0.02,current,base,atlas-meridian
4800.0000,240000.0000,INV-base-ATL-LIC-007-TERM-0,0,2027-07-31,0.02,current,base,atlas-meridian
5040.0000,252000.0000,INV-base-base-07-OUTCOME_ACCEPTED-ATL-2027-04-accepted-transfer,0,2027-07-31,0.02,current,base,atlas-meridian
2640.0000,132000.0000,INV-base-base-07-VALUE_CERTIFIED-ADV-2027-08,0,2027-07-31,0.02,current,base,advisory
5760.0000,288000.0000,INV-base-base-07-MATTER_ACCEPTANCE-ADV-2027-13,0,2027-07-31,0.02,current,base,advisory
8640.0000,432000.0000,INV-base-base-07-MATTER_ACCEPTANCE-ADV-2027-14,0,2027-07-31,0.02,current,base,advisory
25.9776,1298.8800,INV-base-base-07-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-05,0,2027-07-31,0.02,current,base,project-cradle
1995.2064,99760.3200,INV-base-base-07-DOWNSTREAM_ACCEPTANCE-STREAM17-base-06,0,2027-07-31,0.02,current,base,project-cradle
6000.0000,300000.0000,INV-base-ATL-LIC-008-TERM-0,0,2027-08-31,0.02,current,base,atlas-meridian
5040.0000,252000.0000,INV-base-base-08-OUTCOME_ACCEPTED-ATL-2027-05-accepted-transfer,0,2027-08-31,0.02,current,base,atlas-meridian
1920.0000,96000.0000,INV-base-base-08-VALUE_CERTIFIED-ADV-2027-05,0,2027-08-31,0.02,current,base,advisory
12000.0000,600000.0000,INV-base-base-08-MATTER_ACCEPTANCE-ADV-2027-15,0,2027-08-31,0.02,current,base,advisory
7920.0000,396000.0000,INV-base-base-08-MATTER_ACCEPTANCE-ADV-2027-16,0,2027-08-31,0.02,current,base,advisory
25.9776,1298.8800,INV-base-base-08-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-06,0,2027-08-31,0.02,current,base,project-cradle
1995.2064,99760.3200,INV-base-base-08-DOWNSTREAM_ACCEPTANCE-STREAM17-base-07,0,2027-08-31,0.02,current,base,project-cradle
2400.0000,120000.0000,INV-base-base-09-DEPLOYMENT_ACCEPTANCE-FF-037,0,2027-09-30,0.02,current,base,foundry-field
31200.0000,1560000.0000,INV-base-FF-037-TERM-0,0,2027-09-30,0.02,current,base,foundry-field
2880.0000,144000.0000,INV-base-FF-037-SYN-AMEND-037,0,2027-09-30,0.02,current,base,foundry-field
2400.0000,120000.0000,INV-base-base-09-DEPLOYMENT_ACCEPTANCE-FF-039,0,2027-09-30,0.02,current,base,foundry-field
38400.0000,1920000.0000,INV-base-FF-039-TERM-0,0,2027-09-30,0.02,current,base,foundry-field
3600.0000,180000.0000,INV-base-ATL-LIC-009-TERM-0,0,2027-09-30,0.02,current,base,atlas-meridian
4576.0000,228800.0000,INV-base-base-09-VALUE_CERTIFIED-ADV-2027-04,0,2027-09-30,0.02,current,base,advisory
4160.0000,208000.0000,INV-base-base-09-VALUE_CERTIFIED-ADV-2027-07,0,2027-09-30,0.02,current,base,advisory
2400.0000,120000.0000,INV-base-base-09-VALUE_CERTIFIED-ADV-2027-11,0,2027-09-30,0.02,current,base,advisory
7680.0000,384000.0000,INV-base-base-09-MATTER_ACCEPTANCE-ADV-2027-17,0,2027-09-30,0.02,current,base,advisory
10800.0000,540000.0000,INV-base-base-09-MATTER_ACCEPTANCE-ADV-2027-18,0,2027-09-30,0.02,current,base,advisory
25.9776,1298.8800,INV-base-base-09-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-07,0,2027-09-30,0.02,current,base,project-cradle
2400.0000,120000.0000,INV-base-base-10-DEPLOYMENT_ACCEPTANCE-FF-040,0,2027-10-31,0.02,current,base,foundry-field
24000.0000,1200000.0000,INV-base-FF-040-TERM-0,0,2027-10-31,0.02,current,base,foundry-field
210.0000,10500.0000,INV-base-ATL-LIC-001-SYN-AMEND-ATL-001,0,2027-10-31,0.02,current,base,atlas-meridian
4800.0000,240000.0000,INV-base-ATL-LIC-010-TERM-0,0,2027-10-31,0.02,current,base,atlas-meridian
3744.0000,187200.0000,INV-base-base-10-VALUE_CERTIFIED-ADV-2027-10,0,2027-10-31,0.02,current,base,advisory
2160.0000,108000.0000,INV-base-base-10-VALUE_CERTIFIED-ADV-2027-14,0,2027-10-31,0.02,current,base,advisory
7200.0000,360000.0000,INV-base-base-10-MATTER_ACCEPTANCE-ADV-2027-19,0,2027-10-31,0.02,current,base,advisory
10560.0000,528000.0000,INV-base-base-10-MATTER_ACCEPTANCE-ADV-2027-20,0,2027-10-31,0.02,current,base,advisory
25.9776,1298.8800,INV-base-base-10-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-08,0,2027-10-31,0.02,current,base,project-cradle
1995.2064,99760.3200,INV-base-base-10-DOWNSTREAM_ACCEPTANCE-STREAM17-base-09,0,2027-10-31,0.02,current,base,project-cradle
2400.0000,120000.0000,INV-base-base-11-DEPLOYMENT_ACCEPTANCE-FF-041,0,2027-11-30,0.02,current,base,foundry-field
27600.0000,1380000.0000,INV-base-FF-041-TERM-0,0,2027-11-30,0.02,current,base,foundry-field
6000.0000,300000.0000,INV-base-ATL-LIC-011-TERM-0,0,2027-11-30,0.02,current,base,atlas-meridian
9600.0000,480000.0000,INV-base-base-11-MATTER_ACCEPTANCE-ADV-2027-21,0,2027-11-30,0.02,current,base,advisory
6480.0000,324000.0000,INV-base-base-11-MATTER_ACCEPTANCE-ADV-2027-22,0,2027-11-30,0.02,current,base,advisory
25.9776,1298.8800,INV-base-base-11-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-09,0,2027-11-30,0.02,current,base,project-cradle
1995.2064,99760.3200,INV-base-base-11-DOWNSTREAM_ACCEPTANCE-STREAM17-base-10,0,2027-11-30,0.02,current,base,project-cradle
2400.0000,120000.0000,INV-base-base-12-DEPLOYMENT_ACCEPTANCE-FF-042,0,2027-12-31,0.02,current,base,foundry-field
31200.0000,1560000.0000,INV-base-FF-042-TERM-0,0,2027-12-31,0.02,current,base,foundry-field
3600.0000,180000.0000,INV-base-ATL-LIC-012-TERM-0,0,2027-12-31,0.02,current,base,atlas-meridian
3328.0000,166400.0000,INV-base-base-12-VALUE_CERTIFIED-ADV-2027-13,0,2027-12-31,0.02,current,base,advisory
1920.0000,96000.0000,INV-base-base-12-VALUE_CERTIFIED-ADV-2027-17,0,2027-12-31,0.02,current,base,advisory
9600.0000,480000.0000,INV-base-base-12-MATTER_ACCEPTANCE-ADV-2027-23,0,2027-12-31,0.02,current,base,advisory
25.9776,1298.8800,INV-base-base-12-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-10,0,2027-12-31,0.02,current,base,project-cradle
1995.2064,99760.3200,INV-base-base-12-DOWNSTREAM_ACCEPTANCE-STREAM17-base-11,0,2027-12-31,0.02,current,base,project-cradle
