accumulated_depreciation_usd,allowance_usd,deferred_revenue_usd,gross_ar_usd,gross_ppe_usd,host_payable_usd,inventory_usd,period,scenario,unit,vendor_ap_usd
44547.6188,1995.2064,0.0000,99760.3200,1180000.0000,39904.1280,39830.0001,2027-05-31,base,project-cradle,31059.8000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2027-05-31,base,corporate,113000.0000
0.0000,1400.0000,28050000.0000,70000.0000,0.0000,0.0000,0.0000,2027-06-30,base,foundry-field,97200.0000
0.0000,13440.0000,1260000.0000,672000.0000,0.0000,0.0000,0.0000,2027-06-30,base,atlas-meridian,29300.0000
0.0000,26128.0000,2937600.0000,1306400.0000,0.0000,0.0000,0.0000,2027-06-30,base,advisory,27048.0000
32000.0000,0.0000,0.0000,0.0000,420000.0000,0.0000,0.0000,2027-06-30,base,willow,34000.0000
61119.0473,2006.2944,0.0000,100314.7200,1180000.0000,39904.1280,39830.0001,2027-06-30,base,project-cradle,31059.8000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2027-06-30,base,corporate,113000.0000
0.0000,600.0000,23400000.0000,30000.0000,0.0000,0.0000,0.0000,2027-07-31,base,foundry-field,97200.0000
0.0000,13440.0000,1480000.0000,672000.0000,0.0000,0.0000,0.0000,2027-07-31,base,atlas-meridian,32700.0000
0.0000,17040.0000,2180400.0000,852000.0000,0.0000,0.0000,0.0000,2027-07-31,base,advisory,31920.0000
39000.0000,0.0000,0.0000,0.0000,420000.0000,0.0000,0.0000,2027-07-31,base,willow,35000.0000
77690.4758,2021.1840,0.0000,101059.2000,1180000.0000,39904.1280,39830.0001,2027-07-31,base,project-cradle,31059.8000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2027-07-31,base,corporate,113000.0000
0.0000,0.0000,18604000.0000,0.0000,0.0000,0.0000,0.0000,2027-08-31,base,foundry-field,97200.0000
0.0000,11040.0000,1555000.0000,552000.0000,0.0000,0.0000,0.0000,2027-08-31,base,atlas-meridian,33900.0000
0.0000,21840.0000,1914000.0000,1092000.0000,0.0000,0.0000,0.0000,2027-08-31,base,advisory,28140.0000
46000.0000,0.0000,0.0000,0.0000,420000.0000,0.0000,0.0000,2027-08-31,base,willow,35000.0000
94261.9043,2021.1840,0.0000,101059.2000,1180000.0000,39904.1280,0.0000,2027-08-31,base,project-cradle,31059.8000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2027-08-31,base,corporate,113000.0000
0.0000,77280.0000,16795000.0000,3864000.0000,0.0000,0.0000,0.0000,2027-09-30,base,foundry-field,101400.0000
0.0000,3600.0000,1495000.0000,180000.0000,0.0000,0.0000,0.0000,2027-09-30,base,atlas-meridian,35300.0000
0.0000,29616.0000,1936800.0000,1480800.0000,0.0000,0.0000,0.0000,2027-09-30,base,advisory,21840.0000
53000.0000,0.0000,0.0000,0.0000,420000.0000,0.0000,0.0000,2027-09-30,base,willow,35000.0000
110833.3328,25.9776,0.0000,1298.8800,1180000.0000,19952.0640,39830.0001,2027-09-30,base,project-cradle,27080.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2027-09-30,base,corporate,113000.0000
36000.0000,26400.0000,13102000.0000,1320000.0000,240000.0000,0.0000,0.0000,2027-10-31,base,foundry-field,103200.0000
0.0000,5010.0000,1482000.0000,250500.0000,0.0000,0.0000,0.0000,2027-10-31,base,atlas-meridian,28350.0000
0.0000,23664.0000,2226000.0000,1183200.0000,0.0000,0.0000,0.0000,2027-10-31,base,advisory,22722.0000
24000.0000,0.0000,0.0000,0.0000,180000.0000,0.0000,0.0000,2027-10-31,base,willow,26000.0000
127404.7613,2021.1840,0.0000,101059.2000,1180000.0000,19952.0640,41566.1112,2027-10-31,base,project-cradle,31059.8000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2027-10-31,base,corporate,113000.0000
40000.0000,30000.0000,9474000.0000,1500000.0000,240000.0000,0.0000,0.0000,2027-11-30,base,foundry-field,105600.0000
0.0000,6000.0000,1493500.0000,300000.0000,0.0000,0.0000,0.0000,2027-11-30,base,atlas-meridian,30150.0000
0.0000,16080.0000,1791600.0000,804000.0000,0.0000,0.0000,0.0000,2027-11-30,base,advisory,21840.0000
27000.0000,0.0000,0.0000,0.0000,180000.0000,0.0000,0.0000,2027-11-30,base,willow,0.0000
143976.1898,2021.1840,0.0000,101059.2000,1180000.0000,39904.1280,41566.1112,2027-11-30,base,project-cradle,31059.8000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2027-11-30,base,corporate,113000.0000
44000.0000,33600.0000,5896000.0000,1680000.0000,240000.0000,0.0000,0.0000,2027-12-31,base,foundry-field,108600.0000
0.0000,3600.0000,1370000.0000,180000.0000,0.0000,0.0000,0.0000,2027-12-31,base,atlas-meridian,22800.0000
0.0000,14848.0000,1389600.0000,742400.0000,0.0000,0.0000,0.0000,2027-12-31,base,advisory,21840.0000
30000.0000,0.0000,0.0000,0.0000,180000.0000,0.0000,0.0000,2027-12-31,base,willow,0.0000
160547.6183,2021.1840,0.0000,101059.2000,1180000.0000,39904.1280,41566.1112,2027-12-31,base,project-cradle,31059.8000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2027-12-31,base,corporate,113375.0000
