action,amount_usd,collected_usd,credit_usd,customer_id,due_date,invoice_amount_usd,invoice_id,month_index,period,record_origin,recovered_usd,refunded_usd,remaining_usd,scenario,source_id,unit,writtenoff_credit_usd,writtenoff_usd
RECEIPT,1380000.0000,1380000.0000,0.0000,SYN-CUSTOMER-021,2027-02-28,1380000.0000,INV-base-FF-021-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-021-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1560000.0000,1560000.0000,0.0000,SYN-CUSTOMER-022,2027-02-28,1560000.0000,INV-base-FF-022-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-022-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1740000.0000,1740000.0000,0.0000,SYN-CUSTOMER-023,2027-02-28,1740000.0000,INV-base-FF-023-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-023-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1920000.0000,1920000.0000,0.0000,SYN-CUSTOMER-024,2027-02-28,1920000.0000,INV-base-FF-024-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-024-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1200000.0000,1200000.0000,0.0000,SYN-CUSTOMER-025,2027-02-28,1200000.0000,INV-base-FF-025-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-025-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1380000.0000,1380000.0000,0.0000,SYN-CUSTOMER-026,2027-02-28,1380000.0000,INV-base-FF-026-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-026-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1560000.0000,1560000.0000,0.0000,SYN-CUSTOMER-027,2027-02-28,1560000.0000,INV-base-FF-027-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-027-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1740000.0000,1740000.0000,0.0000,SYN-CUSTOMER-028,2027-02-28,1740000.0000,INV-base-FF-028-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-028-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1920000.0000,1920000.0000,0.0000,SYN-CUSTOMER-029,2027-02-28,1920000.0000,INV-base-FF-029-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-029-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1200000.0000,1200000.0000,0.0000,SYN-CUSTOMER-030,2027-02-28,1200000.0000,INV-base-FF-030-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-030-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1380000.0000,1380000.0000,0.0000,SYN-CUSTOMER-031,2027-02-28,1380000.0000,INV-base-FF-031-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-031-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1560000.0000,1560000.0000,0.0000,SYN-CUSTOMER-032,2027-02-28,1560000.0000,INV-base-FF-032-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-032-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1740000.0000,1740000.0000,0.0000,SYN-CUSTOMER-033,2027-02-28,1740000.0000,INV-base-FF-033-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-033-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1920000.0000,1920000.0000,0.0000,SYN-CUSTOMER-034,2027-02-28,1920000.0000,INV-base-FF-034-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-034-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1200000.0000,1200000.0000,0.0000,SYN-CUSTOMER-035,2027-02-28,1200000.0000,INV-base-FF-035-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-035-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,1380000.0000,1380000.0000,0.0000,SYN-CUSTOMER-036,2027-02-28,1380000.0000,INV-base-FF-036-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-FF-036-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,240000.0000,240000.0000,0.0000,SYN-CUSTOMER-001,2027-02-28,240000.0000,INV-base-ATL-LIC-001-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-ATL-LIC-001-TERM-0,atlas-meridian,0.0000,0.0000
RECEIPT,240000.0000,240000.0000,0.0000,SYN-ATLAS-SELFSERVE-013,2027-02-28,240000.0000,INV-base-ATL-LIC-013-TERM-0,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-ATL-LIC-013-TERM-0,atlas-meridian,0.0000,0.0000
RECEIPT,288000.0000,288000.0000,0.0000,SYN-CUSTOMER-001,2027-02-28,288000.0000,INV-base-base-01-MATTER_ACCEPTANCE-ADV-2027-01,2,2027-02-28,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-02-COLLECTION-INV-base-base-01-MATTER_ACCEPTANCE-ADV-2027-01,advisory,0.0000,0.0000
RECEIPT,300000.0000,300000.0000,0.0000,SYN-CUSTOMER-002,2027-03-31,300000.0000,INV-base-ATL-LIC-002-TERM-0,3,2027-03-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-03-COLLECTION-INV-base-ATL-LIC-002-TERM-0,atlas-meridian,0.0000,0.0000
RECEIPT,300000.0000,300000.0000,0.0000,SYN-ATLAS-SELFSERVE-014,2027-03-31,300000.0000,INV-base-ATL-LIC-014-TERM-0,3,2027-03-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-03-COLLECTION-INV-base-ATL-LIC-014-TERM-0,atlas-meridian,0.0000,0.0000
RECEIPT,600000.0000,600000.0000,0.0000,SYN-CUSTOMER-003,2027-03-31,600000.0000,INV-base-base-02-MATTER_ACCEPTANCE-ADV-2027-03,3,2027-03-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-03-COLLECTION-INV-base-base-02-MATTER_ACCEPTANCE-ADV-2027-03,advisory,0.0000,0.0000
RECEIPT,396000.0000,396000.0000,0.0000,SYN-CUSTOMER-004,2027-03-31,396000.0000,INV-base-base-02-MATTER_ACCEPTANCE-ADV-2027-04,3,2027-03-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-03-COLLECTION-INV-base-base-02-MATTER_ACCEPTANCE-ADV-2027-04,advisory,0.0000,0.0000
RECEIPT,168000.0000,168000.0000,0.0000,SYN-ATLAS-PARTNER-01,2027-03-31,168000.0000,INV-base-base-02-OUTCOME_ACCEPTED-ATL-2027-01-evaluated-workflow,3,2027-03-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-03-COLLECTION-INV-base-base-02-OUTCOME_ACCEPTED-ATL-2027-01-evaluated-workflow,atlas-meridian,0.0000,0.0000
RECEIPT,99760.3200,99760.3200,0.0000,SYN-SPECIALIST-REFINER,2027-03-31,99760.3200,INV-base-base-02-DOWNSTREAM_ACCEPTANCE-STREAM17-base-01,3,2027-03-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-03-COLLECTION-INV-base-base-02-DOWNSTREAM_ACCEPTANCE-STREAM17-base-01,project-cradle,0.0000,0.0000
RECEIPT,552000.0000,1380000.0000,0.0000,SYN-CUSTOMER-001,2027-02-28,1380000.0000,INV-base-FF-001-TERM-0,4,2027-04-30,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-04-COLLECTION-INV-base-FF-001-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,180000.0000,180000.0000,0.0000,SYN-CUSTOMER-003,2027-04-30,180000.0000,INV-base-ATL-LIC-003-TERM-0,4,2027-04-30,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-04-COLLECTION-INV-base-ATL-LIC-003-TERM-0,atlas-meridian,0.0000,0.0000
RECEIPT,180000.0000,180000.0000,0.0000,SYN-ATLAS-SELFSERVE-015,2027-04-30,180000.0000,INV-base-ATL-LIC-015-TERM-0,4,2027-04-30,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-04-COLLECTION-INV-base-ATL-LIC-015-TERM-0,atlas-meridian,0.0000,0.0000
RECEIPT,432000.0000,432000.0000,0.0000,SYN-CUSTOMER-002,2027-04-30,432000.0000,INV-base-base-03-MATTER_ACCEPTANCE-ADV-2027-02,4,2027-04-30,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-04-COLLECTION-INV-base-base-03-MATTER_ACCEPTANCE-ADV-2027-02,advisory,0.0000,0.0000
RECEIPT,384000.0000,384000.0000,0.0000,SYN-CUSTOMER-005,2027-04-30,384000.0000,INV-base-base-03-MATTER_ACCEPTANCE-ADV-2027-05,4,2027-04-30,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-04-COLLECTION-INV-base-base-03-MATTER_ACCEPTANCE-ADV-2027-05,advisory,0.0000,0.0000
RECEIPT,168000.0000,168000.0000,0.0000,SYN-ATLAS-PARTNER-02,2027-04-30,168000.0000,INV-base-base-03-OUTCOME_ACCEPTED-ATL-2027-02-evaluated-workflow,4,2027-04-30,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-04-COLLECTION-INV-base-base-03-OUTCOME_ACCEPTED-ATL-2027-02-evaluated-workflow,atlas-meridian,0.0000,0.0000
RECEIPT,554.4000,554.4000,0.0000,SYN-SPECIALIST-REFINER,2027-04-30,554.4000,INV-base-base-03-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-01,4,2027-04-30,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-04-COLLECTION-INV-base-base-03-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-01,project-cradle,0.0000,0.0000
RECEIPT,99760.3200,99760.3200,0.0000,SYN-SPECIALIST-REFINER,2027-04-30,99760.3200,INV-base-base-03-DOWNSTREAM_ACCEPTANCE-STREAM17-base-02,4,2027-04-30,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-04-COLLECTION-INV-base-base-03-DOWNSTREAM_ACCEPTANCE-STREAM17-base-02,project-cradle,0.0000,0.0000
RECEIPT,1170000.0000,1560000.0000,0.0000,SYN-CUSTOMER-002,2027-02-28,1560000.0000,INV-base-FF-002-TERM-0,5,2027-05-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-05-COLLECTION-INV-base-FF-002-TERM-0,foundry-field,0.0000,0.0000
RECEIPT,240000.0000,240000.0000,0.0000,SYN-CUSTOMER-004,2027-05-31,240000.0000,INV-base-ATL-LIC-004-TERM-0,5,2027-05-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-05-COLLECTION-INV-base-ATL-LIC-004-TERM-0,atlas-meridian,0.0000,0.0000
RECEIPT,108000.0000,108000.0000,0.0000,SYN-CUSTOMER-002,2027-05-31,108000.0000,INV-base-base-04-VALUE_CERTIFIED-ADV-2027-02,5,2027-05-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-05-COLLECTION-INV-base-base-04-VALUE_CERTIFIED-ADV-2027-02,advisory,0.0000,0.0000
RECEIPT,360000.0000,360000.0000,0.0000,SYN-CUSTOMER-007,2027-05-31,360000.0000,INV-base-base-04-MATTER_ACCEPTANCE-ADV-2027-07,5,2027-05-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-05-COLLECTION-INV-base-base-04-MATTER_ACCEPTANCE-ADV-2027-07,advisory,0.0000,0.0000
RECEIPT,528000.0000,528000.0000,0.0000,SYN-CUSTOMER-008,2027-05-31,528000.0000,INV-base-base-04-MATTER_ACCEPTANCE-ADV-2027-08,5,2027-05-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-05-COLLECTION-INV-base-base-04-MATTER_ACCEPTANCE-ADV-2027-08,advisory,0.0000,0.0000
RECEIPT,252000.0000,252000.0000,0.0000,SYN-ATLAS-PARTNER-01,2027-05-31,252000.0000,INV-base-base-04-OUTCOME_ACCEPTED-ATL-2027-01-accepted-transfer,5,2027-05-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-05-COLLECTION-INV-base-base-04-OUTCOME_ACCEPTED-ATL-2027-01-accepted-transfer,atlas-meridian,0.0000,0.0000
RECEIPT,168000.0000,168000.0000,0.0000,SYN-ATLAS-PARTNER-03,2027-05-31,168000.0000,INV-base-base-04-OUTCOME_ACCEPTED-ATL-2027-03-evaluated-workflow,5,2027-05-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-05-COLLECTION-INV-base-base-04-OUTCOME_ACCEPTED-ATL-2027-03-evaluated-workflow,atlas-meridian,0.0000,0.0000
RECEIPT,554.4000,554.4000,0.0000,SYN-SPECIALIST-REFINER,2027-05-31,554.4000,INV-base-base-04-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-02,5,2027-05-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-05-COLLECTION-INV-base-base-04-DOWNSTREAM_ACCEPTANCE-DEMOTTE-base-02,project-cradle,0.0000,0.0000
RECEIPT,99760.3200,99760.3200,0.0000,SYN-SPECIALIST-REFINER,2027-05-31,99760.3200,INV-base-base-04-DOWNSTREAM_ACCEPTANCE-STREAM17-base-03,5,2027-05-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-05-COLLECTION-INV-base-base-04-DOWNSTREAM_ACCEPTANCE-STREAM17-base-03,project-cradle,0.0000,0.0000
CREDIT,23000.0000,1380000.0000,23000.0000,SYN-CUSTOMER-001,2027-02-28,1380000.0000,INV-base-FF-001-TERM-0,5,2027-05-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,23000.0000,0.0000,base,base-05-CREDIT_NOTE-SYN-INC-FF-001-INV-base-FF-001-TERM-0,foundry-field,0.0000,0.0000
WRITEOFF,1305000.0000,435000.0000,0.0000,SYN-CUSTOMER-003,2027-02-28,1740000.0000,INV-base-FF-003-TERM-0,6,2027-06-30,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-06-CREDIT_WRITEOFF-INV-base-FF-003-TERM-0,foundry-field,0.0000,1305000.0000
RECEIPT,300000.0000,300000.0000,0.0000,SYN-CUSTOMER-005,2027-06-30,300000.0000,INV-base-ATL-LIC-005-TERM-0,6,2027-06-30,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-06-COLLECTION-INV-base-ATL-LIC-005-TERM-0,atlas-meridian,0.0000,0.0000
RECEIPT,480000.0000,480000.0000,0.0000,SYN-CUSTOMER-009,2027-06-30,480000.0000,INV-base-base-05-MATTER_ACCEPTANCE-ADV-2027-09,6,2027-06-30,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-06-COLLECTION-INV-base-base-05-MATTER_ACCEPTANCE-ADV-2027-09,advisory,0.0000,0.0000
RECEIPT,324000.0000,324000.0000,0.0000,SYN-CUSTOMER-010,2027-06-30,324000.0000,INV-base-base-05-MATTER_ACCEPTANCE-ADV-2027-10,6,2027-06-30,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-06-COLLECTION-INV-base-base-05-MATTER_ACCEPTANCE-ADV-2027-10,advisory,0.0000,0.0000
RECEIPT,168000.0000,168000.0000,0.0000,SYN-ATLAS-PARTNER-04,2027-06-30,168000.0000,INV-base-base-05-OUTCOME_ACCEPTED-ATL-2027-04-evaluated-workflow,6,2027-06-30,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-06-COLLECTION-INV-base-base-05-OUTCOME_ACCEPTED-ATL-2027-04-evaluated-workflow,atlas-meridian,0.0000,0.0000
RECEIPT,99760.3200,99760.3200,0.0000,SYN-SPECIALIST-REFINER,2027-06-30,99760.3200,INV-base-base-05-DOWNSTREAM_ACCEPTANCE-STREAM17-base-04,6,2027-06-30,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-06-COLLECTION-INV-base-base-05-DOWNSTREAM_ACCEPTANCE-STREAM17-base-04,project-cradle,0.0000,0.0000
CREDIT,3000.0000,240000.0000,3000.0000,SYN-CUSTOMER-001,2027-02-28,240000.0000,INV-base-ATL-LIC-001-TERM-0,6,2027-06-30,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,3000.0000,0.0000,base,base-06-CREDIT_NOTE-SYN-INC-ATL-001-INV-base-ATL-LIC-001-TERM-0,atlas-meridian,0.0000,0.0000
RECEIPT,70000.0000,70000.0000,0.0000,SYN-CUSTOMER-001,2027-07-31,70000.0000,INV-base-FF-001-SYN-AMEND-001,7,2027-07-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-07-COLLECTION-INV-base-FF-001-SYN-AMEND-001,foundry-field,0.0000,0.0000
RECEIPT,166400.0000,166400.0000,0.0000,SYN-CUSTOMER-001,2027-07-31,166400.0000,INV-base-base-06-VALUE_CERTIFIED-ADV-2027-01,7,2027-07-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-07-COLLECTION-INV-base-base-06-VALUE_CERTIFIED-ADV-2027-01,advisory,0.0000,0.0000
RECEIPT,480000.0000,480000.0000,0.0000,SYN-CUSTOMER-011,2027-07-31,480000.0000,INV-base-base-06-MATTER_ACCEPTANCE-ADV-2027-11,7,2027-07-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-07-COLLECTION-INV-base-base-06-MATTER_ACCEPTANCE-ADV-2027-11,advisory,0.0000,0.0000
RECEIPT,660000.0000,660000.0000,0.0000,SYN-CUSTOMER-012,2027-07-31,660000.0000,INV-base-base-06-MATTER_ACCEPTANCE-ADV-2027-12,7,2027-07-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-07-COLLECTION-INV-base-base-06-MATTER_ACCEPTANCE-ADV-2027-12,advisory,0.0000,0.0000
RECEIPT,252000.0000,252000.0000,0.0000,SYN-ATLAS-PARTNER-02,2027-07-31,252000.0000,INV-base-base-06-OUTCOME_ACCEPTED-ATL-2027-02-accepted-transfer,7,2027-07-31,PUBLIC_SYNTHETIC_PLANNING_MODEL,0.0000,0.0000,0.0000,base,base-07-COLLECTION-INV-base-base-06-OUTCOME_ACCEPTED-ATL-2027-02-accepted-transfer,atlas-meridian,0.0000,0.0000
