compute_monthly_usd,contract_id,customer_id,deployment_fee_usd,monthly_subscription_usd,origin,payment_due_months,pricing_basis,scenario_status,seats,start_month,term_months,unit
3600,FF-035,SYN-CUSTOMER-035,0,100000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,80,1,12,foundry-field
1800,FF-036,SYN-CUSTOMER-036,0,115000,ADVISORY_REFERRAL,1,,SYNTHETIC_COMMERCIAL_POPULATION,100,1,12,foundry-field
2400,FF-037,SYN-CUSTOMER-037,120000,130000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,120,7,12,foundry-field
3000,FF-038,SYN-CUSTOMER-038,120000,145000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,140,8,12,foundry-field
3600,FF-039,SYN-CUSTOMER-039,120000,160000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,160,9,12,foundry-field
1800,FF-040,SYN-CUSTOMER-040,120000,100000,ADVISORY_REFERRAL,1,,SYNTHETIC_COMMERCIAL_POPULATION,80,10,12,foundry-field
2400,FF-041,SYN-CUSTOMER-041,120000,115000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,100,11,12,foundry-field
3000,FF-042,SYN-CUSTOMER-042,120000,130000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,120,12,12,foundry-field
3600,FF-043,SYN-CUSTOMER-043,120000,145000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,140,19,12,foundry-field
1800,FF-044,SYN-CUSTOMER-044,120000,160000,ADVISORY_REFERRAL,1,,SYNTHETIC_COMMERCIAL_POPULATION,160,20,12,foundry-field
2400,FF-045,SYN-CUSTOMER-045,120000,100000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,80,21,12,foundry-field
3000,FF-046,SYN-CUSTOMER-046,120000,115000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,100,22,12,foundry-field
3600,FF-047,SYN-CUSTOMER-047,120000,130000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,120,23,12,foundry-field
1800,FF-048,SYN-CUSTOMER-048,120000,145000,ADVISORY_REFERRAL,1,,SYNTHETIC_COMMERCIAL_POPULATION,140,24,12,foundry-field
2400,FF-049,SYN-CUSTOMER-049,120000,160000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,160,31,12,foundry-field
3000,FF-050,SYN-CUSTOMER-050,120000,100000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,80,32,12,foundry-field
3600,FF-051,SYN-CUSTOMER-051,120000,115000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,100,33,12,foundry-field
1800,FF-052,SYN-CUSTOMER-052,120000,130000,ADVISORY_REFERRAL,1,,SYNTHETIC_COMMERCIAL_POPULATION,120,34,12,foundry-field
2400,FF-053,SYN-CUSTOMER-053,120000,145000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,140,35,12,foundry-field
3000,FF-054,SYN-CUSTOMER-054,120000,160000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,160,36,12,foundry-field
3600,FF-055,SYN-CUSTOMER-055,120000,100000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,80,43,12,foundry-field
1800,FF-056,SYN-CUSTOMER-056,120000,115000,ADVISORY_REFERRAL,1,,SYNTHETIC_COMMERCIAL_POPULATION,100,44,12,foundry-field
2400,FF-057,SYN-CUSTOMER-057,120000,130000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,120,45,12,foundry-field
3000,FF-058,SYN-CUSTOMER-058,120000,145000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,140,46,12,foundry-field
3600,FF-059,SYN-CUSTOMER-059,120000,160000,DIRECT,1,,SYNTHETIC_COMMERCIAL_POPULATION,160,47,12,foundry-field
1800,FF-060,SYN-CUSTOMER-060,120000,100000,ADVISORY_REFERRAL,1,,SYNTHETIC_COMMERCIAL_POPULATION,80,48,12,foundry-field
1400,ATL-LIC-001,SYN-CUSTOMER-001,0,20000,ADVISORY_RELATIONSHIP,1,INSTITUTIONAL_CAPABILITY_LICENSE; separate from Advisory fees,SYNTHETIC_LICENSE_PRICE_NOT_CANON_LIST_PRICE,0,1,12,atlas-meridian
1600,ATL-LIC-002,SYN-CUSTOMER-002,0,25000,ADVISORY_RELATIONSHIP,1,INSTITUTIONAL_CAPABILITY_LICENSE; separate from Advisory fees,SYNTHETIC_LICENSE_PRICE_NOT_CANON_LIST_PRICE,0,2,12,atlas-meridian
1800,ATL-LIC-003,SYN-CUSTOMER-003,0,15000,ADVISORY_RELATIONSHIP,1,INSTITUTIONAL_CAPABILITY_LICENSE; separate from Advisory fees,SYNTHETIC_LICENSE_PRICE_NOT_CANON_LIST_PRICE,0,3,12,atlas-meridian
1200,ATL-LIC-004,SYN-CUSTOMER-004,0,20000,ADVISORY_RELATIONSHIP,1,INSTITUTIONAL_CAPABILITY_LICENSE; separate from Advisory fees,SYNTHETIC_LICENSE_PRICE_NOT_CANON_LIST_PRICE,0,4,12,atlas-meridian
1400,ATL-LIC-005,SYN-CUSTOMER-005,0,25000,ADVISORY_RELATIONSHIP,1,INSTITUTIONAL_CAPABILITY_LICENSE; separate from Advisory fees,SYNTHETIC_LICENSE_PRICE_NOT_CANON_LIST_PRICE,0,5,12,atlas-meridian
1600,ATL-LIC-006,SYN-CUSTOMER-006,0,15000,ADVISORY_RELATIONSHIP,1,INSTITUTIONAL_CAPABILITY_LICENSE; separate from Advisory fees,SYNTHETIC_LICENSE_PRICE_NOT_CANON_LIST_PRICE,0,6,12,atlas-meridian
1800,ATL-LIC-007,SYN-CUSTOMER-007,0,20000,ADVISORY_RELATIONSHIP,1,INSTITUTIONAL_CAPABILITY_LICENSE; separate from Advisory fees,SYNTHETIC_LICENSE_PRICE_NOT_CANON_LIST_PRICE,0,7,12,atlas-meridian
1200,ATL-LIC-008,SYN-CUSTOMER-008,0,25000,ADVISORY_RELATIONSHIP,1,INSTITUTIONAL_CAPABILITY_LICENSE; separate from Advisory fees,SYNTHETIC_LICENSE_PRICE_NOT_CANON_LIST_PRICE,0,8,12,atlas-meridian
1400,ATL-LIC-009,SYN-CUSTOMER-009,0,15000,ADVISORY_RELATIONSHIP,1,INSTITUTIONAL_CAPABILITY_LICENSE; separate from Advisory fees,SYNTHETIC_LICENSE_PRICE_NOT_CANON_LIST_PRICE,0,9,12,atlas-meridian
1600,ATL-LIC-010,SYN-CUSTOMER-010,0,20000,ADVISORY_RELATIONSHIP,1,INSTITUTIONAL_CAPABILITY_LICENSE; separate from Advisory fees,SYNTHETIC_LICENSE_PRICE_NOT_CANON_LIST_PRICE,0,10,12,atlas-meridian
1800,ATL-LIC-011,SYN-CUSTOMER-011,0,25000,ADVISORY_RELATIONSHIP,1,INSTITUTIONAL_CAPABILITY_LICENSE; separate from Advisory fees,SYNTHETIC_LICENSE_PRICE_NOT_CANON_LIST_PRICE,0,11,12,atlas-meridian
1200,ATL-LIC-012,SYN-CUSTOMER-012,0,15000,ADVISORY_RELATIONSHIP,1,INSTITUTIONAL_CAPABILITY_LICENSE; separate from Advisory fees,SYNTHETIC_LICENSE_PRICE_NOT_CANON_LIST_PRICE,0,12,12,atlas-meridian
1400,ATL-LIC-013,SYN-ATLAS-SELFSERVE-013,0,20000,SELF_SERVICE,1,INSTITUTIONAL_CAPABILITY_LICENSE; separate from Advisory fees,SYNTHETIC_LICENSE_PRICE_NOT_CANON_LIST_PRICE,0,1,12,atlas-meridian
1600,ATL-LIC-014,SYN-ATLAS-SELFSERVE-014,0,25000,SELF_SERVICE,1,INSTITUTIONAL_CAPABILITY_LICENSE; separate from Advisory fees,SYNTHETIC_LICENSE_PRICE_NOT_CANON_LIST_PRICE,0,2,12,atlas-meridian
1800,ATL-LIC-015,SYN-ATLAS-SELFSERVE-015,0,15000,SELF_SERVICE,1,INSTITUTIONAL_CAPABILITY_LICENSE; separate from Advisory fees,SYNTHETIC_LICENSE_PRICE_NOT_CANON_LIST_PRICE,0,3,12,atlas-meridian
