acceptance_principal,account,accumulated_usd,achievement,allowance_usd,amount_usd,annual_recurring_usd,approved_hours,assay_evidence_sha256,attribution,authority,authorized_materials_budget_usd,availability,available_at,baseline_sha256,baseline_source,bedford_batch_id,billing_basis,bypass,certified_savings_usd,committed_fee_usd,committed_recognition_usd,contained_kg,cost_center,cost_usd,custody,customer_id,decision,determination_state,direct_materials_usd,disposition,due_date,engagement_id,event_id,fact_state,fee_fraction,feed_quantity,feed_unit,from_unit,host,hours,hours_required,independent_atlas_fee,independent_reviewer,invoice_id,kind,maintenance_owner,matter_class,matter_principal,measured_cost_usd,measurement_state,month_index,monthly_revenue_usd,operating_authority,originator,payable_id,payable_kg,payout_factor,performance_source,period,practice,professional_plane_included,qualified,question,reason,receiver,recovered_kg,renewal_term,responsible_person,responsible_role,reviewer,sales_value_usd,scenario,seats,settlement_state,site,source_id,stream,target_fee_usd,target_variable_usd,term,transfer_manifest,unit,value_officer,variable_fee_usd
,,,,,1920000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-004,,,,,2027-02-28,,base-01-INVOICE-INV-base-FF-004-TERM-0,CONDITIONAL_FORECAST,,,,,,,,,,,INVOICE,,,,,,1,,,,,,,FF-004-TERM-0,2027-01-31,,,,,,,,,,,,,base,,,,INV-base-FF-004-TERM-0,,,,,,foundry-field,,
,,,,,,1920000.0000,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-004,,,,,,,base-01-SUBSCRIPTION_SERVICE-FF-004,CONDITIONAL_FORECAST,,,,,,,,,,,SUBSCRIPTION_SERVICE,,,,,,1,160000.0000,,,,,,,2027-01-31,,,,,,,,,,,,,base,160,,,FF-004,,,,0,,foundry-field,,
,BIZ_DELIVERY,,,,1800.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-COST-HOSTING-FF-004,CONDITIONAL_FORECAST,,,,,,,,,,,COST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,HOSTING-FF-004,,,,,,foundry-field,,
,,,,,,,0.0000,,,MODELED_CUSTOMER_ACCEPTANCE_NOT_OPERATING_AUTHORITY,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-005,,,,,,,base-01-DEPLOYMENT_ACCEPTANCE-FF-005,CONDITIONAL_FORECAST,,,,,,,,,,,DEPLOYMENT_ACCEPTANCE,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,FF-005,,,,,,foundry-field,,
,,,,,1200000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-005,,,,,2027-02-28,,base-01-INVOICE-INV-base-FF-005-TERM-0,CONDITIONAL_FORECAST,,,,,,,,,,,INVOICE,,,,,,1,,,,,,,FF-005-TERM-0,2027-01-31,,,,,,,,,,,,,base,,,,INV-base-FF-005-TERM-0,,,,,,foundry-field,,
,,,,,,1200000.0000,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-005,,,,,,,base-01-SUBSCRIPTION_SERVICE-FF-005,CONDITIONAL_FORECAST,,,,,,,,,,,SUBSCRIPTION_SERVICE,,,,,,1,100000.0000,,,,,,,2027-01-31,,,,,,,,,,,,,base,80,,,FF-005,,,,0,,foundry-field,,
,BIZ_DELIVERY,,,,2400.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-COST-HOSTING-FF-005,CONDITIONAL_FORECAST,,,,,,,,,,,COST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,HOSTING-FF-005,,,,,,foundry-field,,
,,,,,,,0.0000,,,MODELED_CUSTOMER_ACCEPTANCE_NOT_OPERATING_AUTHORITY,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-006,,,,,,,base-01-DEPLOYMENT_ACCEPTANCE-FF-006,CONDITIONAL_FORECAST,,,,,,,,,,,DEPLOYMENT_ACCEPTANCE,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,FF-006,,,,,,foundry-field,,
,,,,,1380000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-006,,,,,2027-02-28,,base-01-INVOICE-INV-base-FF-006-TERM-0,CONDITIONAL_FORECAST,,,,,,,,,,,INVOICE,,,,,,1,,,,,,,FF-006-TERM-0,2027-01-31,,,,,,,,,,,,,base,,,,INV-base-FF-006-TERM-0,,,,,,foundry-field,,
,,,,,,1380000.0000,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-006,,,,,,,base-01-SUBSCRIPTION_SERVICE-FF-006,CONDITIONAL_FORECAST,,,,,,,,,,,SUBSCRIPTION_SERVICE,,,,,,1,115000.0000,,,,,,,2027-01-31,,,,,,,,,,,,,base,100,,,FF-006,,,,0,,foundry-field,,
,BIZ_DELIVERY,,,,3000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-COST-HOSTING-FF-006,CONDITIONAL_FORECAST,,,,,,,,,,,COST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,HOSTING-FF-006,,,,,,foundry-field,,
,,,,,,,0.0000,,,MODELED_CUSTOMER_ACCEPTANCE_NOT_OPERATING_AUTHORITY,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-007,,,,,,,base-01-DEPLOYMENT_ACCEPTANCE-FF-007,CONDITIONAL_FORECAST,,,,,,,,,,,DEPLOYMENT_ACCEPTANCE,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,FF-007,,,,,,foundry-field,,
,,,,,1560000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-007,,,,,2027-02-28,,base-01-INVOICE-INV-base-FF-007-TERM-0,CONDITIONAL_FORECAST,,,,,,,,,,,INVOICE,,,,,,1,,,,,,,FF-007-TERM-0,2027-01-31,,,,,,,,,,,,,base,,,,INV-base-FF-007-TERM-0,,,,,,foundry-field,,
,,,,,,1560000.0000,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-007,,,,,,,base-01-SUBSCRIPTION_SERVICE-FF-007,CONDITIONAL_FORECAST,,,,,,,,,,,SUBSCRIPTION_SERVICE,,,,,,1,130000.0000,,,,,,,2027-01-31,,,,,,,,,,,,,base,120,,,FF-007,,,,0,,foundry-field,,
,BIZ_DELIVERY,,,,3600.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-COST-HOSTING-FF-007,CONDITIONAL_FORECAST,,,,,,,,,,,COST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,HOSTING-FF-007,,,,,,foundry-field,,
,,,,,,,0.0000,,,MODELED_CUSTOMER_ACCEPTANCE_NOT_OPERATING_AUTHORITY,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-008,,,,,,,base-01-DEPLOYMENT_ACCEPTANCE-FF-008,CONDITIONAL_FORECAST,,,,,,,,,,,DEPLOYMENT_ACCEPTANCE,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,FF-008,,,,,,foundry-field,,
,,,,,1740000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-008,,,,,2027-02-28,,base-01-INVOICE-INV-base-FF-008-TERM-0,CONDITIONAL_FORECAST,,,,,,,,,,,INVOICE,,,,,,1,,,,,,,FF-008-TERM-0,2027-01-31,,,,,,,,,,,,,base,,,,INV-base-FF-008-TERM-0,,,,,,foundry-field,,
,,,,,,1740000.0000,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-008,,,,,,,base-01-SUBSCRIPTION_SERVICE-FF-008,CONDITIONAL_FORECAST,,,,,,,,,,,SUBSCRIPTION_SERVICE,,,,,,1,145000.0000,,,,,,,2027-01-31,,,,,,,,,,,,,base,140,,,FF-008,,,,0,,foundry-field,,
,BIZ_DELIVERY,,,,1800.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-COST-HOSTING-FF-008,CONDITIONAL_FORECAST,,,,,,,,,,,COST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,HOSTING-FF-008,,,,,,foundry-field,,
,,,,,,,0.0000,,,MODELED_CUSTOMER_ACCEPTANCE_NOT_OPERATING_AUTHORITY,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-009,,,,,,,base-01-DEPLOYMENT_ACCEPTANCE-FF-009,CONDITIONAL_FORECAST,,,,,,,,,,,DEPLOYMENT_ACCEPTANCE,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,FF-009,,,,,,foundry-field,,
,,,,,1920000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-009,,,,,2027-02-28,,base-01-INVOICE-INV-base-FF-009-TERM-0,CONDITIONAL_FORECAST,,,,,,,,,,,INVOICE,,,,,,1,,,,,,,FF-009-TERM-0,2027-01-31,,,,,,,,,,,,,base,,,,INV-base-FF-009-TERM-0,,,,,,foundry-field,,
,,,,,,1920000.0000,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-009,,,,,,,base-01-SUBSCRIPTION_SERVICE-FF-009,CONDITIONAL_FORECAST,,,,,,,,,,,SUBSCRIPTION_SERVICE,,,,,,1,160000.0000,,,,,,,2027-01-31,,,,,,,,,,,,,base,160,,,FF-009,,,,0,,foundry-field,,
,BIZ_DELIVERY,,,,2400.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-COST-HOSTING-FF-009,CONDITIONAL_FORECAST,,,,,,,,,,,COST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,HOSTING-FF-009,,,,,,foundry-field,,
,,,,,,,0.0000,,,MODELED_CUSTOMER_ACCEPTANCE_NOT_OPERATING_AUTHORITY,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-010,,,,,,,base-01-DEPLOYMENT_ACCEPTANCE-FF-010,CONDITIONAL_FORECAST,,,,,,,,,,,DEPLOYMENT_ACCEPTANCE,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,FF-010,,,,,,foundry-field,,
,,,,,1200000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-010,,,,,2027-02-28,,base-01-INVOICE-INV-base-FF-010-TERM-0,CONDITIONAL_FORECAST,,,,,,,,,,,INVOICE,,,,,,1,,,,,,,FF-010-TERM-0,2027-01-31,,,,,,,,,,,,,base,,,,INV-base-FF-010-TERM-0,,,,,,foundry-field,,
,,,,,,1200000.0000,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-010,,,,,,,base-01-SUBSCRIPTION_SERVICE-FF-010,CONDITIONAL_FORECAST,,,,,,,,,,,SUBSCRIPTION_SERVICE,,,,,,1,100000.0000,,,,,,,2027-01-31,,,,,,,,,,,,,base,80,,,FF-010,,,,0,,foundry-field,,
,BIZ_DELIVERY,,,,3000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-COST-HOSTING-FF-010,CONDITIONAL_FORECAST,,,,,,,,,,,COST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,HOSTING-FF-010,,,,,,foundry-field,,
,,,,,,,0.0000,,,MODELED_CUSTOMER_ACCEPTANCE_NOT_OPERATING_AUTHORITY,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-011,,,,,,,base-01-DEPLOYMENT_ACCEPTANCE-FF-011,CONDITIONAL_FORECAST,,,,,,,,,,,DEPLOYMENT_ACCEPTANCE,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,FF-011,,,,,,foundry-field,,
,,,,,1380000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-011,,,,,2027-02-28,,base-01-INVOICE-INV-base-FF-011-TERM-0,CONDITIONAL_FORECAST,,,,,,,,,,,INVOICE,,,,,,1,,,,,,,FF-011-TERM-0,2027-01-31,,,,,,,,,,,,,base,,,,INV-base-FF-011-TERM-0,,,,,,foundry-field,,
,,,,,,1380000.0000,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-011,,,,,,,base-01-SUBSCRIPTION_SERVICE-FF-011,CONDITIONAL_FORECAST,,,,,,,,,,,SUBSCRIPTION_SERVICE,,,,,,1,115000.0000,,,,,,,2027-01-31,,,,,,,,,,,,,base,100,,,FF-011,,,,0,,foundry-field,,
,BIZ_DELIVERY,,,,3600.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-COST-HOSTING-FF-011,CONDITIONAL_FORECAST,,,,,,,,,,,COST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,HOSTING-FF-011,,,,,,foundry-field,,
,,,,,,,0.0000,,,MODELED_CUSTOMER_ACCEPTANCE_NOT_OPERATING_AUTHORITY,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-012,,,,,,,base-01-DEPLOYMENT_ACCEPTANCE-FF-012,CONDITIONAL_FORECAST,,,,,,,,,,,DEPLOYMENT_ACCEPTANCE,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,FF-012,,,,,,foundry-field,,
,,,,,1560000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-012,,,,,2027-02-28,,base-01-INVOICE-INV-base-FF-012-TERM-0,CONDITIONAL_FORECAST,,,,,,,,,,,INVOICE,,,,,,1,,,,,,,FF-012-TERM-0,2027-01-31,,,,,,,,,,,,,base,,,,INV-base-FF-012-TERM-0,,,,,,foundry-field,,
,,,,,,1560000.0000,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-012,,,,,,,base-01-SUBSCRIPTION_SERVICE-FF-012,CONDITIONAL_FORECAST,,,,,,,,,,,SUBSCRIPTION_SERVICE,,,,,,1,130000.0000,,,,,,,2027-01-31,,,,,,,,,,,,,base,120,,,FF-012,,,,0,,foundry-field,,
,BIZ_DELIVERY,,,,1800.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-COST-HOSTING-FF-012,CONDITIONAL_FORECAST,,,,,,,,,,,COST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,HOSTING-FF-012,,,,,,foundry-field,,
,,,,,,,0.0000,,,MODELED_CUSTOMER_ACCEPTANCE_NOT_OPERATING_AUTHORITY,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-013,,,,,,,base-01-DEPLOYMENT_ACCEPTANCE-FF-013,CONDITIONAL_FORECAST,,,,,,,,,,,DEPLOYMENT_ACCEPTANCE,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,FF-013,,,,,,foundry-field,,
,,,,,1740000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-013,,,,,2027-02-28,,base-01-INVOICE-INV-base-FF-013-TERM-0,CONDITIONAL_FORECAST,,,,,,,,,,,INVOICE,,,,,,1,,,,,,,FF-013-TERM-0,2027-01-31,,,,,,,,,,,,,base,,,,INV-base-FF-013-TERM-0,,,,,,foundry-field,,
,,,,,,1740000.0000,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-013,,,,,,,base-01-SUBSCRIPTION_SERVICE-FF-013,CONDITIONAL_FORECAST,,,,,,,,,,,SUBSCRIPTION_SERVICE,,,,,,1,145000.0000,,,,,,,2027-01-31,,,,,,,,,,,,,base,140,,,FF-013,,,,0,,foundry-field,,
,BIZ_DELIVERY,,,,2400.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-COST-HOSTING-FF-013,CONDITIONAL_FORECAST,,,,,,,,,,,COST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,HOSTING-FF-013,,,,,,foundry-field,,
,,,,,,,0.0000,,,MODELED_CUSTOMER_ACCEPTANCE_NOT_OPERATING_AUTHORITY,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-014,,,,,,,base-01-DEPLOYMENT_ACCEPTANCE-FF-014,CONDITIONAL_FORECAST,,,,,,,,,,,DEPLOYMENT_ACCEPTANCE,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,FF-014,,,,,,foundry-field,,
,,,,,1920000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-014,,,,,2027-02-28,,base-01-INVOICE-INV-base-FF-014-TERM-0,CONDITIONAL_FORECAST,,,,,,,,,,,INVOICE,,,,,,1,,,,,,,FF-014-TERM-0,2027-01-31,,,,,,,,,,,,,base,,,,INV-base-FF-014-TERM-0,,,,,,foundry-field,,
,,,,,,1920000.0000,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-014,,,,,,,base-01-SUBSCRIPTION_SERVICE-FF-014,CONDITIONAL_FORECAST,,,,,,,,,,,SUBSCRIPTION_SERVICE,,,,,,1,160000.0000,,,,,,,2027-01-31,,,,,,,,,,,,,base,160,,,FF-014,,,,0,,foundry-field,,
,BIZ_DELIVERY,,,,3000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,base-01-COST-HOSTING-FF-014,CONDITIONAL_FORECAST,,,,,,,,,,,COST,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,HOSTING-FF-014,,,,,,foundry-field,,
,,,,,,,0.0000,,,MODELED_CUSTOMER_ACCEPTANCE_NOT_OPERATING_AUTHORITY,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-015,,,,,,,base-01-DEPLOYMENT_ACCEPTANCE-FF-015,CONDITIONAL_FORECAST,,,,,,,,,,,DEPLOYMENT_ACCEPTANCE,,,,,,1,,,,,,,,2027-01-31,,,,,,,,,,,,,base,,,,FF-015,,,,,,foundry-field,,
,,,,,1200000.0000,,,,,,,,2026-09-09T00:00:00Z,,,,,,,,,,,,,SYN-CUSTOMER-015,,,,,2027-02-28,,base-01-INVOICE-INV-base-FF-015-TERM-0,CONDITIONAL_FORECAST,,,,,,,,,,,INVOICE,,,,,,1,,,,,,,FF-015-TERM-0,2027-01-31,,,,,,,,,,,,,base,,,,INV-base-FF-015-TERM-0,,,,,,foundry-field,,
