cash_flow,closing_unpaid_usd,funded_in_period_usd,obligation_id,period,scenario,unit
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000626-2112,2027-02-28,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000627-2114,2027-02-28,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000628-2116,2027-02-28,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000629-2118,2027-02-28,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000630-2120,2027-02-28,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000631-2122,2027-02-28,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000632-2124,2027-02-28,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000633-2126,2027-02-28,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000634-2128,2027-02-28,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000635-2130,2027-02-28,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000636-2132,2027-02-28,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000637-2134,2027-02-28,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000638-2136,2027-02-28,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000639-2138,2027-02-28,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000640-2140,2027-02-28,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000641-2142,2027-02-28,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000642-2144,2027-02-28,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000643-2146,2027-02-28,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000644-2148,2027-02-28,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000645-2150,2027-02-28,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000646-2152,2027-02-28,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000647-2154,2027-02-28,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000648-2156,2027-02-28,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000649-2158,2027-02-28,base,foundry-field
OPERATING,0.0000,1400.0000,OB-base-ENT-base-0000650-2160,2027-02-28,base,atlas-meridian
OPERATING,0.0000,1400.0000,OB-base-ENT-base-0000651-2162,2027-02-28,base,atlas-meridian
OPERATING,0.0000,9000.0000,OB-base-ENT-base-0000652-2164,2027-02-28,base,willow
OPERATING,0.0000,7000.0000,OB-base-ENT-base-0000653-2166,2027-02-28,base,willow
OPERATING,0.0000,18000.0000,OB-base-ENT-base-0000654-2168,2027-02-28,base,willow
OPERATING,0.0000,4500.0000,OB-base-ENT-base-0000655-2170,2027-02-28,base,willow
OPERATING,0.0000,8580.0000,OB-base-ENT-base-0000656-2172,2027-02-28,base,project-cradle
OPERATING,0.0000,18500.0000,OB-base-ENT-base-0000657-2174,2027-02-28,base,project-cradle
OPERATING,0.0000,1933333.3280,OB-base-ENT-base-0000658-2176,2027-02-28,base,foundry-field
OPERATING,0.0000,524999.9988,OB-base-ENT-base-0000659-2178,2027-02-28,base,atlas-meridian
OPERATING,0.0000,418333.3344,OB-base-ENT-base-0000660-2180,2027-02-28,base,advisory
OPERATING,0.0000,295000.0000,OB-base-ENT-base-0000661-2182,2027-02-28,base,willow
OPERATING,0.0000,187500.0006,OB-base-ENT-base-0000662-2184,2027-02-28,base,project-cradle
OPERATING,0.0000,2834999.9956,OB-base-ENT-base-0000663-2186,2027-02-28,base,corporate
INVESTING,0.0000,180000.0000,OB-base-ENT-base-0000758-2376,2027-02-28,base,willow
INVESTING,0.0000,650000.0000,OB-base-ENT-base-0000759-2378,2027-02-28,base,project-cradle
FINANCING,0.0000,100000.0000,OB-base-ENT-base-0000573-2006,2027-02-28,base,corporate
OPERATING,0.0000,190125.0000,OB-base-ENT-base-0000801-2513,2027-03-31,base,corporate
OPERATING,0.0000,113000.0000,OB-base-ENT-base-0000809-2529,2027-03-31,base,corporate
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000810-2531,2027-03-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000811-2533,2027-03-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000812-2535,2027-03-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000813-2537,2027-03-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000814-2539,2027-03-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000815-2541,2027-03-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000816-2543,2027-03-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000817-2545,2027-03-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000818-2547,2027-03-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000819-2549,2027-03-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000820-2551,2027-03-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000821-2553,2027-03-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000822-2555,2027-03-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000823-2557,2027-03-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000824-2559,2027-03-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000825-2561,2027-03-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000826-2563,2027-03-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000827-2565,2027-03-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000828-2567,2027-03-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000829-2569,2027-03-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000830-2571,2027-03-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000831-2573,2027-03-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000832-2575,2027-03-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000833-2577,2027-03-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000834-2579,2027-03-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000835-2581,2027-03-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000836-2583,2027-03-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000837-2585,2027-03-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000838-2587,2027-03-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000839-2589,2027-03-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000840-2591,2027-03-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000841-2593,2027-03-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0000842-2595,2027-03-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0000843-2597,2027-03-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0000844-2599,2027-03-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0000845-2601,2027-03-31,base,foundry-field
OPERATING,0.0000,1400.0000,OB-base-ENT-base-0000846-2603,2027-03-31,base,atlas-meridian
OPERATING,0.0000,1600.0000,OB-base-ENT-base-0000847-2605,2027-03-31,base,atlas-meridian
OPERATING,0.0000,1400.0000,OB-base-ENT-base-0000848-2607,2027-03-31,base,atlas-meridian
OPERATING,0.0000,1600.0000,OB-base-ENT-base-0000849-2609,2027-03-31,base,atlas-meridian
OPERATING,0.0000,2100.0000,OB-base-ENT-base-0000850-2611,2027-03-31,base,advisory
OPERATING,0.0000,8550.0000,OB-base-ENT-base-0000851-2613,2027-03-31,base,atlas-meridian
OPERATING,0.0000,9000.0000,OB-base-ENT-base-0000852-2615,2027-03-31,base,willow
OPERATING,0.0000,7000.0000,OB-base-ENT-base-0000853-2617,2027-03-31,base,willow
OPERATING,0.0000,18000.0000,OB-base-ENT-base-0000854-2619,2027-03-31,base,willow
OPERATING,0.0000,4500.0000,OB-base-ENT-base-0000855-2621,2027-03-31,base,willow
OPERATING,0.0000,8580.0000,OB-base-ENT-base-0000856-2623,2027-03-31,base,project-cradle
OPERATING,0.0000,18500.0000,OB-base-ENT-base-0000857-2625,2027-03-31,base,project-cradle
OPERATING,0.0000,3979.8000,OB-base-ENT-base-0000858-2627,2027-03-31,base,project-cradle
OPERATING,0.0000,1933333.3280,OB-base-ENT-base-0000859-2629,2027-03-31,base,foundry-field
OPERATING,0.0000,524999.9988,OB-base-ENT-base-0000860-2631,2027-03-31,base,atlas-meridian
OPERATING,0.0000,418333.3344,OB-base-ENT-base-0000861-2633,2027-03-31,base,advisory
OPERATING,0.0000,295000.0000,OB-base-ENT-base-0000862-2635,2027-03-31,base,willow
OPERATING,0.0000,187500.0006,OB-base-ENT-base-0000863-2637,2027-03-31,base,project-cradle
OPERATING,0.0000,2834999.9956,OB-base-ENT-base-0000864-2639,2027-03-31,base,corporate
FINANCING,0.0000,100000.0000,OB-base-ENT-base-0000802-2515,2027-03-31,base,corporate
OPERATING,0.0000,189583.3333,OB-base-ENT-base-0001014-2987,2027-04-30,base,corporate
OPERATING,0.0000,113000.0000,OB-base-ENT-base-0001024-3007,2027-04-30,base,corporate
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001025-3009,2027-04-30,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001026-3011,2027-04-30,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001027-3013,2027-04-30,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001028-3015,2027-04-30,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001029-3017,2027-04-30,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001030-3019,2027-04-30,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001031-3021,2027-04-30,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001032-3023,2027-04-30,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001033-3025,2027-04-30,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001034-3027,2027-04-30,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001035-3029,2027-04-30,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001036-3031,2027-04-30,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001037-3033,2027-04-30,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001038-3035,2027-04-30,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001039-3037,2027-04-30,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001040-3039,2027-04-30,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001041-3041,2027-04-30,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001042-3043,2027-04-30,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001043-3045,2027-04-30,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001044-3047,2027-04-30,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001045-3049,2027-04-30,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001046-3051,2027-04-30,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001047-3053,2027-04-30,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001048-3055,2027-04-30,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001049-3057,2027-04-30,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001050-3059,2027-04-30,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001051-3061,2027-04-30,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001052-3063,2027-04-30,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001053-3065,2027-04-30,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001054-3067,2027-04-30,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001055-3069,2027-04-30,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001056-3071,2027-04-30,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001057-3073,2027-04-30,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001058-3075,2027-04-30,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001059-3077,2027-04-30,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001060-3079,2027-04-30,base,foundry-field
OPERATING,0.0000,1400.0000,OB-base-ENT-base-0001061-3081,2027-04-30,base,atlas-meridian
OPERATING,0.0000,1600.0000,OB-base-ENT-base-0001062-3083,2027-04-30,base,atlas-meridian
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001063-3085,2027-04-30,base,atlas-meridian
OPERATING,0.0000,1400.0000,OB-base-ENT-base-0001064-3087,2027-04-30,base,atlas-meridian
OPERATING,0.0000,1600.0000,OB-base-ENT-base-0001065-3089,2027-04-30,base,atlas-meridian
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001066-3091,2027-04-30,base,atlas-meridian
OPERATING,0.0000,4830.0000,OB-base-ENT-base-0001067-3093,2027-04-30,base,advisory
OPERATING,0.0000,2520.0000,OB-base-ENT-base-0001068-3095,2027-04-30,base,advisory
OPERATING,0.0000,5040.0000,OB-base-ENT-base-0001069-3097,2027-04-30,base,advisory
OPERATING,0.0000,2940.0000,OB-base-ENT-base-0001070-3099,2027-04-30,base,advisory
OPERATING,0.0000,3360.0000,OB-base-ENT-base-0001071-3101,2027-04-30,base,advisory
OPERATING,0.0000,8550.0000,OB-base-ENT-base-0001072-3103,2027-04-30,base,atlas-meridian
OPERATING,0.0000,9000.0000,OB-base-ENT-base-0001073-3105,2027-04-30,base,willow
OPERATING,0.0000,7000.0000,OB-base-ENT-base-0001074-3107,2027-04-30,base,willow
OPERATING,0.0000,18000.0000,OB-base-ENT-base-0001075-3109,2027-04-30,base,willow
OPERATING,0.0000,4500.0000,OB-base-ENT-base-0001076-3111,2027-04-30,base,willow
OPERATING,0.0000,8580.0000,OB-base-ENT-base-0001077-3113,2027-04-30,base,project-cradle
OPERATING,0.0000,4625.0000,OB-base-ENT-base-0001078-3115,2027-04-30,base,project-cradle
OPERATING,0.0000,3979.8000,OB-base-ENT-base-0001079-3117,2027-04-30,base,project-cradle
OPERATING,0.0000,19952.0640,OB-base-ENT-base-0001080-3119,2027-04-30,base,project-cradle
OPERATING,0.0000,1933333.3280,OB-base-ENT-base-0001081-3121,2027-04-30,base,foundry-field
OPERATING,0.0000,524999.9988,OB-base-ENT-base-0001082-3123,2027-04-30,base,atlas-meridian
OPERATING,0.0000,418333.3344,OB-base-ENT-base-0001083-3125,2027-04-30,base,advisory
OPERATING,0.0000,295000.0000,OB-base-ENT-base-0001084-3127,2027-04-30,base,willow
OPERATING,0.0000,187500.0006,OB-base-ENT-base-0001085-3129,2027-04-30,base,project-cradle
OPERATING,0.0000,2834999.9956,OB-base-ENT-base-0001086-3131,2027-04-30,base,corporate
FINANCING,0.0000,100000.0000,OB-base-ENT-base-0001015-2989,2027-04-30,base,corporate
OPERATING,0.0000,189041.6667,OB-base-ENT-base-0001237-3484,2027-05-31,base,corporate
OPERATING,0.0000,113000.0000,OB-base-ENT-base-0001248-3506,2027-05-31,base,corporate
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001249-3508,2027-05-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001250-3510,2027-05-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001251-3512,2027-05-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001252-3514,2027-05-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001253-3516,2027-05-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001254-3518,2027-05-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001255-3520,2027-05-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001256-3522,2027-05-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001257-3524,2027-05-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001258-3526,2027-05-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001259-3528,2027-05-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001260-3530,2027-05-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001261-3532,2027-05-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001262-3534,2027-05-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001263-3536,2027-05-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001264-3538,2027-05-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001265-3540,2027-05-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001266-3542,2027-05-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001267-3544,2027-05-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001268-3546,2027-05-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001269-3548,2027-05-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001270-3550,2027-05-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001271-3552,2027-05-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001272-3554,2027-05-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001273-3556,2027-05-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001274-3558,2027-05-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001275-3560,2027-05-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001276-3562,2027-05-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001277-3564,2027-05-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001278-3566,2027-05-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001279-3568,2027-05-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001280-3570,2027-05-31,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001281-3572,2027-05-31,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001282-3574,2027-05-31,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001283-3576,2027-05-31,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001284-3578,2027-05-31,base,foundry-field
OPERATING,0.0000,1400.0000,OB-base-ENT-base-0001285-3580,2027-05-31,base,atlas-meridian
OPERATING,0.0000,1600.0000,OB-base-ENT-base-0001286-3582,2027-05-31,base,atlas-meridian
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001287-3584,2027-05-31,base,atlas-meridian
OPERATING,0.0000,1200.0000,OB-base-ENT-base-0001288-3586,2027-05-31,base,atlas-meridian
OPERATING,0.0000,1400.0000,OB-base-ENT-base-0001289-3588,2027-05-31,base,atlas-meridian
OPERATING,0.0000,1600.0000,OB-base-ENT-base-0001290-3590,2027-05-31,base,atlas-meridian
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001291-3592,2027-05-31,base,atlas-meridian
OPERATING,0.0000,2100.0000,OB-base-ENT-base-0001292-3594,2027-05-31,base,advisory
OPERATING,0.0000,2520.0000,OB-base-ENT-base-0001293-3596,2027-05-31,base,advisory
OPERATING,0.0000,2100.0000,OB-base-ENT-base-0001294-3598,2027-05-31,base,advisory
OPERATING,0.0000,8550.0000,OB-base-ENT-base-0001295-3600,2027-05-31,base,atlas-meridian
OPERATING,0.0000,8550.0000,OB-base-ENT-base-0001296-3602,2027-05-31,base,atlas-meridian
OPERATING,0.0000,9000.0000,OB-base-ENT-base-0001297-3604,2027-05-31,base,willow
OPERATING,0.0000,7000.0000,OB-base-ENT-base-0001298-3606,2027-05-31,base,willow
OPERATING,0.0000,18000.0000,OB-base-ENT-base-0001299-3608,2027-05-31,base,willow
OPERATING,0.0000,4500.0000,OB-base-ENT-base-0001300-3610,2027-05-31,base,willow
OPERATING,0.0000,8580.0000,OB-base-ENT-base-0001301-3612,2027-05-31,base,project-cradle
OPERATING,0.0000,18500.0000,OB-base-ENT-base-0001302-3614,2027-05-31,base,project-cradle
OPERATING,0.0000,3979.8000,OB-base-ENT-base-0001303-3616,2027-05-31,base,project-cradle
OPERATING,0.0000,19952.0640,OB-base-ENT-base-0001304-3618,2027-05-31,base,project-cradle
OPERATING,0.0000,1933333.3280,OB-base-ENT-base-0001305-3620,2027-05-31,base,foundry-field
OPERATING,0.0000,524999.9988,OB-base-ENT-base-0001306-3622,2027-05-31,base,atlas-meridian
OPERATING,0.0000,418333.3344,OB-base-ENT-base-0001307-3624,2027-05-31,base,advisory
OPERATING,0.0000,295000.0000,OB-base-ENT-base-0001308-3626,2027-05-31,base,willow
OPERATING,0.0000,187500.0006,OB-base-ENT-base-0001309-3628,2027-05-31,base,project-cradle
OPERATING,0.0000,2834999.9956,OB-base-ENT-base-0001310-3630,2027-05-31,base,corporate
OPERATING,0.0000,23000.0000,OB-base-ENT-base-0001314-3638,2027-05-31,base,foundry-field
INVESTING,0.0000,210000.0000,OB-base-ENT-base-0001419-3848,2027-05-31,base,project-cradle
FINANCING,0.0000,100000.0000,OB-base-ENT-base-0001238-3486,2027-05-31,base,corporate
OPERATING,0.0000,188500.0000,OB-base-ENT-base-0001460-3981,2027-06-30,base,corporate
OPERATING,0.0000,113000.0000,OB-base-ENT-base-0001468-3997,2027-06-30,base,corporate
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001469-3999,2027-06-30,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001470-4001,2027-06-30,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001471-4003,2027-06-30,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001472-4005,2027-06-30,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001473-4007,2027-06-30,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001474-4009,2027-06-30,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001475-4011,2027-06-30,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001476-4013,2027-06-30,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001477-4015,2027-06-30,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001478-4017,2027-06-30,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001479-4019,2027-06-30,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001480-4021,2027-06-30,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001481-4023,2027-06-30,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001482-4025,2027-06-30,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001483-4027,2027-06-30,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001484-4029,2027-06-30,base,foundry-field
OPERATING,0.0000,2400.0000,OB-base-ENT-base-0001485-4031,2027-06-30,base,foundry-field
OPERATING,0.0000,3000.0000,OB-base-ENT-base-0001486-4033,2027-06-30,base,foundry-field
OPERATING,0.0000,3600.0000,OB-base-ENT-base-0001487-4035,2027-06-30,base,foundry-field
OPERATING,0.0000,1800.0000,OB-base-ENT-base-0001488-4037,2027-06-30,base,foundry-field
